company_id,name,sectors,n_ties,n_directors,first_year,last_year
etablissements1807deveschaumetbordeauxdakar,"Établissements, 1807 Devès et Chaumet, Bordeaux-Dakar",Sociétés commerciales transcoloniales,35,28,1927,1950
constructionafricaine,La Construction africaine,Bâtiment et travaux publics,47,27,1922,1938
navaleouest,Société Navale de l'Ouest,Documents généraux (par ordre chronologique); Transports maritimes,41,27,1920,1951
mineraisferkrivoirog,Société des Minerais de fer de Krivoï-Rog,Groupes miniers transcoloniaux,37,27,1897,1925
acomptedividendeimpot,Acompte sur dividende et impôt,Transports terrestres,27,27,1929,1929
soieriesfducharne,Soieries F.Ducharne,Groupes financiers transcoloniaux,70,26,1922,1953
creditfonciercolonialbanque,Société de Crédit foncier colonial et de banque,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,58,26,1937,1953
assurancefinanciere,L'Assurance financière,Groupes financiers transcoloniaux,57,26,1879,1880
decauvilleaine,DECAUVILLE aîné,Groupes industriels transcoloniaux,47,26,1925,1938
usinesmetallurgiquesbasseloireantecedents,Usines métallurgiques de la Basse-Loire et antécédents,Groupes financiers transcoloniaux,31,26,1907,1920
grandstravauxbetonarme,Société des Grands Travaux en béton armé,Bâtiment et travaux publics,56,25,1912,1959
acierieslongwy,Société des Aciéries de Longwy,Bâtiment et travaux publics,27,25,1920,1920
commercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,Sociétés commerciales transcoloniales,47,24,1921,1953
coteafrique,CÔTE D'AFRIQUE,Sociétés commerciales transcoloniales,30,24,1925,1925
electrometallurgiedives,Société d'Électro-Métallurgie de Dives,Groupes industriels transcoloniaux,28,24,1893,1922
salrem,"Salrem, puis Salrep",Groupes miniers transcoloniaux,26,24,1921,1929
industriellematerieltransport,Compagnie Industrielle de matériel de transport,Groupes financiers transcoloniaux,25,24,1919,1922
recoursassurancesreassurancesreims,"Le Recours, compagnie d'assurances et de réassurances, Reims",Groupes financiers transcoloniaux,25,24,1927,1928
huelvacoppersulfurminesltd,"Huelva Copper and Sulfur Mines, Ltd",Groupes financiers transcoloniaux,92,23,1917,1953
centraleindustrieelectrique,"Société Centrale pour l'industrie électrique, puis Centrale pour l'industrie . Participations en France, Algérie, Tunisie, Indochine, etc.","Eau et assainissement, électricité (utilities)",48,23,1913,1933
aerienne,Compagnie Aérienne française,Documents généraux (par ordre chronologique); Transports aériens,30,23,1919,1937
agencecentraleparis,Agence centrale à PARIS,Documents généraux (par ordre chronologique),23,23,1937,1937
manufacturetapiscouvertures,Manufacture française de tapis et couvertures,Groupes financiers transcoloniaux,85,22,1919,1953
agricoleminoterie,Compagnie Agricole de minoterie,Groupes industriels transcoloniaux,43,22,1923,1931
centraleenergieelectrique,Centrale d'Énergie électrique,Groupes financiers transcoloniaux,40,22,1920,1945
auxiliaireafricaine,Société Auxiliaire africaine,Groupes financiers transcoloniaux,27,22,1922,1938
josephpaganonfigurecommeingenieurchimiste,Joseph Paganon figure comme ingénieur chimiste,Documents généraux (par ordre chronologique),22,22,1925,1927
orosdiback,Orosdi-Back,Sociétés commerciales transcoloniales,69,21,1912,1953
explosifs,Société générale d'explosifs,Groupes industriels transcoloniaux,61,21,1914,1953
lorraineluneville,Lorraine-Lunéville,Groupes financiers transcoloniaux,41,21,1933,1953
unionfrancocolonialepaysoutremer,Union franco-coloniale et des pays d'outre-mer,Groupes financiers transcoloniaux,41,21,1926,1951
minesargut,Société des mines d'Argut,Groupes miniers transcoloniaux,34,21,1928,1953
etudestechniquesfinancieres,Société d'Études techniques et financières,Groupes financiers transcoloniaux,27,21,1911,1921
navigationpaquet,Compagnie de navigation Paquet,Documents généraux (par ordre chronologique); Transports maritimes,22,21,1920,1937
usinesmetallurgiqueshainautcouillet,"Usines métallurgiques du Hainaut, Couillet",Groupes financiers transcoloniaux,46,20,1907,1913
peninsulaireetains,Compagnie péninsulaire des étains,Groupes financiers transcoloniaux,32,20,1931,1953
maurelprom,Maurel et Prom,Sociétés commerciales transcoloniales,22,20,1919,1924
electriqueindustrielle,Société Générale Électrique et Industrielle,"Eau et assainissement, électricité (utilities)",21,20,1899,1910
banquemadagascar,Banque de Madagascar,Documents généraux (par ordre chronologique),20,20,1937,1937
banqueindochine,Banque de l’Indochine,Documents généraux (par ordre chronologique),24,19,1937,1937
nordlorraine,NORD et LORRAINE,Groupes industriels transcoloniaux,23,19,1938,1938
azote,L'Azote français,Groupes industriels transcoloniaux,21,19,1917,1932
creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,Documents généraux (par ordre chronologique),19,19,1937,1937
industrielle,Compagnie générale industrielle,Groupes financiers transcoloniaux,42,18,1921,1948
auxiliaireentreprisescolonialesminieresindustrielles,"Cie Auxiliaire d'Entreprises coloniales, minieres et industrielles",Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux,33,18,1928,1958
ateliersvaucanson,Ateliers Vaucanson,Groupes industriels transcoloniaux,30,18,1937,1959
omniumindustriel,Omnium industriel,Groupes financiers transcoloniaux,29,18,1931,1948
energieelectrique,ÉNERGIE ELECTRIQUE,"Eau et assainissement, électricité (utilities)",27,18,1925,1938
fraissinetmarseillaisenavigationvapeur,"Compagnie FRAISSINET, Cie Marseillaise de Navigation à vapeur",Transports maritimes,21,18,1925,1938
banquesyriegrandliban,Banque de Syrie et du Grand-Liban,Documents généraux (par ordre chronologique),19,18,1937,1937
eieditionsdocumentairesindustriellessoccap,"S. É. D. I., Société d'Éditions Documentaires Industrielles, Soc. an. au cap. de",Bâtiment et travaux publics,19,18,1925,1925
banquefrancochinoisecommerceindustrie,Banque franco-chinoise pour le commerce et l'industrie,Documents généraux (par ordre chronologique),18,18,1937,1937
marcuardkraussmarcuardmarcuardmeyerborelmarcuardmeyerborelsorbemeyerborelsorbesorbeganaybanquiersparis,"Marcuard, Krauss et Cie, Marcuard et Cie, Marcuard, Meyer-Borel et Cie, Marcuard, Meyer-Borel, Sorbé et Cie, Meyer-Borel, Sorbé et Cie, Sorbé, Ganay et Cie, banquiers à Paris",Groupes financiers transcoloniaux,18,18,1897,1928
commerceaveccoloniesetranger,"Sociéte française pour le commerce avec les colonies et l’étranger, puis Sociéte française pour le commerce avec l'outre-mer",Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,56,17,1921,1953
navigationtransoceanique,Société Navigation transocéanique,Transports maritimes,47,17,1920,1931
havraisepeninsulairenavigationvapeur,Cie havraise péninsulaire de NAVIGATION A VAPEUR,Transports maritimes,46,17,1912,1931
filslevyfinger,"Fils Lévy-Finger, puis Peintures Astral-Celluco",Groupes industriels transcoloniaux,24,17,1911,1941
transatlantique,Cie Générale Transatlantique,Documents généraux (par ordre chronologique),22,17,1937,1937
entreprisesgrandstravauxhydrauliques,Entreprises de grands travaux hydrauliques,Bâtiment et travaux publics,20,17,1920,1953
banqueeuropeennebruxellesparistentativereprisedomainesagricolesconcessionramassagealfafrancoalgerienne,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Groupes financiers transcoloniaux,19,17,1879,1880
rateaudirectionbureaux,Société RATEAU. Direction et bureaux,Groupes financiers transcoloniaux,19,17,1938,1938
affreteursreunis,Affréteurs réunis,Transports maritimes,18,17,1920,1922
unionelectriquerurale,Union électrique rurale,"Eau et assainissement, électricité (utilities)",40,16,1931,1952
industriellegrandepecheportetienne,"Société Industrielle de la Grande Pêche, Port-Étienne",Groupes industriels transcoloniaux,27,16,1919,1937
commercialeinteroceaniquehavrepariscoteivoiremadagascar,"Société Commerciale Interoceanique, Le Havre, Paris, Côte-d'Ivoire, Madagascar",Sociétés commerciales transcoloniales,25,16,1920,2006
universelleexplosifsproduitschimiques,"Société Universelle d'Explosifs et de produits chimiques, puis Universelle des Explosifs",Groupes industriels transcoloniaux,19,16,1907,1919
banquenationalecommerceexterieur,Banque nationale française du commerce extérieur,Documents généraux (par ordre chronologique),17,16,1937,1937
chargeurs,Chargeurs français,Transports maritimes,16,16,1916,1926
hevea,Compagnie de l'hévéa,Groupes financiers transcoloniaux,16,16,1919,1919
magasinsmodernesfilialecommunenouvellesgaleriesparisfrance,"Magasins modernes, filiale commune des Nouvelles Galeries et de Paris-France",Sociétés commerciales transcoloniales,16,16,1922,1922
unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,Groupes financiers transcoloniaux,16,16,1921,1921
