kind,source_fr,english,n_documents
territory,Indochine,Indochina,2460
territory,Algérie,Algeria,816
territory,Maroc,Morocco,454
territory,Tunisie,Tunisia,253
territory,Madagascar,Madagascar,189
territory,Côte d'Ivoire,Ivory Coast,163
territory,Sénégal,Senegal,92
territory,Congo-Brazzaville ou Moyen-Congo,Congo-Brazzaville (Middle Congo),84
territory,Nouvelle-Calédonie (Mélanésie),New Caledonia (Melanesia),84
territory,Gabon,Gabon,61
territory,Guinée Conakry,Guinea (Conakry),56
territory,Syrie-Liban,Syria and Lebanon,53
territory,Guyane française,French Guiana,51
territory,"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)","French Sudan (Mali, Upper Volta / Burkina Faso, Niger)",49
territory,Afrique équatoriale française,French Equatorial Africa,44
territory,Cameroun,Cameroon,36
territory,Empire ottoman/Turquie,Ottoman Empire / Turkey,35
territory,Afrique occidentale française,French West Africa,32
territory,Dahomey (Bénin),Dahomey (Benin),26
territory,Oubangui-Chari (Centrafrique),Ubangi-Shari (Central African Republic),26
territory,Chine,China,25
territory,Tahiti (Polynésie),Tahiti (Polynesia),23
territory,Djibouti,Djibouti,22
territory,Java et Sumatra (Indes néerlandaises),Java and Sumatra (Dutch East Indies),22
territory,Guadeloupe et Martinique,Guadeloupe and Martinique,20
territory,Malaisie,Malaya,19
territory,Égypte,Egypt,16
territory,La Réunion,Réunion,15
territory,Nouvelles-Hébrides (Mélanésie),New Hebrides (Melanesia),15
territory,Inde (Comptoirs français de l’),French India (the trading posts),12
territory,Brésil,Brazil,10
territory,Comores,Comoros,10
territory,Macédoine,Macedonia,9
territory,Abyssinie ou Ethiopie,Abyssinia (Ethiopia),8
territory,Grèce,Greece,8
territory,Mauritanie,Mauritania,6
territory,Terres australes et antartiques françaises,French Southern and Antarctic Lands,6
territory,Serbie-Yougoslavie,Serbia / Yugoslavia,5
territory,Togo,Togo,5
territory,Siam (Thaïlande),Siam (Thailand),4
territory,Tchad,Chad,4
territory,Angola,Angola,3
territory,Congo-Kinshasa,Congo-Kinshasa,3
territory,Saint-Pierre et Miquelon,Saint Pierre and Miquelon,3
territory,Venezuela,Venezuela,3
territory,Bolivie,Bolivia,2
territory,Bulgarie,Bulgaria,2
territory,Chili,Chile,2
territory,Géorgie,Georgia,2
territory,Mozambique,Mozambique,2
territory,Albanie,Albania,1
territory,Arménie,Armenia,1
territory,Azerbaïdjan,Azerbaijan,1
territory,Cyrénaïque et Tripolitaine (actuelle Libye),Cyrenaica and Tripolitania (Libya),1
territory,Gambie,Gambia,1
territory,Guinée équatoriale,Equatorial Guinea,1
territory,Guyane hollandaise (Suriname),Dutch Guiana (Suriname),1
territory,Malawi,Malawi,1
territory,Nigéria,Nigeria,1
territory,Pérou,Peru,1
territory,Russie,Russia,1
territory,Yémen,Yemen,1
region,Indochine,Indochina,2527
region,Algerie,Algeria,816
region,Empire (transversal),Empire-wide,558
region,Maroc,Morocco,454
region,Afrique occidentale francaise,French West Africa,431
region,Afrique equatoriale francaise,French Equatorial Africa,262
region,Madagascar et Djibouti,Madagascar and Djibouti,253
region,Tunisie,Tunisia,253
region,Proche-Orient,Near East,136
region,Pacifique,Pacific,122
region,Antilles-Guyane,Antilles and Guiana,93
region,Inde francaise,French India,12
region,Inde et Indochine,India and Indochina,3
sector,Commerce,Trade,456
sector,Mines,Mining,423
sector,Industries agro-alimentaires,Food processing,361
sector,Documents généraux (par ordre chronologique),General documents (chronological),296
sector,Groupes financiers transcoloniaux,Trans-colonial financial groups,214
sector,Héveas et caoutchouc,Rubber and hevea plantations,185
sector,"Hôtellerie, tourisme",Hotels and tourism,178
sector,Mines et carrières,Mines and quarries,144
sector,"Café, thé, épices, coco, quinquina, vanille","Coffee, tea, spices, coconut, cinchona, vanilla",133
sector,"Bâtiment-travaux publics, matériaux de construction, céramiques","Construction and public works, building materials, ceramics",131
sector,Santé,Health,130
sector,Transports terrestres et garages,Land transport and garages,113
sector,Autres industries alimentaires,Other food industries,105
sector,"Bâtiment et travaux publics, matériaux de construction, céramique","Construction and public works, building materials, ceramics",104
sector,"Imprimerie, presse, édition","Printing, press, publishing",101
sector,Sociétés foncières et immobilières,Land and property companies,94
sector,"Rizières, rizeries, négoce de riz et autres céréales","Rice fields, rice mills, rice and grain trading",93
sector,"Banque, gérance, assurances…","Banking, management, insurance",87
sector,"Transports fluviaux, maritimes et aériens. Ports, phares","River, sea and air transport; ports and lighthouses",82
sector,"Bois, meubles, papier, allumettes","Timber, furniture, paper, matches",78
sector,Cuirs et textiles,Leather and textiles,78
sector,"Transports terrestres, garages automobiles et agricoles","Land transport, motor and agricultural garages",74
sector,Transports maritimes et aériens,Sea and air transport,71
sector,Cinémas et théâtres de l'Indochine (du nord au sud),Cinemas and theatres of Indochina (north to south),70
sector,Groupes industriels transcoloniaux,Trans-colonial industrial groups,67
sector,Sociétés commerciales transcoloniales,Trans-colonial trading companies,67
sector,"Enseignement, recherche, sociétés savantes, musées…","Education, research, learned societies, museums",65
sector,"Banques et groupes financiers, assurances","Banks and financial groups, insurance",64
sector,Industries diverses,Miscellaneous industries,63
sector,Industries,Industries,62
sector,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…","Timber chain: forestry, cork, furniture, cellulose, paper",60
sector,Industrie,Industry,57
sector,Agro-alimentaire,Food processing,56
sector,"Banques, groupes financiers, assureurs","Banks, financial groups, insurers",55
sector,Sociétés commerciales,Trading companies,51
sector,Groupes indochinois et dirigeants d'affaires diverses,Indochinese groups and business leaders,50
sector,Groupes miniers transcoloniaux,Trans-colonial mining groups,49
sector,Documents généraux,General documents,48
sector,Mines et métallurgie,Mining and metallurgy,48
sector,Sociétés françaises ou à participation française,French firms and firms with French shareholdings,44
sector,"Eau et assainissement, électricité (Utilities)","Water and sanitation, electricity (utilities)",41
sector,"Métallurgie, constructions mécaniques, électriques, navales","Metallurgy, mechanical, electrical and naval engineering",41
sector,"Eau, gaz, électricité (Utilities)","Water, gas, electricity (utilities)",40
sector,Amicales régionales et professionnelles : les petites patries à l'ombre de la grande ; amitié et solidarité,Regional and professional associations: small homelands in the shadow of the great one,38
sector,"Agro-alimentaire, cultures industrielles",Food processing and industrial crops,37
sector,Transports,Transport,36
sector,Sociétés,Companies,35
sector,Sociétés diverses,Miscellaneous companies,35
sector,Transports maritimes,Shipping,35
sector,"Métallurgie, constructions navales",Metallurgy and shipbuilding,32
sector,"Artistes peintres, sculpteurs et galeries","Painters, sculptors and galleries",31
sector,Mines et placers,Mines and placer workings,29
sector,Industries chimiques,Chemical industries,28
sector,Banques et groupes financiers,Banks and financial groups,27
sector,Sports,Sport,26
sector,"Transports maritimes, fluviaux et aériens","Sea, river and air transport",24
sector,Divers,Miscellaneous,23
sector,Organismes représentatifs. — Listes électorales (du nord au sud),Representative bodies and electoral rolls (north to south),23
sector,industries agro-alimentaires,Food processing,23
sector,Plantations à participation française,Plantations with French shareholdings,22
sector,Bâtiment et travaux publics,Construction and public works,21
sector,Documentation générale (par ordre chronologique),General documentation (chronological),21
sector,Pétrole et gaz,Oil and gas,21
sector,mines et industries,Mining and industry,20
sector,Foncières et immobilières,Land and property,19
sector,"Hydraulique agricole, irrigations (du nord au sud)",Agricultural hydraulics and irrigation (north to south),19
sector,Documentation générale,General documentation,18
sector,"Eau et assainissement, électricité (utilities)","Water and sanitation, electricity (utilities)",18
sector,Transports terrestres,Land transport,18
sector,"Élevage, abattage, boucherie","Livestock, slaughtering, butchery",18
sector,"Transports fluviaux, maritimes et aériens","River, sea and air transport",16
sector,Autres sociétés,Other companies,15
sector,Transports aériens,Air transport,15
sector,"Hôtellerie-restauration, tourisme","Hotels, catering and tourism",14
sector,"Alain LÉGER, créateur du site www.entreprises-coloniales.fr, a publié","Publications by Alain Léger, creator of entreprises-coloniales.fr",12
sector,Entreprises diverses,Miscellaneous firms,12
sector,"Hôtellerie, tourisme, tourisme",Hotels and tourism,12
sector,Entreprises religieuses,Religious enterprises,11
