person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
d-almeida-pinto-a,d'Almeida Pinto,Antonio d'Almeida Pinto,1,1,1,administrateur,1929,1929,Sociétés commerciales
d-almeida-pinto-v,d'Almeida Pinto,Victor d'Almeida Pinto,1,1,1,administrateur,1929,1929,Sociétés commerciales
costa-s,Costa,Sébastiao Costa,1,1,1,administrateur,1929,1929,Sociétés commerciales
p-salomons-d,P. Salomons,David P. Salomons,1,1,1,administrateur,1929,1929,Sociétés commerciales
soller-c,Soller,Charles Soller,1,1,1,administrateur,1937,1937,Sociétés commerciales
saillard-p,Saillard,Paul Saillard,1,1,1,administrateur,1937,1937,Sociétés commerciales
faure,Faure,Faure,1,1,1,administrateur,1900,1900,Sociétés commerciales
nest-v,Nest,Vanden Nest,1,1,1,administrateur,1900,1900,Sociétés commerciales
saillard,Saillard,Saillard,1,1,1,administrateur,1900,1900,Sociétés commerciales
boutelleau-g,Boutelleau,Boutelleau,1,1,1,administrateur,1900,1900,Sociétés commerciales
pelletier-g,Pelletier,Gabriel Pelletier,1,1,1,administrateur,1900,1900,Sociétés commerciales
lesca-y,Lesca,Lesca,1,1,1,administrateur,1900,1900,Sociétés commerciales
lejeune-h,Lejeune,Henri Lejeune,1,1,1,president,,,Agro-alimentaire
roger-vincent-a,Roger-Vincent,A. Roger-Vincent,1,1,1,administrateur,,,Agro-alimentaire
defossez,Défossez,Défossez,1,1,1,administrateur,,,Agro-alimentaire
bastide-f,Bastide,F. Bastide,1,1,1,administrateur,,,Agro-alimentaire
forveille-imprimeur-de-titres-paris-rodez-p,Forveille imprimeur de titres Paris-Rodez,P. Forveille imprimeur de titres Paris-Rodez,1,1,1,administrateur,1933,1933,Mines
tant-en-afrique-qu-a-paris,tant en Afrique qu'a Paris,tant en Afrique qu'a Paris,1,1,1,administrateur,1933,1933,Mines
ph-level,Ph. Level,Ph. Level,1,1,1,administrateur,1951,1951,Mines
painvin-r,Painvin,René Painvin,1,1,1,administrateur,1938,1938,Mines
dupeyrat-a,Dupeyrat,Armand Dupeyrat,1,1,1,administrateur,1951,1951,Mines
gascuel-r,Gascuel,Robert Gascuel,1,1,1,administrateur,1951,1951,Mines
balloux-l,Balloux,Lucien Balloux,1,1,1,administrateur,,,Agro-alimentaire
girod-f,Girod,François Girod,1,1,1,administrateur,,,Agro-alimentaire
grandmaitre-h,Grandmaître,Henri Grandmaître,1,1,1,administrateur,,,Agro-alimentaire
boulogne-billancourt,Boulogne-Billancourt,Boulogne-Billancourt,1,1,1,administrateur,,,Agro-alimentaire
rabaud-c,Rabaud,Claude Rabaud,1,1,1,administrateur,,,Agro-alimentaire
collot-a,Collot,A. Collot,1,1,1,administrateur,1899,1899,Sociétés commerciales
ibenga,Ibenga,Ibenga,1,1,1,administrateur,1899,1899,Sociétés commerciales
eug-bourgeat,Eug. Bourgeat,Eug. Bourgeat,1,1,1,president,1922,1922,Sociétés diverses
grenier-a-augustin,Grenier,Augustin Grenier,1,1,1,vice_president,1922,1922,Sociétés diverses
brunet-m,Brunet,Martial Brunet,1,1,1,administrateur,1922,1922,Sociétés diverses
keller-dorian-r,Keller-Dorian,Roger Keller-Dorian,1,1,1,administrateur,1922,1922,Sociétés diverses
kochansky-e,Kochansky,Émile Kochansky,1,1,1,administrateur,1922,1922,Sociétés diverses
silvin-l,Silvin,Léon Silvin,1,1,1,administrateur,1922,1922,Sociétés diverses
merlin-m-marius,Merlin,Marius Merlin,1,1,1,administrateur,1922,1922,Sociétés diverses
de-suarez-f,de Suarez,François de Suarez,1,1,1,administrateur,1899,1899,Sociétés commerciales
d-aulan,d'Aulan,d'Aulan,1,1,1,administrateur,1899,1899,Sociétés commerciales
nouzaret-j,Nouzaret,Jean Nouzaret,1,1,1,administrateur,1899,1899,Sociétés commerciales
seppe-c,Seppe,Charles Seppe,1,1,1,administrateur,1899,1899,Sociétés commerciales
detre,Detré,Detré,1,1,1,administrateur,1899,1899,Sociétés commerciales
lafarge,Lafarge,Lafarge,1,1,1,administrateur,1899,1899,Sociétés commerciales
montreuil,Montreuil,Montreuil,1,1,1,administrateur,1899,1899,Sociétés commerciales
j-n,J,Nouzaret J,1,1,1,administrateur,1899,1899,Sociétés commerciales
nouzaret-h,Nouzaret,H. Nouzaret,1,1,1,administrateur,1899,1899,Sociétés commerciales
mahy-e,Mahy,E. Mahy,1,1,1,administrateur,1899,1899,Sociétés commerciales
riviere-a-adrien,Rivière,Adrien Rivière,1,1,1,administrateur,1899,1899,Sociétés commerciales
de-lange-m,de Lange,Maurice de Lange,1,1,1,administrateur,1899,1899,Sociétés commerciales
jore-s,Jore,S. Jore,1,1,1,administrateur,1899,1899,Sociétés commerciales
riviere-a,Rivière,A. Rivière,1,1,1,administrateur,1899,1899,Sociétés commerciales
campagne-f,Campagne,Campagne,1,1,1,administrateur,1899,1899,Sociétés commerciales
n-daki,N'Daki,N'Daki,1,1,1,administrateur,1899,1899,Sociétés commerciales
bonnet-brodard-p,Bonnet- Brodard,Pierre Bonnet- Brodard,1,1,1,administrateur,1928,1928,Mines
fribourg-j,Fribourg,Jules Fribourg,1,1,1,administrateur,1928,1928,Mines
