person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
morel-journel-g,Morel-Journel,Georges Morel-Journel,1,1,1,administrateur,1920,1920,"Transports maritimes, ports et docks"
et-henry-morel-journel,et Henry Morel-Journel,et Henry Morel-Journel,1,1,1,administrateur,1920,1920,"Transports maritimes, ports et docks"
sabbag-j,Sabbag,J. Sabbag,1,1,1,administrateur,1909,1909,"Eaux, électricité (utilities)"
blanc-c,Blanc,Ch. Blanc,1,1,1,administrateur,1909,1909,"Eaux, électricité (utilities)"
kursaal-de-vichy-c,Kursaal de Vichy,Casino Kursaal de Vichy,1,1,1,administrateur,1936,1936,"Eaux, électricité (utilities)"
gaz-de-beyrouth,Gaz de Beyrouth,Gaz de Beyrouth,1,1,1,administrateur,1936,1936,"Eaux, électricité (utilities)"
garage-du-roule-a-neuilly-g,Garage du Roule à Neuilly,Grand Garage du Roule à Neuilly,1,1,1,administrateur,1936,1936,"Eaux, électricité (utilities)"
liscoat-g,Liscoat,Gilbert Liscoat,1,1,1,administrateur,1929,1929,Sociétés diverses
express-europeens-g,Express Européens,Grands Express Européens,1,1,1,administrateur,1929,1929,Sociétés diverses
prolongements,Prolongements,Prolongements,1,1,1,administrateur,1929,1929,Sociétés diverses
bouscasse-f,Bouscasse,Fernand-Daniel Bouscasse,1,1,1,administrateur,1929,1929,Sociétés diverses
ferasson-l-louis,Férasson,Louis-Henri Férasson,1,1,1,administrateur,1929,1929,Sociétés diverses
glyptis,Glyptis,Glyptis,1,1,1,administrateur,1929,1929,Sociétés diverses
et-pierre-charles-verge,et Pierre-Charles Vergé,et Pierre-Charles Vergé,1,1,1,administrateur,1929,1929,Sociétés diverses
baviere-p-paul,Bavière,Paul Bavière,1,1,1,administrateur,1930,1930,Sociétés diverses
berriat-j,Berriat,Jean Berriat,1,1,1,administrateur,1930,1930,Sociétés diverses
crouigneau-l,Crouigneau,Léon Crouigneau,1,1,1,administrateur,1930,1930,Sociétés diverses
lebon-r-remy,Lebon,Rémy Lebon,1,1,1,administrateur,1930,1930,Sociétés diverses
leheup-g,Leheup,Gustave Leheup,1,1,1,administrateur,1930,1930,Sociétés diverses
pahup-r,Pahup,Robert Pahup,1,1,1,administrateur,1930,1930,Sociétés diverses
petithuguenin-p,Petithuguenin,Paul Petithuguenin,1,1,1,administrateur,1930,1930,Sociétés diverses
et-edmond-philippar,et Edmond Philippar,et Edmond Philippar,1,1,1,administrateur,1930,1930,Sociétés diverses
baumann,Baumann,Baumann,1,1,1,administrateur,1922,1922,Sociétés diverses
bonnier,Bonnier,Bonnier,1,1,1,administrateur,1922,1922,Sociétés diverses
locat,Locat,Locat,1,1,1,administrateur,1922,1922,Sociétés diverses
samne-g,Samné,Samné,1,1,1,administrateur,1922,1922,Sociétés diverses
fid,Fid,Fid,1,1,1,administrateur,1922,1922,Sociétés diverses
baumann-l,Baumann,Lucien Baumann,1,1,1,administrateur,1922,1922,Sociétés diverses
l-intendant-general-bonnier,l'intendant général Bonnier,l'intendant général Bonnier,1,1,1,administrateur,1922,1922,Sociétés diverses
sabatier-a,Sabatier,Alfred Sabatier,1,1,1,administrateur,1922,1922,Sociétés diverses
cnep-u,CNEP,CNEP,1,1,1,administrateur,1925,1925,Banques et sociétés financières
pyrites-de-huelva,Pyrites de Huelva,Pyrites de Huelva,1,1,1,administrateur,1929,1929,Banques et sociétés financières
ateliers-de-la-gironde,Ateliers de la Gironde,Ateliers de la Gironde,1,1,1,administrateur,1929,1929,Banques et sociétés financières
en-commun-de-la-region-parisienne-t,en commun de la région parisienne,Transports en commun de la région parisienne,1,1,1,administrateur,1929,1929,Banques et sociétés financières
egyptiens-m,égyptiens,Monts-de-piété égyptiens,1,1,1,administrateur,1929,1929,Banques et sociétés financières
adm-controleur-en-egypte,adm.- contrôleur en Égypte,adm.- contrôleur en Égypte,1,1,1,administrateur,1953,1953,Banques et sociétés financières
allain-a,Allain,A. Allain,1,1,1,administrateur,1953,1953,Banques et sociétés financières
moulin-a,Moulin,A. Moulin,1,1,1,administrateur,1953,1953,Banques et sociétés financières
dervieu-j-jean,Dervieu,Jean Dervieu,1,1,1,administrateur,1953,1953,Banques et sociétés financières
pacha-melhame-s,Pacha Melhamé,Sélim Pacha Melhamé,1,1,1,administrateur,1906,1906,"Transports maritimes, ports et docks"
de-monicault-e,de Monicault,Édouard de Monicault,1,1,1,administrateur,1906,1906,"Transports maritimes, ports et docks"
de-monicault-g,de Monicault,Gaston de Monicault,1,1,1,administrateur,1906,1906,"Transports maritimes, ports et docks"
pangiris-bey-s,Pangiris Bey,S. E. Pangiris Bey,1,1,1,administrateur,1906,1906,"Transports maritimes, ports et docks"
bey-beyaum-a,Bey Beyaum,Abdallah Bey Beyaum,1,1,1,administrateur,1948,1948,"Transports maritimes, ports et docks"
kettaneh-a,Kettaneh,Kettaneh,1,1,1,administrateur,1948,1948,"Transports maritimes, ports et docks"
de-gunzbourg-j,de Gunzbourg,Jean de Gunzbourg,1,1,1,president,1925,1925,Sociétés diverses
exploitation-de-postes-radiotelegraphiques-en-orie,exploitation de postes radiotélégraphiques en Orient,exploitation de postes radiotélégraphiques en Orient,1,1,1,president,1925,1925,Sociétés diverses
de-gunzburg-j-jean,de Gunzburg,Jean de Gunzburg,1,1,1,administrateur,1938,1938,Sociétés diverses
jagerschmidt,Jagerschmidt,Jagerschmidt,1,1,1,administrateur,1892,1892,Transports terrestres
de-nervo,de Nervo,de Nervo,1,1,1,administrateur,1892,1892,Transports terrestres
passy-e,Passy,E. Passy,1,1,1,administrateur,1892,1892,Transports terrestres
bey-pangiris-a,Bey Pangiris,Aleco Bey Pangiris,1,1,1,president,1906,1906,Transports terrestres
limauge-v,Limauge,Victor Limauge,1,1,1,president,1906,1906,Transports terrestres
denis-e-edouard,Denis,Édouard Denis,1,1,1,administrateur,1906,1906,Transports terrestres
de-stacpoole,de Stacpoole,de Stacpoole,1,1,1,administrateur,1906,1906,Transports terrestres
bey-m,Bey,Mahmoud Bey,1,1,1,administrateur,1906,1906,Transports terrestres
bey-n,Bey,Nouri Bey,1,1,1,administrateur,1906,1906,Transports terrestres
pavee-j,Pavée,Jules Pavée,1,1,1,administrateur,1922,1922,Transports terrestres
ranscelot-l,Ranscelot,Léopold Ranscelot,1,1,1,administrateur,1922,1922,Transports terrestres
et-camille-sapin,et Camille Sapin,et Camille Sapin,1,1,1,administrateur,1922,1922,Transports terrestres
tramways,… Tramways,… Tramways,1,1,1,administrateur,1926,1926,Transports terrestres
eclairage-de-beyrouth,éclairage de Beyrouth…,éclairage de Beyrouth…,1,1,1,administrateur,1926,1926,Transports terrestres
ancion-a,Ancion,A. Ancion,1,1,1,administrateur,1927,1927,Transports terrestres
urban-e,Urban,Ernest Urban,1,1,1,administrateur,1910,1910,Transports terrestres
jacobs-j,Jacobs,Jules Jacobs,1,1,1,administrateur,1910,1910,Transports terrestres
janssen-l,Janssen,Léon Janssen,1,1,1,administrateur,1910,1910,Transports terrestres
de-la-hault-a,de la Hault,Auguste de la Hault,1,1,1,administrateur,1910,1910,Transports terrestres
stern-h,Stern,Hermann Stern,1,1,1,administrateur,1910,1910,Transports terrestres
de-bauer-g,de Bauer,Georges de Bauer,1,1,1,administrateur,1910,1910,Transports terrestres
cicogna-c,Cicogna,Charles Cicogna,1,1,1,administrateur,1910,1910,Transports terrestres
empain-e,Empain,Édouard Empain,1,1,1,administrateur,1910,1910,Transports terrestres
empain-f,Empain,François Empain,1,1,1,administrateur,1910,1910,Transports terrestres
ed-empain,Ed. Empain,Ed. Empain,1,1,1,president,1928,1928,Transports terrestres
empain-j,Empain,J. Empain,1,1,1,president,1928,1928,Transports terrestres
francken-c,Francken7,C. Francken7,1,1,1,president,1928,1928,Transports terrestres
graux-l,Graux,L. Graux,1,1,1,president,1928,1928,Transports terrestres
harmant-e,Harmant8,E. Harmant8,1,1,1,president,1928,1928,Transports terrestres
guillon-e,Guillon10,E. Guillon10,1,1,1,president,1928,1928,Transports terrestres
piat-sur-les-membres-e,Piat12. Sur les membres,Émile Piat12. Sur les membres,1,1,1,president,1928,1928,Transports terrestres
berger-t,Berger,Théodore Berger,1,1,1,president,1899,1899,Transports terrestres
bardin-l,Bardin,Léon Bardin,1,1,1,administrateur,1899,1899,Transports terrestres
coze-e,Coze,Émile Coze,1,1,1,administrateur,1899,1899,Transports terrestres
deviolaine-l,Deviolaine,Louis Deviolaine,1,1,1,administrateur,1899,1899,Transports terrestres
khadra-d,Khadra,Dominique Khadra,1,1,1,administrateur,1899,1899,Transports terrestres
garat-s,Garat,Sabatié Garat,1,1,1,administrateur,1899,1899,Transports terrestres
couly-a,Couly,A. Couly,1,0,5,commissaire_aux_comptes,1937,1953,Sociétés diverses
henrion,Henrion,Henrion,1,0,4,commissaire_aux_comptes,1937,1953,Sociétés diverses
hoppenot-p,Hoppenot,P. Hoppenot,2,0,2,commissaire_aux_comptes,1937,1940,Banques et sociétés financières
auterbe-h,Auterbe,H. Auterbe,2,0,2,commissaire_aux_comptes,1937,1940,Banques et sociétés financières
bolle-g,Bolle,G. Bolle,2,0,2,commissaire_aux_comptes,1948,1953,Banques et sociétés financières
naudy-j,Naudy,J. Naudy,2,0,2,commissaire_aux_comptes,1937,1940,"Transports maritimes, ports et docks"
vivier,Vivier,Vivier,2,0,2,commissaire_aux_comptes,1937,1940,"Transports maritimes, ports et docks"
corbin-de-mangoux-a,Corbin de Mangoux,A. Corbin de Mangoux,1,0,1,directeur,,,Documents généraux
ing-i-c-n,ing. I. C. N,ing. I. C. N,1,0,1,directeur,,,Documents généraux
fain-j,Fain,Jean Fain,1,0,1,directeur,,,Documents généraux
curityba,Curityba,Curityba,1,0,1,directeur,,,Documents généraux
campos,Campos,Campos,1,0,1,directeur,,,Documents généraux
bahia,Bahia,Bahia,1,0,1,directeur,,,Documents généraux
maceio,Maceio,Maceio,1,0,1,directeur,,,Documents généraux
pernambuco,Pernambuco,Pernambuco,1,0,1,directeur,,,Documents généraux
parahyba,Parahyba,Parahyba,1,0,1,directeur,,,Documents généraux
natal,Natal,Natal,1,0,1,directeur,,,Documents généraux
fortaleza,Fortaleza,Fortaleza,1,0,1,directeur,,,Documents généraux
luiz-s,Luiz,S. Luiz,1,0,1,directeur,,,Documents généraux
para,Para,Para,1,0,1,directeur,,,Documents généraux
safi,Safi,Safi,1,0,1,directeur,,,Documents généraux
smyrne,Smyrne,Smyrne,1,0,1,directeur,,,Documents généraux
genes,Gênes,Gênes,1,0,1,directeur,,,Documents généraux
etc-importation,etc. Importation,etc. Importation,1,0,1,directeur,,,Documents généraux
jacout-p,Jacout,Pierre Jacout,1,0,1,gerant,,,Documents généraux
breton-m,Breton,Marcel Breton,1,0,1,gerant,,,Documents généraux
marchai-v,MarchaI,V. H. MarchaI,1,0,1,gerant,,,Documents généraux
barrioulet-p,Barrioulet,P. Barrioulet,1,0,1,commissaire_aux_comptes,1940,1940,Banques et sociétés financières
ch-h-renard,Ch.-H. Renard,Ch.-H. Renard,1,0,1,commissaire_aux_comptes,1937,1937,"Eaux, électricité (utilities)"
gros-p,Gros,P. Gros,1,0,1,commissaire_aux_comptes,1937,1937,"Eaux, électricité (utilities)"
hartog-c,Hartog,Ch. Hartog,1,0,1,commissaire_aux_comptes,1945,1945,Banques et sociétés financières
levasseur-e,Levasseur,E. Levasseur,1,0,1,commissaire_aux_comptes,1953,1953,Banques et sociétés financières
cambefort-c,Cambefort,Charles Cambefort,1,0,1,commissaire_aux_comptes,1909,1909,"Transports maritimes, ports et docks"
boursier-l,Boursier,Lucien Boursier,1,0,1,commissaire_aux_comptes,1909,1909,"Transports maritimes, ports et docks"
claudon-l,Claudon,L. Claudon,1,0,1,directeur,1945,1945,"Transports maritimes, ports et docks"
salem-j,Salem,J. Salem,1,0,1,directeur_general,1948,1948,Sociétés diverses
