company_key,company_name,attribute,value,year,source_ref,doc_id
barrau,A. Barrau et Cie,head_office,NOUMÉA (Nouvelle-Calédonie),1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
seine,SEINE,founded_date,1921-07-01,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
minesnickelreunies,Cie des mines de nickel réunies,founded_date,1912-06-17,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
minierecoloniale,Cie minière coloniale,founded_date,1920-07-27,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
nickel,« Le Nickel »,founded_date,1880-04-22,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
nickel,« Le Nickel »,capital,20.000.000 francs,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
nickel,« Le Nickel »,head_office,"26, Rue Laffitte, PARIS (IXe)",1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
metallurgiquetao,Sté métallurgique de Tao,founded_date,1914-05-27,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
ouaco,Sté de Ouaco,founded_date,1908-07-04,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
entreprisescommerciales,ENTREPRISES COMMERCIALES,head_office,5 et,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-nlle-caledonie-a888d5
burnsphilpco35crutchedfriarslondresec,"Burns, Philp and Co 35, Crutched Friars, LONDRES E.C",head_office,Sydney,1926,Annuaire des entreprises coloniales,pacifique-aec-1926-nlle-caledonie-c1056b
immobilierenouvelleshebrides,Cie française immobilière des Nouvelles-Hébrides,founded_date,1924-11-07,1926,Annuaire des entreprises coloniales,pacifique-aec-1926-nlle-caledonie-c1056b
maisonbarrau,Maison Barrau,founded_date,1923-06-01,1926,Annuaire des entreprises coloniales,pacifique-aec-1926-nlle-caledonie-c1056b
maisonbarrau,Maison Barrau,head_office,NOUMEA (Nouvelle-Calédonie),1926,Annuaire des entreprises coloniales,pacifique-aec-1926-nlle-caledonie-c1056b
