company_key,company_name,attribute,value,year,source_ref,doc_id
brasseriesglacieresinternationalesethiopie,Brasseries et glacières internationales-Éthiopie,founded_date,1967-06-28,,,madagascar-et-djibouti-bgi-ethiopie-6e83d0
brasseriesglacieresinternationalesethiopie,Brasseries et glacières internationales-Éthiopie,head_office,"de BGI Ethiopia, à côté de l'usine d'Addis-Abeba",,,madagascar-et-djibouti-bgi-ethiopie-6e83d0
brasseriesglacieresinternationalesethiopie,Brasseries et glacières internationales-Éthiopie,head_office,du pouvoir du Négus depuis l'installation de la,2016,"Libération, 1er juin 2016",madagascar-et-djibouti-bgi-ethiopie-6e83d0
miniereconcessionsprassoabyssinie,Société Minière des concessions Prasso en Abyssinie,head_office,"été établi à Paris, 280, boulevard Saint-Germain",1926,"La Journée industrielle, 20 mai 1926",madagascar-et-djibouti-concessions-prasso-abyssinie-93bd0a
abyssinie,Compagnie Générale d'Abyssinie,head_office,"est à Paris, 11, avenue de l'Opéra",1921,"La Journée industrielle, 11 juin 1921",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,head_office,"à Paris, 11, avenue de",1921,"La Cote de la Bourse et de la banque, 22 juin 1921",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,capital,2.000.000 fr.,1925,"Salonique, 1854-Paris, 1925",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,head_office,Paris,1925,"Salonique, 1854-Paris, 1925",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,head_office,est à,1927,"La Journée industrielle, 19 juillet 1927",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,capital,2.500.000 fr.,1934,"La Journée industrielle, 8 août 1934",madagascar-et-djibouti-generale-d-abyssinie-57745e
abyssinie,Compagnie Générale d'Abyssinie,head_office,"Paris, 11, rue Censier",1934,"La Journée industrielle, 8 août 1934",madagascar-et-djibouti-generale-d-abyssinie-57745e
belgedeveloppementindustrieoucommercedansprovincesequatorialesabyssinie,Belge pour le développement de l'industrie ou du commerce dans les provinces équatoriales d'Abyssinie,head_office,"Bruxelles et elle est régie par la loi belge des 18 mai 1873, 22",1898,"La Politique coloniale, 9 juin 1898",madagascar-et-djibouti-provinces-equatoriales-abyssinie-d481bb
belgedeveloppementindustrieoucommercedansprovincesequatorialesabyssinie,Belge pour le développement de l'industrie ou du commerce dans les provinces équatoriales d'Abyssinie,head_office,"de la colonie, où un Conseil de contentieux a été créé dès le",1906,"La Dépêche coloniale, 30 mai 1906",madagascar-et-djibouti-provinces-equatoriales-abyssinie-d481bb
gerancestgeorgbrauereig,Société française de Gérance de la St-Georg Brauerei A. G,capital,100.000 francs,1932,"Journal officiel de la Côte des Somalis, 1er juillet 1932",madagascar-et-djibouti-st-georg-brauerei-addis-d311da
gerancestgeorgbrauereig,Société française de Gérance de la St-Georg Brauerei A. G,head_office,"été fixé à Djibouti, place Ménélick",1932,"Journal officiel de la Côte des Somalis, 1er juillet 1932",madagascar-et-djibouti-st-georg-brauerei-addis-d311da
gerancestgeorgbrauereig,Société française de Gérance de la St-Georg Brauerei A. G,capital,400.000 francs,1934,"Journal officiel de la Côte des Somalis, 1er février 1934",madagascar-et-djibouti-st-georg-brauerei-addis-d311da
gerancestgeorgbrauereig,Société française de Gérance de la St-Georg Brauerei A. G,head_office,DJIBOUTI,1934,"Journal officiel de la Côte des Somalis, 1er février 1934",madagascar-et-djibouti-st-georg-brauerei-addis-d311da
unionminiereethiopie,Union minière d'Éthiopie,capital,3.100.000 fr.,1929,"Les Cahiers coloniaux, 21 mai 1929",madagascar-et-djibouti-union-miniere-d-ethiopie-b6c26f
unionminiereethiopie,Union minière d'Éthiopie,head_office,"place Ménélick, Djibouti (Côte française des Somalis). Capital :",1929,"Les Cahiers coloniaux, 21 mai 1929",madagascar-et-djibouti-union-miniere-d-ethiopie-b6c26f
unionminiereethiopie,Union minière d'Éthiopie,founded_date,1929-02-22,1931,"L’Éveil économique de l’Indochine, 5 avril 1931",madagascar-et-djibouti-union-miniere-d-ethiopie-b6c26f
unionminiereethiopie,Union minière d'Éthiopie,head_office,Djibouti (Côte des Somalis),1931,"L’Éveil économique de l’Indochine, 5 avril 1931",madagascar-et-djibouti-union-miniere-d-ethiopie-b6c26f
unionminiereethiopie,Union minière d'Éthiopie,head_office,Djibouti. Elle a nommé,1934,"L'Écho des mines et de la métallurgie, 10 novembre 1934",madagascar-et-djibouti-union-miniere-d-ethiopie-b6c26f
