doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
proche-orient-canal-maritime-corinthe-0de09e,https://entreprises-coloniales.fr/proche-orient/Canal_maritime_Corinthe.pdf,company,"Société internationale, puis Société hellénique, puis Nouvelle Société du Canal maritime de Corinthe",,Grèce,Proche-Orient,,,"Canal maritime de Corinthe (Société internationale, puis Société hellénique, puis Nouvelle Société du)"
proche-orient-cie-frse-du-lac-copais-f657c7,https://entreprises-coloniales.fr/proche-orient/Cie_frse_du_lac_Copais.pdf,company,"Compagnie française pour le desséchement et l’exploitation du Lac Copaïs, par Corinne Krouck et Alain Léger",,Grèce,Proche-Orient,1880,1893,"Lac Copaïs (Compagnie française pour le desséchement et l’exploitation du)(1880-1893), par Corinne Krouck et Alain Léger"
proche-orient-j-monin-et-cie-0842df,https://entreprises-coloniales.fr/proche-orient/J._Monin_et_Cie.pdf,company,Monin et Cie,,Grèce,Proche-Orient,1894,,Monin et Cie (Société en commandite J.)(1894) : mines de fer de Grammatico
proche-orient-louis-chevallier-1860-1952-870cca,https://entreprises-coloniales.fr/proche-orient/Louis_Chevallier-1860-1952.pdf,person,"Chevallier, ingénieur aux Mines du Laurium, puis de Kassandra, par Corinne Krouck",,Grèce,Proche-Orient,,,"Chevallier (Louis)(1860-1952), ingénieur aux Mines du Laurium, puis de Kassandra, par Corinne Krouck"
proche-orient-magnesies-naturelles-b39e30,https://entreprises-coloniales.fr/proche-orient/Magnesies_naturelles.pdf,company,"Compagnie Générale des Magnésies naturelles, Mandoudi",,Grèce,Proche-Orient,1883,,"Générale des Magnésies naturelles (Compagnie)(1883), Mandoudi (île d'Eubée)"
proche-orient-mines-de-seriphos-40521c,https://entreprises-coloniales.fr/proche-orient/Mines_de_Seriphos.pdf,company,"Société des Mines de Seriphos et de Spiliazeza, par Corinne Krouck et Alain Léger",,Grèce,Proche-Orient,,,"Mines de Seriphos et de Spiliazeza (Au Laurium)(Société des), par Corinne Krouck et Alain Léger : fer, manganèse, plomb argentifère, zinc"
proche-orient-omnium-hellenique-electricite-d647d4,https://entreprises-coloniales.fr/proche-orient/Omnium_hellenique_electricite.pdf,company,Omnium hellénique d’électricité,,Grèce,Proche-Orient,1912,1927,Omnium hellénique d’électricité (1912-1927) : éclairage de Larissa (Thessalie)
proche-orient-usines-du-laurium-c4ebaa,https://entreprises-coloniales.fr/proche-orient/Usines_du_Laurium.pdf,company,Usines du Laurium,,Grèce,Proche-Orient,1873,1936,"Usines du Laurium (le « Laurium grec »)(1873-1936) : plomb, zinc, argent, fer, charbon…"
