person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
renoux-l,Renoux,Louis Renoux,4,4,8,administrateur,1929,1938,Industrie
begouen-m,Begouën,Max Begouën,4,4,7,administrateur_delegue,1922,1951,Industrie
hirsch-h,Hirsch,H. Hirsch; Henri Hirsch,3,3,9,administrateur,1927,1940,Industrie
hermann-du-pasquier,Hermann du Pasquier,Hermann du Pasquier,3,3,8,administrateur,1922,1948,Industrie
villars-r,Villars,René Villars; René Villars. 7,3,3,7,administrateur,1922,1948,Industrie
gradis-g,Gradis,G. Gradis; Gaston Gradis,3,3,7,administrateur,1929,1951,Industrie
cahen-fuzier-e,Cahen-Fuzier,Cahen-Fuzier; E. Cahen-Fuzier,3,3,6,president,1930,1938,Industrie
bedouet-j,Bédouet,J. Bedouet; Julien Bédouet,3,3,5,administrateur,1933,1948,Industrie
thams-c,Thams,Christian Thams,3,3,4,administrateur,1929,1933,Industrie
godet-r,Godet,René Godet,3,3,3,administrateur,1930,1951,Industrie
calvet-g,Calvet,G. Calvet; Georges Calvet,2,2,4,administrateur,1930,1937,Industrie
helbronner-h,Helbronner,H. Helbronner; Henri Helbronner; Henry Helbronner,2,2,4,administrateur,1929,1951,Industrie
hirsch-a,Hirsch,André Hirsch,2,2,3,administrateur,1930,1936,Industrie
level-e,Level,Emile Level; Émile Level,2,2,3,administrateur,1922,1930,Industrie
chaumet,Chaumet,Chaumet,2,2,2,administrateur,1930,1951,Industrie
grandet-h,Grandet,Henri Grandet,2,2,2,administrateur,1943,1948,Industrie
lagache-e,Lagache,E. Lagache; Eugène Lagache,2,2,2,administrateur,1901,1903,Industrie; Mines
massena-prince-d-essling-a,Massena prince d'Essling,A. Masséna prince d'Essling; André Massena prince d'Essling,2,2,2,president,1930,1937,Industrie
deves-p,Devès,P. Devès; Paul Devès; Paul-Marcel Devès,1,1,7,administrateur,1922,1951,Industrie
massena-a,Massena,A. Massena; André Massena,1,1,6,administrateur,1931,1951,Industrie
prince-d-essling,prince d'Essling,prince d'Essling,1,1,6,administrateur,1931,1951,Industrie
chaumet-g,Chaumet,G. Chaumet; Gaston Chaumet,1,1,5,administrateur,1922,1937,Industrie
begouen,Begouën,Begouën,1,1,5,president,1931,1948,Industrie
em-level,Em. Level,Em. Level,1,1,4,administrateur,1927,1940,Industrie
sandre-j,Sandré,J. Sandré,2,1,4,administrateur,1937,1948,Industrie
guieysse-p,Guieysse,P. Guieysse; Pierre Guieysse,1,1,3,administrateur,1925,1951,Industrie
le-blan-j,Le Blan,J. Le Blan,1,1,3,administrateur,1929,1940,Industrie
jaloustre-g,Jaloustre,G. Jaloustre,1,1,3,administrateur,1931,1937,Industrie
godet-g,Godet,G. Godet,1,1,3,administrateur,1931,1937,Industrie
achard-g,Achard,G.-P. Achard; Georges Achard,1,1,3,administrateur,1945,1951,Industrie
froment-guieysse-g,Froment-Guieysse,Froment-Guieysse; G. Froment- Guieysse,1,1,2,administrateur,1925,1929,Industrie
