company_id,name,sectors,n_ties,n_directors,first_year,last_year
culturesdiakandape,Cultures de Diakandapé,Industrie,72,29,1922,1951
culturecotonniereniger,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",Industrie,50,28,1922,1943
agricoleindustriellesoudan,"Compagnie Agricole et Industrielle du Soudan, puis Agricole et Industrielle de l'Ouest africain",Industrie,31,20,1930,1948
industriellecommercialesoudan,Société Industrielle et Commerciale du Soudan français,Industrie,16,13,1898,1901
elevagenigerdire,"Compagnie d'Élevage du Niger, Diré",Industrie,17,12,1930,1936
federalesoudanaise,Compagnie Fédérale Soudanaise,Transports,14,11,1928,1934
sisaleraiescarburantsafricains,Sisaleraies et carburants africains,Industrie,13,11,1928,1936
plantationsambidedisisal,"Société des Plantations d'Ambidedi, sisal",Industrie,12,11,1930,1930
plantationshautevoltasisal,"Société des Plantations de la Haute-Volta, sisal",Industrie,14,10,1929,1937
soudanniger,Compagnie du Soudan-Niger,Commerce,14,10,1928,1931
bamako,Société de Bamako,Commerce,13,8,1912,1926
briqueteriesbamako,Briqueteries de Bamako,Industrie,9,8,1925,1951
macinaniger,Macina-Niger,Commerce,8,8,1921,1921
etudesexplorationsoudan,Société d'Études et d’exploration du Soudan,Industrie,7,7,1901,1901
minierecommercialesatadougou,Société Minière et Commerciale de Satadougou,Mines,7,7,1903,1903
minierekemon,Société Minière de Kémon,Mines,7,6,1910,1910
commercialeagricolenigermopti,"Société commerciale et agricole du Niger, Mopti",Commerce,6,6,,
syndicatsoudan,Syndicat du Soudan français,Commerce,6,6,1901,1901
soudanaise,Compagnie Soudanaise,Industrie,6,5,1933,1933
nigerlobi,Compagnie de Française du Niger-Lobi,Industrie,6,4,1911,1912
minieresoudan,Société Minière du Soudan français,Mines,4,4,1903,1903
recherchesminierespotenkodogo,Société de Recherches minières de Po-Tenkodogo,Mines,2,2,1938,1938
minierehautevolta,Compagnie Minière de la Haute-Volta,Mines,1,1,1929,1929
officeniger,L'Office du Niger,Industrie,1,1,1938,1938
brasserieboissonsgazeusesnigerniamey,"Société de Brasserie et de boissons gazeuses du Niger, Niamey",Industrie,5,0,2015,2015
culturesdiakandapeagentsfrance,CULTURES de DIAKANDAPÉ. Agents en France,Industrie,5,0,1938,1938
girodiaspdt,"L. Girodias, pdt",Industrie,2,0,1945,1945
