person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
homberg-o,Homberg,O. Homberg; Octave Homberg,11,11,26,administrateur,1892,1938,"Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux; Groupes miniers transcoloniaux"
boulle-l,Boulle,L. Boulle; Léon Boulle,11,11,24,administrateur,1920,1945,"Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux; Transports terrestres"
off-lh,off. LH,off. L.H; off. LH,9,9,26,administrateur,1879,1938,Bâtiment et travaux publics; Groupes financiers transcoloniaux; Groupes industriels transcoloniaux; Groupes miniers transcoloniaux
metayer-m,Métayer,Maurice Metayer; Maurice Métayer,9,9,16,administrateur,1907,1938,Groupes financiers transcoloniaux; Groupes industriels transcoloniaux
bernard-j-jules,Bernard,Jules Bernard,8,8,16,administrateur,1907,1940,Groupes financiers transcoloniaux; Groupes industriels transcoloniaux
guesde-p,Guesde,P. Guesde; Pierre Guesde,8,8,10,administrateur,1937,1953,Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux
maurel-l-lucien,Maurel,Lucien MAUREL; Lucien Maurel,8,8,9,administrateur,1921,1937,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Sociétés commerciales transcoloniales
poirier-h,Poirier,H. Poirier; Henri Poirier; Henry Poirier,7,7,18,administrateur,1912,1940,"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux"
giscard-d-estaing-e,Giscard d'Estaing,E. Giscard d'Estaing; Edmond GISCARD d'ESTAING; Edmond Giscard d'Estaing,7,7,13,administrateur,1937,1953,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux
fraissinet-j,Fraissinet,J. Fraissinet; Jean Fraissinet,7,7,11,administrateur,1920,1940,Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales; Transports aériens; Transports maritimes
lebon-a-andre,Lebon,André Lebon,7,7,11,president,1908,1937,Bâtiment et travaux publics; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Transports aériens
boyer-p,Boyer,P. Boyer; P. Boyer ]. 8; Paul Boyer,7,7,11,president,1917,1940,"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities)"
gradis-g,Gradis,G. Gradis; Gaston Gradis,6,6,24,administrateur,1921,1953,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Sociétés commerciales transcoloniales
pavie-g,Pavie,G. Pavie; Georges Pavie; Pavie,6,6,21,administrateur,1908,1929,"Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux; Transports terrestres"
loisy-x,Loisy,X. Loisy; Xavier Loisy,6,6,17,administrateur,1922,1940,Bâtiment et travaux publics; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux
level-e,Level,E. Level; E. Level. 11; Emile Level; Émile Level,7,6,15,administrateur,1923,1940,"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux; Groupes industriels transcoloniaux"
gros-f,Gros,F. Gros; Ferdinand Gros,6,6,13,administrateur,1917,1932,Bâtiment et travaux publics; Groupes industriels transcoloniaux; Groupes miniers transcoloniaux; Transports aériens
