company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
entreprisemaritimecommerciale,socentreprisemaritimecommerciale,L'Entreprise maritime et commerciale,Soc. an. l'ENTREPRISE MARITIME et COMMERCIALE,16,blanchet-a; d-estienne-d-orves; dal-piaz-j; de-fontgalland-a; estier-h; fabry-r; fr-estier; giraud-h-hubert; gravier-g; mallen-e; mante-t; noblemaire-g; oppenheim; tanon-a-albert; thenard; zafiropulo-d
corvinomenny,creditfoncieralgerietunisie,CORVINO et MENNY,Crédit foncier d'Algérie-Tunisie,15,borgeaud-a; buhot-h; de-caix-r; delarue-j; dubourdieu-l; henri-c; loisy-x; mohamed-el-guebbas; philippar-e; regnault-e; saint-rene-tallandier-g; terrier-a; trelat-m; warot-a; zafiropulo-d
ouenza,socouenza,Société de l'Ouenza,Soc. de l'OUENZA,15,bauer-h; beaugey-r; benazet-p; bernard-j-jules; chabert-p; drappier-g; hersent-j; kroller-a; laurent-t; marchal-c; mercier-l; monvoisin-f; nico-m; nicou-p; rydbeck-o
soctramwaysalgeriens,tramwaysalgeriens,Soc. des TRAMWAYS ALGÉRIENS,Société des Tramways algériens,13,bouvier-d; chailley-j; chamon-g; cox-j; dalaise-a; longere-a-ain-taya-e; omnibus-de-bordeaux; pres-bone; r-claude-vellefaux; r-de-la-terrasse; siry-e; tine-e; versaillaise-de-tramways
omniumminesalgerietunisie,phosphatesconstantine,Omnium Société générale de mines d'Algérie-Tunisie,Compagnie des Phosphates de Constantine,12,ansbacher-t; courbevoie; de-montureux; de-valencay; deyron-l; genebrias-de-fredaigue-g; juge-a; kapferer; kapferer-m-marcel; montureux-a; talleyrand-perigord-p; th-ansbacher
alfa,alfasocfabricationpatescellulose,L'Alfa,"L'ALFA, Soc. an. pour la fabrication des pâtes de cellulose",11,baschet-m; bouchayer-h; caron-m; chardenet-l; colas-l; desforges-p; marlio-l; roudy-a; simonin-a-armand; stephen-de-lanzac-de-laborie; villet-f
banquealgerie,banqueindustrielleafriquenord,BANQUE DE L'ALGERIE,Banque industrielle de l'Afrique du Nord,11,boyer; boyer-p; delamotte-g; ernest-picard-p; farnier-c; flouret-m; galicier-a; moatti; sabatier-e; schiaffino-l; th-rodocanachi
minierefrancoafricaine,socminierefrancoafricaine,Société Minière Franco-Africaine,Soc MINIÈRE FRANCO-AFRICAINE,9,de-barrau-de-muratel-j; de-seynes-l; e-la-bonnardiere; escaro; gorand-p; guilbert-j; kristel; leo-r; minieres-a-vernet-les-bains
petrolestliouanet,socalgeriennepetrolestliouanet,PÉTROLES de TLIOUANET,Soc. Algérienne des PÉTROLES de TLIOUANET,8,aguillon-j; beigbeder-d; chevaleau-e; de-peyerimhoff-h; homan-l; jordan-p; terquem-capitaine-de-vaisseau-en-retraite-e; zafiropulo-d
afriquenord,soccommercialeafriquenord,AFRIQUE du NORD,Soc. Commerciale de l'AFRIQUE DU NORD,8,berthon-l; chidaine-p; en-beton-t; lemaigre-dubreuil-r; michaux-l; mocquerio-p; morin-g; salvane-l
