person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
weber-j,Weber,Jean Weber,1,1,2,administrateur,1914,1919,industrie
schnebelin-r,Schnebelin,René Schnebelin,1,1,2,administrateur,1914,1919,industrie
eugene-adrien-arthemy-bastet,Eugène-Adrien-Arthémy Bastet,Eugène-Adrien-Arthémy Bastet,1,1,1,administrateur,1919,1919,industrie
delingette-a,Delingette,Alfred-Charles Delingette,1,1,1,administrateur,1919,1919,industrie
walher-p,Walher,Pierre Walher,1,1,1,administrateur,1919,1919,industrie
bastet,Bastet,Bastet,1,1,1,administrateur,1914,1914,industrie
delingette,Delingette,Delingette,1,1,1,administrateur,1914,1914,industrie
walther-p,Walther,Pierre Walther,1,1,1,administrateur,1914,1914,industrie
