person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
sagot-a,Sagot,A. Sagot; André Sagot,12,12,16,administrateur,1919,1969,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens"
de-caqueray-g,de Caqueray,Gaston de Caqueray; Gaston-Marie-Joseph de Caqueray,11,11,25,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Transports maritimes, fluviaux et aériens"
delpech-j-jean,Delpech,Jean DELPECH; Jean Delpech,11,11,21,administrateur,1911,1958,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières"
philippar-e,Philippar,E. Philippar; Edmond Philippar,11,11,20,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Transports maritimes, fluviaux et aériens"
guerin-a-albert,Guérin,Albert Guérin,12,11,19,administrateur,1926,1969,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Hôtellerie, tourisme, tourisme; Mines; Transports terrestres, garages automobiles et agricoles"
guyot-p,Guyot,P. Guyot; Paul Guyot,11,11,14,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières"
braunschvig-g,Braunschvig,G. Braunschvig; Georges Braunschvig,10,10,17,administrateur,1913,1927,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
jarre-c,Jarre,C. Jarre; Camille Jarre; Camille Jarre2; Camille Jarre°,10,10,17,president,1912,1975,"Commerce; Documents généraux (par ordre chronologique); Mines; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
toussaint-g,Toussaint,G. Toussaint; Georges Toussaint; Gibert Toussaint,10,10,15,administrateur,1932,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières"
orcel-j,Orcel,J. Orcel; Jacques Orcel,9,9,31,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Pétrole et gaz"
de-montgolfier-j-joseph,de Montgolfier,Joseph de Montgolfier,9,9,23,administrateur,1913,1952,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
rebuffel-c,Rebuffel,C. Rebuffel; Ch. Rebuffel; Charles Rebuffel,9,9,23,administrateur,1920,1958,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Mines; Transports maritimes, fluviaux et aériens"
pichard-g,Pichard,G. Pichard; Georges Léon Édouard PICHARD; Georges Pichard; PICHARD; Pichard,9,9,21,administrateur,1913,1937,"Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens"
ardoin-p,Ardoin,Ardoin; P. Ardoin; Paul Ardoin,10,9,20,administrateur,1945,1969,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Mines; Transports terrestres, garages automobiles et agricoles"
lebon-a-andre,Lebon,André Lebon,9,9,19,president,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Mines; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
cotte-l-ludovic,Cotte,Ludovic Cotte,9,9,16,administrateur,1913,1950,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques"
ferasson-l-louis,Ferasson,Louis Ferasson; Louis Férasson,9,9,16,president,1937,1969,"Documents généraux (par ordre chronologique); Mines; Transports terrestres, garages automobiles et agricoles"
massenet-a-alfred,Massenet,Alfred Massenet,9,9,15,president,1912,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries chimiques; Mines; Sociétés foncières et immobilières"
hersent-g-gilbert,Hersent,Gilbert Hersent,9,9,15,administrateur,1926,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens"
bonan-f,Bonan. 64,F. Bonan; F. Bonan. 64; Félix Bonan; Félix Bonan 1,9,9,13,administrateur,1922,1952,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques"
incertains-r,incertains,Renseignements incertains,9,9,10,administrateur,1927,1937,Documents généraux (par ordre chronologique); Industries agro-alimentaires
katz,Katz,Katz,8,8,23,administrateur,1912,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques; Transports maritimes, fluviaux et aériens"
gaston-dreyfus-r,Gaston-Dreyfus,René Gaston- Dreyfus; René Gaston-Dreyfus,8,8,17,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Pétrole et gaz; Sociétés foncières et immobilières"
lepel-cointet-g,Lepel-Cointet,G. Lepel-Cointet; Guy Lepel- Cointet; Guy Lepel-Cointet,8,8,17,administrateur,1915,1958,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières
hornung-j,Hornung,J. C. Hornung; J. C. Hornung. 1; J. Hornung. 3; J.-C. Hornung; J.-C. Hornung°; Jean-Charles Hornung,9,8,16,administrateur,1920,1952,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières"
busset-f,Busset,Busset; F. Busset; Francis Busset,8,8,14,administrateur,1921,1937,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines"
van-den-ven-p,Van den Ven,P. Van den Ven; P. Van den Ven 2; Paul Van Den Ven; Paul Van den Ven; Paul van Den Ven,8,8,14,administrateur,1922,1927,Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Sociétés foncières et immobilières
berger-v,Berger,V. Berger; Vincent Berger,8,8,13,administrateur,1904,1953,Documents généraux (par ordre chronologique); Mines
croze-h,Croze,Croze; H. Croze; Henri Croze,8,8,12,administrateur,1919,1952,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières
mussard-r,Mussard,Robert Mussard,8,8,12,administrateur,1926,1953,Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières
caqueray-g,Caqueray,Caqueray; Gaston de Caqueray,8,8,9,administrateur,1917,1926,"Banques, groupes financiers, assureurs; Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Industries diverses; Mines; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
toussaint,Toussaint,Toussaint,8,8,8,administrateur,1926,1952,Documents généraux (par ordre chronologique); Industries agro-alimentaires
fournet-j,Fournet,J.-B. Fournet; Jean-Baptiste Fournet,8,8,8,administrateur,1926,1937,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles"
dureault-h,Duréault,H. Dureault; H. Duréault; H. Duréault 2; Henri Duréault,7,7,22,administrateur,1913,1944,"Documents généraux (par ordre chronologique); Industries diverses; Transports maritimes, fluviaux et aériens"
jullien-a,Jullien,A. Jullien; Armand Jullien,7,7,22,administrateur,1937,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
gendre-e,Gendre,E. Gendre; Gendre; Édouard Gendre,8,7,19,administrateur,1926,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles"
jordan-p,Jordan,P. Jordan; Paul Jordan,7,7,18,administrateur,1913,1938,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Mines"
gompel-p,Gompel,P. Gompel; Pierre Gompel,7,7,16,administrateur,1913,1938,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
paris-e,Paris,E. Paris; Eugène Paris,7,7,15,administrateur,1930,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines"
de-freycinet-h,de Freycinet,Henry de Freycinet,7,7,14,administrateur,1913,1958,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Pétrole et gaz; Transports maritimes, fluviaux et aériens"
anthoine-f,Anthoine,F. Anthoine; François Anthoine,7,7,14,administrateur,1937,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires"
villiers-h,Villiers,H. Villiers; Henri Villiers; Henry Villiers,7,7,13,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)"
sicot-l,Sicot,L. Sicot; Louis Sicot,7,7,13,administrateur,1949,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
moreau-e,Moreau,E. Moreau,7,7,12,president,1933,1948,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
