company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
culturesdiakandape,plantationshautevolta,Cultures de Diakandapé,Société anonyme des Plantations de Haute-Volta,4,begouen-m; helbronner-h; massena-prince-d-essling-a; renoux-l
fonciereouestafricain,immobilierethies,"Compagnie Foncière de l'Ouest-Africain, puis Foncière de l'Afrique","Société Immobilière de Thiès, puis Établissements français de l’Ouest-Africain",4,froment-guieysse-g; leme-r; picot-h; poinsinet-de-sivry-g
briqueteriesbamako,immobilierethies,Briqueteries de Bamako,"Société Immobilière de Thiès, puis Établissements français de l’Ouest-Africain",4,froment-guieysse-g; guieysse-p; schurr-a; you-e
cotonniereouestafricaincotoa,cotonniereouestafricaine,Cie cotonnière de l'Ouest africain « La Cotoa»,Compagnie cotonnière ouest-africaine,4,cohen-a; froment-guieysse-g; leverdier-g; tenthorey-v
exploitationportservicespublicsportetiennesuivirezzousportetienne,ouestafricainecabotage,Société d'Exploitation du port et des services publics de Port-Étienne . Suivi de Rezzous sur Port-Étienne,Compagnie Ouest-Africaine de cabotage,4,barris-p; corbin-p; joyer-a; robert-a
agricoleindustrielleouestafricain,culturecotonniereniger,Cie agricole et industrielle de l'Ouest Africain,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",4,bedouet-j; grandet-h; hermann-du-pasquier; villars-r
culturecotonniereniger,tambacuunda,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",TAMBACUUNDA,4,cahen-fuzier-e; hermann-du-pasquier; hirsch-h; villars-r
agricoleindustrielleouestafricain,plantationsguinee,Cie agricole et industrielle de l'Ouest Africain,Société anonyme des plantations de la Guinée française,4,bedouet-j; gamichon-p; grandet-h; villars-r
agricoleindustrielleouestafricain,plantationsguineesanankoroni,Cie agricole et industrielle de l'Ouest Africain,"Plantations de la Guinée française, Sanankoroni",4,bedouet-j; gamichon-p; grandet-h; villars-r
agricoleindustriellesoudan,plantationsguinee,"Compagnie Agricole et Industrielle du Soudan, puis Agricole et Industrielle de l'Ouest africain",Société anonyme des plantations de la Guinée française,4,bedouet-j; gamichon-p; grandet-h; villars-r
agricoleindustriellesoudan,plantationsguineesanankoroni,"Compagnie Agricole et Industrielle du Soudan, puis Agricole et Industrielle de l'Ouest africain","Plantations de la Guinée française, Sanankoroni",4,bedouet-j; gamichon-p; grandet-h; villars-r
culturecotonniereniger,messageriesafricaines,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",Messageries africaines,4,cahen-fuzier-e; carde-j; hirsch-h; villars-r
huileriesrizeriesguinee,silicocalcaireafricaine,Société des Huileries-rizeries de Guinée,La Silico-Calcaire africaine,4,fourneau-l; legrand-j; legrand-r; oudot-l
forestiereafrique,scieriesafricaines,Compagnie Forestière de l'Afrique française,Compagnie des Scieries africaines,4,cassagnac-j; experton-p; vizioz-g; vizioz-j
plantationsexploitationscoloniales,plantationsexploitationscolonialesbingerville,Société de plantations et d'exploitations coloniales,"Société de Plantations et d'exploitations coloniales, Bingerville",4,bour-a; deschamps-p; pelissier-e; thibout
futsmetalliquesouestafricain,senegalaisehuilesrufisqueh,Fûts métalliques de l'Ouest Africain,Société sénégalaise des huiles de Rufisque (S.S.H,4,electrique-s; huileries; industrielle-du-baol; savonneries-de-l-ouest-africain
jeanweber,plantationstanoe,Jean Weber,Société des plantations de la Tanoé,4,allibaud-j; crivelli; legourd-a; weber
briqueteriesbamako,senegalaisetransportscommun,Briqueteries de Bamako,Compagnie sénégalaise de transports en commun,4,daroussin-j; dujardin-e; guieysse-p; mollard-j
africainesisal,africainesisaloyenbamparrufisque,Compagnie africaine de sisal,"Compagnie Africaine de Sisal, Oyenbam, par Rufisque",4,dutheil-de-la-rochere-m; halna-du-fretay-c; herve-le-grand; jacques-r-doumic
agenceabidjan,charbonniereouestafricain,Agence à Abidjan,Société charbonnière de l'Ouest Africain,4,bouffe-g; fossorier-r; merville-j; roux-j
charbonniereouestafricain,commercialeportsafricains,Société charbonnière de l'Ouest Africain,Société commerciale des ports africains,4,bouffe-g; fossorier-r; merville-j; roux-j
commercialeexportationimportation,huileriessavonneriesouestafricainsuitealminko,Commerciale d'Exportation et d'Importation,"Huileries et savonneries de l'Ouest-africain, suite d'Alminko",4,durbec-h; pedersen-n; rob-j-foine; sauvaire-jourdan-h
africainefinanciereagricole,dabou,Société africaine financière et agricole,DABOU,4,japhet-e; pirlet-l; schoofs-m; smekens-a
dabou,granddrewin,DABOU,GRAND-DREWIN,4,daudier-e; de-beaumont-j; gregoire-sainte-marie-r; schoofs-m
etablissementsroucharde,rouchard,Société anon. des Établissements Rouchard (S.A.E,"Rouchard, puis S.A. des Éts Rouchard",4,alcan; claude-a; cremieu-alcan-e; levis-h
diogue,ilmenitediogue,DIOGUÉ,"L'Ilmènite, Diogué",4,giocanti-j; leyrat; schuhmann-a; schuhmann-p
societeanonymedesanciensetablissementsjulesburki,transittransportsafrique,Société anonyme des Anciens Établissements Jules Burki,Société anon. de transit et de transports en Afrique,4,dupre-l; marcou-d; monneron-p; vidal-l
diourbel,guineennerecherchesexploitationsminieres,DIOURBEL,Société Guinéenne de Recherches et d'exploitations minières,4,baer-e; bryce-doyle-d; de-breteuil-c; faye-j
agricolecommercialeindustriellebadikaha,creditfoncierafrique,"Compagnie agricole, commerciale et industrielle de Badikaha",Crédit foncier de l'Afrique française,4,castres-saint-martin-g; de-lestang-l; tanqueray-g; vezin-m
agricolecommercialeindustriellebadikahacacib,creditfoncierafrique,"Compagnie Agricole, Commerciale et Industrielle de Badikaha CACIB)",Crédit foncier de l'Afrique française,4,castres-saint-martin-g; de-lestang-l; tanqueray-g; vezin-m
colonialecoteivoire,culturescoteivoire,Compagnie Coloniale de la Côte-d’Ivoire,Cie de cultures de la Côte-d'Ivoire,4,germain-f; laurent-j; vieljeux-c; vieljeux-p
colonialecoteivoire,delmasvieljeux,Compagnie Coloniale de la Côte-d’Ivoire,Cie Delmas-Vieljeux,4,delmas-f; laurent-j; vieljeux-c; vieljeux-p
culturescoteivoire,delmasvieljeux,Cie de cultures de la Côte-d'Ivoire,Cie Delmas-Vieljeux,4,laurent-j; roullet-g; vieljeux-c; vieljeux-p
gagnoa,pecheralcharpentiertiassale,GAGNOA,"Pécheral et Charpentier, TIASSALÉ",4,dutheil-p; guibert-g; larcheveque-h; merle-m
pecheralcharpentiertiassale,plantationsreuniesouestafricainp,"Pécheral et Charpentier, TIASSALÉ",Plantations réunies de l'Ouest-Africain (P,4,dutheil-p; guibert-g; larcheveque-h; merle-m
colonialebandama,plantationssorotona,Compagnie Coloniale du Bandama,Société des Plantations de Sorotona,4,baye-l; cayron-g; eliautou-e; mandel-a
culturesextremeorient,culturesextremeorientafrique,Cie française des cultures d'Extrême-Orient,"Cie française des Cultures d'Extrême-Orient et d'Afrique, puis Compagnie générale africaine",4,ducasse-p; grivelle-g; lamarque; marchal-g
banquecommercialeafricaine,creditfoncierouestafricain,Banque commerciale africaine,Crédit foncier de l'Ouest-Africain,3,achard-g; bouvier-r; poilay-e
creditfoncierafrique,creditfoncierouestafricain,Crédit foncier de l'Afrique française,Crédit foncier de l'Ouest-Africain,3,achard-g; castres-saint-martin-g; poilay-e
comptoirafriqueoccidentale,industrielleproduitscoloniaux,Comptoir général français de l'Afrique Occidentale,Cie industrielle des produits coloniaux,3,cochez-l; rouvrais-f; sustra-f
