territory,slug,n_documents,n_ties,n_board_ties,n_persons,n_companies,n_two_mode_edges,n_interlock_edges,n_corporate_ties,first_year,last_year,n_persons_shared,n_companies_shared,share_persons_shared,share_companies_shared
Maroc,maroc,454,12224,11667,5278,967,7994,5045,802,1878,2007,1719,58,0.326,0.06
Indochine,indochine,2460,10449,9864,3825,629,6348,5999,684,1881,1995,1321,37,0.345,0.059
Empire (transversal),empire-transversal,558,9920,9396,5060,470,6339,1390,487,1861,2006,2313,107,0.457,0.228
Algérie,algerie,816,6134,5810,3247,460,4129,1047,289,1856,1959,1302,36,0.401,0.078
Afrique occidentale française,afrique-occidentale-francaise,32,4068,3817,2396,423,3407,1141,247,1882,1975,1478,146,0.617,0.345
Madagascar,madagascar,189,3324,3074,1535,229,2140,473,224,1890,1973,602,23,0.392,0.1
Afrique équatoriale française,afrique-equatoriale-francaise,44,3000,2806,1701,295,2291,654,242,1899,1968,963,83,0.566,0.281
Tunisie,tunisie,253,2494,2395,1332,170,1682,295,100,1881,1958,670,20,0.503,0.118
Sénégal,senegal,92,1244,1195,628,72,743,83,39,1868,1953,477,37,0.76,0.514
Côte d'Ivoire,cote-d-ivoire,163,1172,1090,690,103,874,146,35,1889,1961,486,44,0.704,0.427
Syrie-Liban,syrie-liban,53,860,800,484,46,576,73,67,1892,1953,268,9,0.554,0.196
Nouvelle-Calédonie (Mélanésie),nouvelle-caledonie-melanesie,84,765,751,375,46,499,101,33,1882,1964,142,9,0.379,0.196
Java et Sumatra (Indes néerlandaises),java-et-sumatra-indes-neerlandaises,22,656,630,176,21,268,62,10,1910,1953,69,0,0.392,0.0
Gabon,gabon,61,618,596,368,43,462,60,24,1899,1959,260,22,0.707,0.512
Empire ottoman/Turquie,empire-ottoman-turquie,35,562,516,309,22,350,25,37,1896,1943,127,0,0.411,0.0
Égypte,egypte,16,533,517,222,7,240,5,1,1887,1953,57,0,0.257,0.0
Congo-Brazzaville ou Moyen-Congo,congo-brazzaville-ou-moyen-congo,84,527,511,362,50,413,34,19,1899,1954,226,19,0.624,0.38
Djibouti,djibouti,22,518,499,204,25,246,39,19,1898,1953,114,4,0.559,0.16
Guyane française,guyane-francaise,51,471,443,291,39,320,18,20,1878,1955,127,4,0.436,0.103
Tahiti (Polynésie),tahiti-polynesie,23,450,440,149,15,206,35,19,1910,1953,83,1,0.557,0.067
"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",soudan-francais-mali-haute-volta-ou-burkina-fasso-et-niger,49,350,331,202,28,234,11,20,1898,2015,127,10,0.629,0.357
La Réunion,la-reunion,15,330,327,148,17,205,22,20,1920,1953,81,8,0.547,0.471
Guadeloupe et Martinique,guadeloupe-et-martinique,20,328,322,193,34,242,19,25,1907,1962,88,3,0.456,0.088
Chine,chine,25,314,298,181,14,204,13,17,1906,1953,110,5,0.608,0.357
Guinée Conakry,guinee-conakry,56,300,265,232,32,246,6,19,1888,1951,165,15,0.711,0.469
