person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
salvago,Salvago,Salvago,3,3,18,administrateur,1905,1948,
lascaris,Lascaris,Lascaris,2,2,11,administrateur,1920,1953,
jacobs-f,Jacobs,F. Jacobs; Frédéric Jacobs*,2,2,10,administrateur,1910,1931,
jacobs-e,Jacobs,E. Jacobs,2,2,10,administrateur,1923,1953,
zarifi,Zarifi,Zarifi,2,2,10,administrateur,1905,1933,
charles-roux-j,Charles-Roux,J. Charles-Roux; Jules Charles-Roux,2,2,8,administrateur,1905,1917,
wellhoff-s,Wellhoff,S. Wellhoff,2,2,8,administrateur,1914,1940,
ders-a,Ders,A. Ders,2,2,5,administrateur,1937,1948,
van-eetvelde,van Eetvelde,Van Eetvelde; van Eetvelde,2,2,4,administrateur,1910,1917,
eid-a,Eïd,A. Eid; A. Eïd; Alfred Eïd,2,2,4,administrateur,1910,1920,
thors-j,Thors,Joseph-Henri Thors; Thors,2,2,4,administrateur,1907,1920,
pacha-nubar-b,Pacha Nubar,Boghos Pacha Nubar,2,2,4,administrateur,1907,1920,
zervudachi-g,Zervudachi,G. Zervudachi; Zervudachi,2,2,4,administrateur,1905,1912,
bourre-e,Bourre,E. Bourre,2,2,4,administrateur,1920,1940,
mazet-g,Mazet,G. Mazet,2,2,4,administrateur,1937,1953,
zarifi-p,Zarifi,P. Zarifi; Périclès Zarifi,2,2,3,administrateur,1905,1920,
aghion-j,Aghion,J. Aghion,2,2,3,administrateur,1905,1914,
mosseri-e,Mosseri,E. N. Mosseri; E.-N. Mosseri,2,2,3,president,1937,1940,
industrielle-d-egypte,industrielle d'Égypte,industrielle d'Égypte,2,2,2,administrateur,1906,1906,
petit-c,Petit,C. Petit,2,2,2,administrateur,1910,1920,
oppenheim-j,Oppenheim,J. Oppenheim,2,2,2,censeur,1887,1893,
clarck-g,Clarck,G.-H. Clarck,1,1,6,administrateur,1920,1931,
dombre-e,Dombre,E. Dombre,1,1,6,administrateur,1920,1931,
vincenot,Vincenot,Vincenot,1,1,6,president,1931,1953,
eid-g,Eïd,G. A. Eïd; G.-A. Eïd,1,1,5,administrateur,1912,1929,
legrelle-c,Legrelle,C. Legrelle,1,1,5,administrateur,1920,1929,
vial-f,Vial,F. Vial,1,1,5,administrateur,1920,1929,
rolo-s,Rolo,S. Rolo; Simon Rolo,1,1,5,administrateur,1892,1917,
pestel-a,Pestel,A. Pestel,1,1,5,administrateur,1892,1920,
adda-c,Adda,C. Adda,1,1,5,administrateur,1906,1923,
miriel-e,Miriel,E. Miriel; Miriel,1,1,5,administrateur,1914,1931,
boyer-p,Boyer,P. Boyer,1,1,5,administrateur,1920,1937,
brincard-g,Brincard,G. Brincard,1,1,5,administrateur,1931,1948,
minost-e,Minost,E. Minost,1,1,5,administrateur,1933,1953,
de-jardin-f,de Jardin*,De Jardin; Fernand DE JARDIN; Fernand de Jardin; Fernand de Jardin*,1,1,5,administrateur,1910,1938,
van-den-bosch-p,VAN DEN BOSCH,P. Van den Bosch; Paul VAN DEN BOSCH,1,1,5,administrateur,1932,1945,
ed-bourre,Ed. Bourre,Ed. Bourre,1,1,5,administrateur,1914,1927,
jullien-l,Jullien,L. Jullien,1,1,5,administrateur,1914,1927,
lebnan-b,Lebnan,Bakhos Lebnan; Bukhos Lebnan,1,1,5,administrateur,1933,1953,
schenck-a,Schenck,A. Schenck,1,1,4,administrateur,1923,1929,
demeure-j,Demeure,J. Demeure,1,1,4,administrateur,1937,1953,
martin-l,Martin,L. Martin,1,1,4,administrateur,1937,1953,
melot-h,Melot,H. Melot,1,1,4,administrateur,1937,1953,
beyerle-c,Beyerlé,Ch. Beyerlé; Charles Beyerlé,1,1,4,vice_president,1887,1906,
cattaui,Cattaui,Cattaui,1,1,4,censeur,1887,1906,
suares-f-felix,Suarès,Félix Suarès,1,1,4,censeur,1887,1906,
escoffier,Escoffier,Escoffier,1,1,4,administrateur,1914,1923,
simon-j,Simon,J. Simon,1,1,4,administrateur,1931,1940,
khalil-bey-m,Khalil Bey,Mahmoud Khalil Bey,1,1,4,administrateur,1937,1953,
clark-g,Clark,G.-H. Clark,1,1,4,administrateur,1937,1940,
jaureguiberry-j,Jauréguiberry,J. Jauréguiberry,1,1,4,administrateur,1937,1945,
abdy,Abdy,Abdy,1,1,4,administrateur,1912,1920,
ziwer-pacha-a,Ziwer pacha,Ahmed Ziwer Pacha; Ahmed Ziwer pacha,1,1,4,administrateur,1923,1945,
pottier-a,Pottier,A. Pottier,1,1,4,administrateur,1937,1940,
aghion-i,Aghion,I. Aghion; I. J. Aghion,1,1,4,administrateur,1912,1920,
foster-g,Foster,G. Foster,1,1,4,administrateur,1917,1927,
cattaui-bey-a,Cattaui Bey,Aslan Cattaui Bey,1,1,4,administrateur_delegue,1937,1953,
chalom-c,Chalom,C. Chalom; Ch. Chalom,1,1,4,administrateur,1937,1953,
braun-e,Braun,E. Braun,1,1,3,administrateur,1923,1927,
cogels-j,Cogels,J. Cogels,1,1,3,administrateur,1940,1953,
bretschneider-m,Bretschneider,Bretschneider; Maurice Bretschneider,1,1,3,censeur,1892,1906,
barois-j,Barois,J. Barois; Julien Barois,1,1,3,censeur,1892,1906,
cattaui-e,Cattaui,E. Cattaui,1,1,3,administrateur,1895,1914,
