doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-equatoriale-financiere-congo-frs-781d0b,https://entreprises-coloniales.fr/afrique-equatoriale/Financiere_Congo_frs.pdf,company,Société financière du Congo français,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1928,,Société financière du Congo français (1928)
afrique-equatoriale-francmacs-joef-aef-22d8e6,https://entreprises-coloniales.fr/afrique-equatoriale/Francmacs-JOEF-AEF.pdf,source_document,Liste des francs-maçons d'AEF et du Cameroun stigmatisés par le régime de Vichy,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Liste des francs-maçons d'AEF et du Cameroun stigmatisés par le régime de Vichy
afrique-equatoriale-generale-equateur-41c6a5,https://entreprises-coloniales.fr/afrique-equatoriale/Generale_Equateur.pdf,company,Compagnie Générale de l'Équateur,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Générale de l'Équateur (Compagnie)
afrique-equatoriale-hamon-mf3-aef-cameroun-7ee059,https://entreprises-coloniales.fr/afrique-equatoriale/Hamon-MF3-AEF-Cameroun.pdf,source_document,"Augustin Hamon, Les maîtres de la France, t. 3, 1938",Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,"Augustin Hamon, Les maîtres de la France, t. 3, 1938 : AEF+Cameroun"
afrique-equatoriale-haut-et-bas-congo-3aa0cc,https://entreprises-coloniales.fr/afrique-equatoriale/Haut_et_Bas-Congo.pdf,company,Compagnie française du Haut et Bas-Congo,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Haut et Bas-Congo (Compagnie française du)(CFHBC)(anc. affaires Tréchot)
afrique-equatoriale-legion-honneur-1931-aef-79c24e,https://entreprises-coloniales.fr/afrique-equatoriale/Legion_honneur_1931-AEF.pdf,source_document,Légions d'honneur A.-E.F.,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Légions d'honneur A.-E.F. : promotion de l'Exposition coloniale de 1931
afrique-equatoriale-messageries-fluviales-congo-f44cc3,https://entreprises-coloniales.fr/afrique-equatoriale/Messageries_fluviales_Congo.pdf,company,Messageries fluviales du Congo,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1899,1928,Messageries fluviales du Congo (1899-1928)
afrique-equatoriale-mission-marchand-b086fc,https://entreprises-coloniales.fr/afrique-equatoriale/Mission_Marchand.pdf,source_document,Mission Marchand ou Mission Congo-Nil,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Mission Marchand ou Mission Congo-Nil : Loango-Fachoda-Djibouti (1896-1899)
afrique-equatoriale-paris-congo-1925-1931-98842c,https://entreprises-coloniales.fr/afrique-equatoriale/Paris-Congo_1925-1931.pdf,company,Paris-Congo,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,1925,1931,Paris-Congo (1925-1931)
afrique-equatoriale-qui-etes-vous-1924-aef-6e2a3e,https://entreprises-coloniales.fr/afrique-equatoriale/Qui_etes-vous_1924-AEF.pdf,source_document,Qui êtes-vous ? 1924,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Qui êtes-vous ? 1924 : AEF et Cameroun. Notices complétées et mises à jour.
afrique-equatoriale-rec-1910-aef-5c411c,https://entreprises-coloniales.fr/afrique-equatoriale/REC_1910-AEF.pdf,source_document,Répertoire des entreprises coloniales 1910,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Répertoire des entreprises coloniales 1910 : AEF
afrique-equatoriale-recueil-stes-1900-aef-4c90a4,https://entreprises-coloniales.fr/afrique-equatoriale/Recueil_stes_1900-AEF.pdf,source_document,Recueil des sociétés coloniales et maritimes,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,1902,,Recueil des sociétés coloniales et maritimes (1902) : A.-E.F.
afrique-equatoriale-segedan-aa5ac3,https://entreprises-coloniales.fr/afrique-equatoriale/SEGEDAN.pdf,company,Société d'Études et de gestion de l'Afrique noire,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,"Études et de gestion de l'Afrique noire (Société d')(Segedan), Brazzaville"
afrique-equatoriale-sericicole-du-congo-aacd6f,https://entreprises-coloniales.fr/afrique-equatoriale/Sericicole_du_Congo.pdf,company,Séricicole du Congo,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Séricicole du Congo (Oubangui-Chari)
afrique-equatoriale-societe-afrique-francaise-cf8c01,https://entreprises-coloniales.fr/afrique-equatoriale/Societe_Afrique_francaise.pdf,company,Afrique française,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,1899,1902,Afrique française (Société anonyme de l')(1899-1902)
afrique-equatoriale-transp-oubangui-cameroun-78d5fd,https://entreprises-coloniales.fr/afrique-equatoriale/Transp._Oubangui-Cameroun.pdf,company,"Société de Transports Oubangui-Cameroun, puis Société des transports ouest-centrafricains",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1935,,"Société de Transports Oubangui-Cameroun (Anc. Éts Durand-Ferté)(1935), puis Société des transports ouest-centrafricains (1961)"
