person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
delmas-p-pierre,Delmas,Pierre Delmas,5,5,8,administrateur,1929,1950,Commerce; Mines; Transports
delmas-p-philippe,Delmas,Philippe Delmas,5,5,6,administrateur,1912,1922,Industries; Industries agro-alimentaires; Mines; Transports
davillier-j,Davillier,J. Davillier; Jean Davillier,4,4,13,administrateur,1920,1951,Banque; Industries; Mines; Transports
maurel-l-lucien,MAUREL,Lucien MAUREL; Lucien Maurel,4,4,7,administrateur,1919,1929,Industries; Mines; Transports
froment-guieysse-g,Froment-Guieysse,Froment-Guieysse; G. Froment-Guieysse; Georges FROMENT-GUIEYSSE; Georges Froment- Guieysse,4,4,4,administrateur,1921,1930,Foncier et immobilier; Industries; Industries agro-alimentaires
deves-g,Devès,G. Devès; Gabriel DEVÈS; Gabriel Devès,3,3,11,administrateur,1882,1917,Banque; Transports
poilay-e,Poilay,E. Poilay; Edwin Poilay,3,3,9,administrateur,1937,1953,Banque
decron-c,Decron,Ch. Decron; Charles Decron,3,3,9,administrateur,1936,1953,Banque; Transports
deves-p,Devès,P. Devès; Paul Devès; Paul Marcel Devès,3,3,9,administrateur,1920,1945,Transports
bouvier-r,Bouvier,René Bouvier,3,3,7,administrateur,1931,1945,Banque
duchesne-fournet-p,Duchesne-Fournet,P. Duchesne-Fournet; Pierre Duchesne-Fournet,3,3,7,administrateur,1908,1940,Mines
achard-g,Achard,G.-P. Achard; Georges-Pierre Achard,3,3,6,administrateur,1943,1953,Banque
lesieur-p,Lesieur,P. Lesieur; Paul Lesieur,3,3,4,administrateur,1925,1952,Commerce; Industries agro-alimentaires
legrand-g,Legrand,G. Legrand; Georges Legrand,3,3,4,administrateur,1908,1929,Mines
thube-a,Thubé,A. Thubé; Amédée Thubé; Amédée Thubé. 1,3,3,4,administrateur,1919,1938,Commerce; Transports
picot-h,PICOT,Henri PICOT; Henri Picot,3,3,3,administrateur,1921,1929,Foncier et immobilier; Industries
lorfevre-j,Lorfèvre,J. Lorfèvre; Lorfevre,3,3,3,administrateur,1930,1936,Commerce; Industries agro-alimentaires; Transports
castres-saint-martin-g,Castres- Saint-Martin,G. Castres Saint-Martin; G. Castres-Saint-Martin; Gaston Castres- Saint-Martin,3,3,3,administrateur,1940,1951,Banque; Foncier et immobilier
moreau-neret-a,Moreau-Néret,A. Moreau-Néret; André Moreau-Néret,3,3,3,administrateur,1933,1951,Mines; Transports
nouvion-h,Nouvion,H. Nouvion; H.M. Nouvion; Henri Nouvion,2,2,13,administrateur,1917,1940,Banque
vieuxtemps,Vieuxtemps,Vieuxtemps; Vieuxtemps. 18,2,2,10,administrateur,1897,1925,Transports
ganderax-e,Ganderax,Ganderax; Étienne Ganderax,2,2,9,administrateur,1915,1937,Transports
sellier-p,Sellier,P. Sellier; Paul Sellier,2,2,8,administrateur,1933,1953,Banque
charlier-a,Charlier,A. Charlier; Achille Charlier,2,2,8,administrateur,1931,1953,Mines
prom-l,Prom,L. Prom; Léon PROM; Léon Prom,2,2,7,administrateur,1912,1920,Banque; Industries
furiet-c,Furiet,Ch Furiet; Ch. Furiet; Charles Furiet,2,2,7,president,1937,1953,Banque
watel-p,Watel. 4,P. Watel; P. Watel. 4; Paul Watel; Paul Watel. 6,2,2,7,administrateur,1911,1933,Mines
ph-delmas,Ph. Delmas,Ph. Delmas,2,2,6,administrateur,1920,1929,Banque; Mines
roland-gosselin-j,Roland-Gosselin,J. Roland-Gosselin,2,2,6,administrateur,1920,1929,Transports
orcel-j,Orcel,J. Orcel; Jacques Orcel,2,2,6,administrateur,1929,1953,Commerce; Industries agro-alimentaires
payan-a,Payan,A. Payan; Albert Payan,2,2,6,president,1919,1948,Industries
angoulvant-g-gabriel,Angoulvant,Gabriel Angoulvant,2,2,5,administrateur,1922,1933,Banque; Industries
lorieux-l,Lorieux,L. Lorieux; Louis Lorieux,2,2,5,president,1915,1948,Transports
robert-m-max,Robert,Max Robert,2,2,5,administrateur,1919,1936,Industries; Transports
charbonnel-h,Charbonnel,H. Charbonnel; Henry Charbonnel,2,2,5,administrateur,1911,1925,Mines
de-la-mazeliere,de la Mazelière,de la Mazelière,2,2,5,president,1927,1940,Mines
chales-p,Chalès,Chalès. 6; P. Chalès,2,2,4,administrateur,1921,1953,Banque; Transports
guillaume-r,Guillaume,René Guillaume,2,2,4,administrateur,1929,1933,Banque
roulleaux-dugage-h,Roulleaux-Dugage,H. Roulleaux-Dugage; Henry Roulleaux-Dugage,2,2,4,administrateur,1912,1925,Mines
de-batz-r,de Batz,René de Batz,2,2,4,administrateur,1921,1929,Mines
lederlin-h,Lederlin,H. Lederlin,2,2,4,administrateur,1931,1940,Mines
legrand-r,Legrand,René Legrand,2,2,4,administrateur,1922,1926,Industries; Industries agro-alimentaires
legrand-j,Legrand,J. Legrand; Jean Legrand,2,2,4,administrateur,1925,1929,Industries; Industries agro-alimentaires
o-quin-p,O'Quin,P. O'Quin; Patrick O'Quin,2,2,4,administrateur_delegue,1933,1950,Commerce; Mines
begouen-m,Begouën. 6,Max Begouën; Max Begouën. 6; Max Bégouen,2,2,4,administrateur,1920,1937,Industries agro-alimentaires; Transports
archawski-w,Archawski,Wladimir Archawski,2,2,3,administrateur,1933,1937,Banque
lavagne-d-ortigue-j,Lavagne d'Ortigue,J. Lavagne d'Ortigue,2,2,3,administrateur,1937,1945,Banque
gaston-dreyfus-r,Gaston-Dreyfus,Gaston-Dreyfus; René Gaston-Dreyfus,2,2,3,administrateur,1929,1949,Commerce; Industries agro-alimentaires
barthes-j,Barthès,J. Barthès; Jules Barthès,2,2,3,administrateur,1921,1925,Commerce; Transports
lemaigre-dubreuil-j,Lemaigre-Dubreuil,J. Lemaigre-Dubreuil; Jacques Lemaigre-Dubreuil,2,2,3,administrateur,1948,1952,Commerce; Industries agro-alimentaires
bastin-j,Bastin,J. Bastin; Jean Bastin,2,2,3,administrateur,1948,1952,Commerce; Industries agro-alimentaires
lesieur-h,Lesieur,H. Lesieur; Henri Lesieur,2,2,3,administrateur,1948,1952,Commerce; Industries agro-alimentaires
vezin-m,Vezin,Maurice Vezin,2,2,3,administrateur,1929,1951,Banque; Foncier et immobilier
martin-j,Martin,J. Martin,2,2,3,administrateur,1929,1937,Mines
fourneau-l,Fourneau,L. Fourneau; Lucien Fourneau,2,2,3,administrateur,1922,1926,Industries; Industries agro-alimentaires
gaudart-r,Gaudart,René Gaudart,2,2,3,administrateur,1922,1925,Industries; Industries agro-alimentaires
delmas-r-robert,Delmas,Robert Delmas,2,2,3,administrateur,1936,1950,Commerce; Transports
philippart-f,Philippart,Fernand Philippart,2,2,3,administrateur,1920,1929,Industries agro-alimentaires; Transports
lemaignen-r,Lemaignen,Robert Lemaignen,2,2,3,administrateur,1936,1951,Transports
villars-r,Villars,René Villars,2,2,3,administrateur,1936,1950,Transports
durand-reville-l,Durand-Réville,Luc Durand-Réville,2,2,3,administrateur,1936,1950,Transports
