territory,slug,n_documents,n_ties,n_board_ties,n_persons,n_companies,n_two_mode_edges,n_interlock_edges,n_corporate_ties,first_year,last_year,n_persons_shared,n_companies_shared,share_persons_shared,share_companies_shared
Indochine,indochine,2527,11500,10946,4841,648,7410,6025,767,1881,1995,1409,32,0.291,0.049
Maroc,maroc,454,11123,10522,5618,920,8050,4341,734,1878,2007,1657,53,0.295,0.058
Empire (transversal),empire-transversal,558,9948,9388,5435,463,6646,1355,516,1861,2006,2254,110,0.415,0.238
Afrique occidentale francaise,afrique-occidentale-francaise,431,7679,7177,3804,567,5390,1853,400,1868,2015,1341,50,0.353,0.088
Afrique equatoriale francaise,afrique-equatoriale-francaise,262,4944,4645,2592,360,3492,899,344,1899,1968,899,25,0.347,0.069
Madagascar et Djibouti,madagascar-et-djibouti,253,4787,4457,2393,274,3190,714,296,1890,1973,748,17,0.313,0.062
Algerie,algerie,816,4628,4278,2760,287,3251,448,198,1856,1959,1138,30,0.412,0.105
Proche-Orient,proche-orient,136,2134,2022,1139,96,1341,173,121,1880,1953,388,8,0.341,0.083
Tunisie,tunisie,253,1872,1781,1157,114,1326,113,90,1881,1958,588,19,0.508,0.167
Pacifique,pacifique,122,1454,1428,642,67,867,181,83,1882,1964,195,3,0.304,0.045
Antilles-Guyane,antilles-guyane,93,1214,1153,706,87,812,57,58,1878,1962,251,3,0.356,0.034
Inde francaise,inde-francaise,12,65,63,20,3,24,1,0,1922,1953,7,0,0.35,0.0
