scope,n_person_company_ties,n_board_ties,n_persons,n_companies,n_companies_with_board,n_interlock_edges,n_comembership_edges,n_corporate_edges,n_reference_edges
all,103067,92574,34551,10372,6475,79636,575215,3137,5203
pre_1914,14456,13323,7058,1258,1258,4634,,,
1914_1929,30493,27851,11113,2375,2375,16144,,,
1930_1944,23116,20708,8823,2147,2147,11651,,,
1945_1962,28099,24512,11999,2893,2893,18665,,,
post_1962,2676,2485,1825,472,472,748,,,
undated,4227,3695,1359,856,,,,,
