doc_id,snapshot_year,person_key,name_clean,surname,given,chamber,constituency,years_raw,year_start,year_end,n_firms,source_ref
empire-deputes-financiers-1893-376142,1893,bischoffsheim,Bischoffsheim,Bischoffsheim,,Chamber of Deputies,,,,,5,Députés et financiers
empire-parlementaires-financ-1924-feb02a,1924,accambray-l,Léon Accambray,Accambray,Léon,Chamber of Deputies,Aisne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,amic-j,Jean Amic,Amic,Jean,Senate,Alpes-Maritimes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,ancel-g,Georges Ancel,Ancel,Georges,Chamber of Deputies,Seine-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,andrieux-l,Louis Andrieux,Andrieux,Louis,Chamber of Deputies,Basses-Alpes,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,anquetil-p,Paul Anquetil,Anquetil,Paul,Chamber of Deputies,Seine-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,arago-f,François Arago,Arago,François,Chamber of Deputies,Alpes-Maritimes,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,artaud-a,Adrien Artaud,Artaud,Adrien,Chamber of Deputies,Bouches-du-Rhône,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,babin-chevaye-j,Jean Babin-Chevaye,Babin-Chevaye,Jean,Senate,Loire-Inférieure,1920-1936,1920,1936,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bares-c,Charles Barès,Barès,Charles,Chamber of Deputies,Haute-Garonne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,auber,Auber,Auber,,Senate,Réunion,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,ballande-a,André Ballande,Ballande,André,Chamber of Deputies,Gironde,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,barety-l,Léon Baréty,Baréty,Léon,Chamber of Deputies,Bouches-du-Rhône,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,barthelemy-g,Georges Barthélémy,Barthélémy,Georges,Chamber of Deputies,Pas-de-Calais,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bartholoni-r,René Bartholoni,Bartholoni,René,Chamber of Deputies,Haute-Savoie,1919-1924,1919,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,barthou-l,Louis Barthou,Barthou,Louis,Chamber of Deputies,,1889,1889,1889,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bataille-v,Victor Bataille,Bataille,Victor,Chamber of Deputies,Cantal,1919-1924,1919,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,d-asson-b,Baudry d'Asson,d'Asson,Baudry,Chamber of Deputies,Vendée,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,berenger-h,Henry Bérenger,Bérenger,Henry,Senate,Guadeloupe,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bergeon-c,Charles Bergeon,Bergeon,Charles,Senate,Bouches-du-Rhône,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bernier-j,Joseph Bernier,Bernier,Joseph,Chamber of Deputies,Ain,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,berthelot-a,André Berthelot,Berthelot,André,Senate,Seine,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bessonneau-j,Julien Bessonneau,Bessonneau,Julien,Chamber of Deputies,Maine-et-Loire,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bignon-p,Paul Bignon,Bignon,Paul,Chamber of Deputies,Seine-Inférieure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,berthoulat-g,Georges Berthoulat,Berthoulat,Georges,Senate,Seine-et-Oise,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bertier-de-sauvigny,Bertier de Sauvigny,Bertier de Sauvigny,,Senate,Moselle,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,binder-m,Maurice Binder,Binder,Maurice,Chamber of Deputies,Landes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,blanchet-v,Victor Blanchet,Blanchet,Victor,Chamber of Deputies,Isère,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bertrand-c,Charles Bertrand,Bertrand,Charles,Chamber of Deputies,Seine,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bluysen-p,Paul Bluysen,Bluysen,Paul,Chamber of Deputies,Inde,1910-1914,1910,1914,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,boivin-champaux,Boivin-Champaux,Boivin-Champaux,,Senate,Calvados,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bougere-f,Ferdinand Bougère,Bougère,Ferdinand,Chamber of Deputies,Maine-et-Loire,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bouilloux-lafont,Bouilloux-Lafont,Bouilloux-Lafont,,Chamber of Deputies,Finistère,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bourgeois-r,Robert Bourgeois,Bourgeois,Robert,Senate,Haut-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bouvet-m,Maurice Bouvet,Bouvet,Maurice,Chamber of Deputies,Jura,1919-1924,1919,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,buhan-e,Eugène Buhan,Buhan,Eugène,Senate,Gironde,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,boussenot-g,Georges Boussenot,Boussenot,Georges,Chamber of Deputies,Réunion,,,,4,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,breton,Breton,Breton,,Senate,Cher,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,bringer,Bringer,Bringer,,Chamber of Deputies,Lozère,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,caillat,Caillat,Caillat,,Chamber of Deputies,Hautes-Alpes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,calary-de-lamaziere,Calary de Lamazière,Calary de Lamazière,,Chamber of Deputies,Seine,,,,4,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chagnaud-l,Léon Chagnaud,Chagnaud,Léon,Senate,Creuse,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chassaigne-goyon-p,Paul Chassaigne-Goyon,Chassaigne-Goyon,Paul,Chamber of Deputies,Seine,1919-1936,1919,1936,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chaumet-c,Charles Chaumet,Chaumet,Charles,Senate,Gironde,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chastenet-g,Guillaume Chastenet,Chastenet,Guillaume,Senate,Gironde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,cheron-a,Adolphe Chéron,Chéron,Adolphe,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,chevalier-p,Paul Chevalier,Chevalier,Paul,Senate,Meuse,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,clementel-e,Étienne Clémentel,Clémentel,Étienne,Senate,Puy-de-Dôme,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,cheneboit,Chêneboit,Chêneboit,,Senate,Aisne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,coignet-j,Jean Coignet,Coignet,Jean,Senate,Rhône,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,colrat-de-montrozier-m,Maurice Colrat de Montrozier,Colrat de Montrozier,Maurice,Chamber of Deputies,Seine-et-Oise,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,combrouze,Combrouze,Combrouze,,Chamber of Deputies,Gironde,1906-1924,1906,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,cosnier,Cosnier,Cosnier,,Senate,Indre,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dausset,Dausset,Dausset,,Senate,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,diebolt-weber,Diébolt-Weber,Diébolt-Weber,,Senate,Bas-Rhin,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dior-l,Lucien Dior,Dior,Lucien,Chamber of Deputies,Manche,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,doumer-p,Paul Doumer,Doumer,Paul,Senate,Corse,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,duboin-j,Jacques Duboin,Duboin,Jacques,Chamber of Deputies,Haute-Savoie,,,,4,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dugueyt-p,Paul Dugueyt,Dugueyt,Paul,Chamber of Deputies,Isère,1919-1924,1919,1924,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dumont-c,Charles Dumont,Dumont,Charles,Senate,Jura,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,durand-j,Jean Durand,Durand,Jean,Senate,Aude,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,dutreil-m,Maurice Dutreil,Dutreil,Maurice,Chamber of Deputies,Mayenne,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,duval-arnould-l,Louis Duval-Arnould,Duval-Arnould,Louis,Chamber of Deputies,Seine,1919-1936,1919,1936,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,eccard-f,François Eccard,Eccard,François,Senate,Bas-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,escudier-p,Paul Escudier,Escudier,Paul,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,favre-a,Albert Favre,Favre,Albert,Chamber of Deputies,Charente-Inférieure,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,fould-a,Achille Fould,Fould,Achille,Chamber of Deputies,Basses-Pyrénées,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,fournier-sarloveze-r,Robert Fournier-Sarlovèze,Fournier-Sarlovèze,Robert,Chamber of Deputies,Oise,,,,4,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,francois-marsal-f,Frédéric François-Marsal,François-Marsal,Frédéric,Senate,Cantal,,,,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gaebele,Gaebelé,Gaebelé,,Senate,Inde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gaborit-f,Félix Gaborit,Gaborit,Félix,Chamber of Deputies,Seine-et-Marne,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gaebele,Gaebelé,Gaebelé,,Senate,Inde,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gauvin,Gauvin,Gauvin,,Senate,Loir-et-Cher,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gegauff-s,Sébastien Gegauff,Gegauff,Sébastien,Senate,Haut-Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,geo-gerald,Géo-Gérald,Géo-Gérald,,Chamber of Deputies,Charente,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gerard-a,Albert Gérard,Gérard,Albert,Senate,Ardennes,1903-1930,1903,1930,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gerard-f,François Gérard,Gérard,François,Chamber of Deputies,Calvados,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,giraud-h,Hubert Giraud,Giraud,Hubert,Chamber of Deputies,Bouches-du-Rhône,,,,2,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,girod,Girod,Girod,,Chamber of Deputies,Doubs,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,gounouilhou,Gounouilhou,Gounouilhou,,Chamber of Deputies,Gers,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,grinda-e,Édouard Grinda,Grinda,Édouard,Chamber of Deputies,Alpes-Maritimes,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,guernier-c,Charles Guernier,Guernier,Charles,Chamber of Deputies,Ille-et-Vilaine,1853-1931,1853,1931,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,hauet-a,Albert Hauet,Hauet,Albert,Chamber of Deputies,Aisne,1906-1941,1906,1941,3,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,hayez,Hayez,Hayez,,Senate,Nord,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,helmer-p,Paul-Albert Helmer,Helmer,Paul-Albert,Senate,Rhin,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,hervey-m,Maurice Hervey,Hervey,Maurice,Senate,Eure,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,isaac-a,Auguste Isaac,Isaac,Auguste,Chamber of Deputies,Rhône,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,israel-a,Alexandre Israël,Israël,Alexandre,Chamber of Deputies,,1880-1957,1880,1957,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,japy,Japy,Japy,,Senate,Doubs,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,join-lambert-a,André Join-Lambert,Join-Lambert,André,Chamber of Deputies,Eure,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,josse,Josse,Josse,,Senate,Eure,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,jourdain-p,Paul Jourdain,Jourdain,Paul,Chamber of Deputies,Haut-Rhin,,,,1,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,de-lasteyrie-c,Charles de Lasteyrie,de Lasteyrie,Charles,Chamber of Deputies,Corrèze,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,leboucq-c,Charles Leboucq,Leboucq,Charles,Chamber of Deputies,Seine,,,,0,Parlementaires et financiers
empire-parlementaires-financ-1924-feb02a,1924,lebrun-a,Albert Lebrun,Lebrun,Albert,Senate,Meurthe-et-Moselle,,,,2,Parlementaires et financiers
