sector_a,sector_b,sector_a_en,sector_b_en,n_interlocks
health_education,textiles_leather,"Health, education and research",Textiles and leather,4
media_print,textiles_leather,"Press, printing and communications",Textiles and leather,4
culture_leisure,plantations,"Culture, sport and leisure",Plantations and commodity crops,3
health_education,real_estate,"Health, education and research",Land and real estate,3
metals_engineering,textiles_leather,Metallurgy and engineering,Textiles and leather,3
culture_leisure,health_education,"Culture, sport and leisure","Health, education and research",2
culture_leisure,metals_engineering,"Culture, sport and leisure",Metallurgy and engineering,2
culture_leisure,utilities,"Culture, sport and leisure","Water, gas and electricity",2
chemicals,hospitality,Chemicals and pharmaceuticals,Hotels and tourism,1
chemicals,media_print,Chemicals and pharmaceuticals,"Press, printing and communications",1
culture_leisure,media_print,"Culture, sport and leisure","Press, printing and communications",1
culture_leisure,real_estate,"Culture, sport and leisure",Land and real estate,1
culture_leisure,textiles_leather,"Culture, sport and leisure",Textiles and leather,1
culture_leisure,trade,"Culture, sport and leisure",Trade and commerce,1
health_education,metals_engineering,"Health, education and research",Metallurgy and engineering,1
