doc_id,company_key,company_name,person_key,member_key,name_clean,surname,given,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw,entry_number,source_genre,in_colonial_dataset
empire-desfosses-1956-adm-655dbf,landbankegypt,Land bank of Egypt,abaza-m,,Mohamed Aziz Abaza,Abaza,Mohamed Aziz,administrateur,1956,Annuaire Desfossés 1956,Land bank of Egypt,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abaza (Mohamed Aziz),219,person_index,1
empire-desfosses-1956-adm-655dbf,banqueottomane,Banque ottomane,abbott-s,,S.E Abbott,Abbott,S.E,administrateur,1956,Annuaire Desfossés 1956,cté Londres Bq ottomane,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abbott (S.E.),216,person_index,0
empire-desfosses-1956-adm-655dbf,suezuniversellecanalmaritime,Suez (Compagnie universelle du canal maritime de),abboud-a,,Ahmed Abboud,Abboud,Ahmed,administrateur,1956,Annuaire Desfossés 1956,Suez,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abboud (Ahmed),474,person_index,0
empire-desfosses-1956-adm-655dbf,sucreriesraffinerieegypte,Sucreries et raffinerie d’Égypte,abboud-a,,Ahmed Abboud,Abboud,Ahmed,president_directeur_general,1956,Annuaire Desfossés 1956,pdt-adm.-dir. Sucr. et raff. d’Égypte,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abboud (Ahmed),2108,person_index,0
empire-desfosses-1956-adm-655dbf,banquealgerietunisie,Banque de l’Algérie et de la Tunisie,abdul-wahab-h,,Hassen Abdul-Wahab,Abdul-Wahab,Hassen,censeur,1956,Annuaire Desfossés 1956,censeur Bq Algérie + Tunisie,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abdul-Wahab (Hassen),105,person_index,0
empire-desfosses-1956-adm-655dbf,nestlealimentanasa,Nestlé alimentana SA,abegg-c,,C.-J Abegg,Abegg,C.-J,president,1956,Annuaire Desfossés 1956,pdt Nestlé Alimentana,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abegg (C.-J.),2111,person_index,0
empire-desfosses-1956-adm-655dbf,unilacinc,Unilac Inc,abegg-c,,C.-J Abegg,Abegg,C.-J,president,1956,Annuaire Desfossés 1956,pdt Unilac inc.,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abegg (C.-J.),2112,person_index,0
empire-desfosses-1956-adm-655dbf,grandshotelslevant,Grands hôtels du Levant,abi-chahla-h,,Habib Abi-Chahla,Abi-Chahla,Habib,administrateur,1956,Annuaire Desfossés 1956,Grands Hôtels du Levant,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abi-Chahla (Habib),2029,person_index,1
empire-desfosses-1956-adm-655dbf,applicationshydrauliquessahide,Société d’applications hydrauliques (SAHIDE),abi-chahla-h,,Habib Abi-Chahla,Abi-Chahla,Habib,administrateur,1956,Annuaire Desfossés 1956,Applications hydrauliques,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abi-Chahla (Habib),1613,person_index,0
empire-desfosses-1956-adm-655dbf,optiquemecaniquehteprecisionsom,Société d’optique et de mécanique de hte précision-SOM (Anc. Éts Lacour-Berthiot) fusion en,d-abo-p,,P. d'Abo,d'Abo,P.,administrateur,1956,Annuaire Desfossés 1956,Optique+méca hte précision,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_particle_moved,Abo (P. d’),1060,person_index,0
empire-desfosses-1956-adm-655dbf,tecalemit,Técalémit,abor-sibuet,,Abor-Sibuet,Abor-Sibuet,,commissaire_aux_comptes,1956,Annuaire Desfossés 1956,comm. cptes suppl. Técalémit,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_only,Abor-Sibuet,1139,person_index,0
empire-desfosses-1956-adm-655dbf,sucrerieraffineriebresles,Sucrerie et raffinerie de Bresles,d-aboville-j,,J. d'Aboville,d'Aboville,J.,administrateur,1956,Annuaire Desfossés 1956,,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_particle_moved,Aboville (J. d’),1991,person_index,0
empire-desfosses-1956-adm-655dbf,chadeholdingespagnol,CHADE (holding espagnol),abs-j,,J Abs,Abs,J,administrateur,1956,Annuaire Desfossés 1956,CHADE,Empire (transversal),,Documents généraux (par ordre chronologique),person_index,person_index,index_surname_paren,Abs (J.),1333,person_index,0
