doc_id,person_key,person_id,in_network,name_clean,surname,given,office_class,office_raw,jurisdiction,former,pattern,evidence,source_ref,region,country
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,borde-e,,0,E. BORDE,BORDE,E.,local_elected,maire de,LArba,0,apposition,"ES SAUTERELLES INVASION DE 1891 DÉFENSE RATIONNELLE & PRATIQUE Par M. E. BORDE, maire de LArba 1 vol. in-8° de 120 pages, 2 fr. 50 ———————————— BIBLIOGRAPHIE (La Dépêch",Jourdan,Algerie,Algérie
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,jonnart,,0,Jonnart,Jonnart,,colonial_governor,gouverneur général,Algérie,0,apposition,"ra) de la carte de l’Algérie, au 1/200.000e, dressée par ordre de M. Jonnart, gouverneur général de l’Algérie, au service des cartes et plans du gouvernement général. ———————",Jourdan,Algerie,Algérie
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,de-galland-c,,0,Charles de Galland,de Galland,Charles,local_elected,maire d’,Alger,0,apposition,"étaient jointes de nombreuses notabilités. Au cimetière, M. Charles de Galland, maire d’Alger, a prononcé un émouvant éloge du regretté défunt. Nous présentons à M. Ad",Jourdan,Algerie,Algérie
afrique-du-nord-aec-1922-maroc-ba808c,picanon-e,picanon-e,1,Édouard Picanon,Picanon,Édouard,colonial_governor,lieutenant-gouverneur,Cochinchine,0,entry_header,"ecrétaire général par intérim du gouvernement général de l’Indochine 4 (1895), lieutenant-gouverneur de la Cochinchine (1898-1901), gouverneur de la Nouvelle-Calédonie (1902-1905)",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,picanon-e,picanon-e,1,Édouard Picanon,Picanon,Édouard,colonial_governor,gouverneur de la Nouvelle-Calédonie,,0,entry_header," de l’Indochine 4 (1895), lieutenant-gouverneur de la Cochinchine (1898-1901), gouverneur de la Nouvelle-Calédonie (1902-1905), de la Guyane (1906-1907), directeur général des douanes et régies",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,mettetal-f,mettetal-f,1,Frédéric Mettetal,Mettetal,Frédéric,local_elected,maire d’,Hanoï,0,apposition,"la Fondation Lucien de Reinach. Deux filles mariées l’une à Frédéric Mettetal, maire d’Hanoï, puis administrateur des Eaux et électricité de l’Indochine et de l’Indoc",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,dureault-h,dureault-h,1,Henri Duréault,Duréault,Henri,senior_state,préfet,,1,bracket,"s ; import., export., consign., commission. Conseil. — MM. H[enri] Duréault [anc. préfet (ci-dessus)], présid. ; Ernest Plisson, v.- présid. ; J. Plisson, Pierre Norman",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,henri-dureault,,0,[Henri] Duréault,[Henri] Duréault,,senior_state,préfet,,1,bracket,"nn [adm. délégué des Docks et entrepôts de Marseille, etc.], [Henri] Duréault [anc. préfet (ci-dessus)], [Henri] Estier [STIM], H[enry] de Freycinet [Schneider/Cie maroc",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1951-maroc-0655fe,peyronnet-a,peyronnet-a,1,Albert Peyronnet,Peyronnet,Albert,minister,ministre du travail,,0,entry_header,"958) : magistrat, avocat, directeur de cabinet, sénateur de l’Allier (1912), 1 ministre du travail (1922-1924), vice-président du Sénat (1925-1929), il entre au milieu des années",Annuaire des entreprises coloniales 1951,Maroc,Maroc
afrique-du-nord-aec-1951-maroc-0655fe,de-tarde-g,de-tarde-g,1,Guillaume de Tarde,de Tarde,Guillaume,minister,ministre du Commerce Lucien Dior,,0,entry_header,"aire général adjoint du protectorat 5 du Maroc (1914-1921), chef de cabinet du ministre du Commerce Lucien Dior (1921-1922), directeur de I'Office national du commerce extérieur (1922-1927),",Annuaire des entreprises coloniales 1951,Maroc,Maroc
afrique-du-nord-aec-1951-maroc-0655fe,longchambon-h,longchambon-h,1,Henri Longchambon,Longchambon,Henri,minister,Ministre du ravitaillement,,0,entry_header,"maine atomique (18 juin 1940). Revient en France fin juillet 1940. Résistance. Ministre du ravitaillement (janvier-juin 1946), sénateur R.G.R. des Français de l’étranger (1947-1969), p",Annuaire des entreprises coloniales 1951,Maroc,Maroc
afrique-du-nord-aec-1951-maroc-0655fe,cravoisier-h,cravoisier-h,1,Henry Cravoisier,Cravoisier,Henry,local_elected,maire de,Melun,1,entry_header,"s fermes de Tazi, Sté agricole des Zemmours. Henry Cravoisier (1884-1952) : ancien maire de Melun, ancien député de la Seine-et-Marne 32 (1928-1932), administrateur des C",Annuaire des entreprises coloniales 1951,Maroc,Maroc
