from_company_id,to_company_id,from_name,to_name,n_observations,first_year,last_year,roles
bourdaistouches,cheminsferouestalgerien,Bourdais des Touches,Chemins de fer de l'Ouest-Algérien,3,1912,1929,administrateur:3
cheminsferplm,energieelectriquemaroc,Cie des chemins de fer PLM,ÉNERGIE ÉLECTRIQUE DU MAROC,3,1937,1948,administrateur:3
cheminferparisorleans,energieelectriquemaroc,Cie du chemin de fer Paris-Orléans,ÉNERGIE ÉLECTRIQUE DU MAROC,3,1937,1948,administrateur:3
financiere,exploitationsminieressidibouaouane,Société financière,Société d'exploitations minières de Sidi-Bou-Aouane,3,1945,1953,administrateur:3
marquishenriassche,cotonniereequatoriale,marquis Henri d'Assche,Cie cotonnière équatoriale française,3,1946,1951,administrateur:3
entreprisesindustrielles,plantationspalmeraiesogooue,Société d'entreprises industrielles,Cie générale des plantations et palmeraies de l'Ogooué,3,1951,1953,administrateur:3
etudesminieresextremeorient,miniereoubanghioriental,Société d'études minières en Extrême-Orient,Cie minière de l'Oubanghi oriental,3,1948,1951,administrateur:3
banqueafrique,equatorialemines,Banque française de l'Afrique,Compagnie Équatoriale de mines,3,1927,1930,administrateur:3
parismaroc,comptoirsafricains,Société Paris-Maroc,Cie générale des comptoirs africains,3,1921,1925,administrateur:3
patey,culturecotonniereniger,général Patey,Cie de culture cotonnière du Niger,3,1922,1929,administrateur:2; president:1
colonelgros,forestiereafrique,colonel Gros,Cie forestière de l'Afrique française,3,1922,1929,president:3
hautogooue,messageriessenegal,Société du Haut-Ogooué,Messageries du Sénégal,3,1950,1951,administrateur:3
etsmaurel,chauxcimentssenegal,Éts Maurel,Chaux et ciments du Sénégal,3,1929,1929,administrateur:3
mineszincguergour,banquecommercialemaroc,Mines de zinc de Guergour,Banque commerciale du Maroc,2,1922,1922,administrateur:2
banquetunisie,banquecommercialemaroc,Banque de Tunisie…],Banque commerciale du Maroc,2,1922,1922,administrateur:2
rsautterbanqueodier,banquecommercialemaroc,R Sautter[de la banque Odier,Banque commerciale du Maroc,2,1922,1922,administrateur:2
comtegbeaumont,creditfonciermaroc,comte G de Beaumont,Crédit foncier du Maroc,2,1922,1925,administrateur:2
baronamedeereille,creditfonciermarocain,baron Amédée Reille,Crédit foncier marocain,2,1922,1925,president:2
baronamedeereille,creditfrancomarocaincommerceexterieur,baron Amédée Reille,Crédit franco-marocain du commerce extérieur,2,1922,1925,vice_president:2
julesalexandre,marocainemetallurgique,Jules Alexandre [Anc. Éts Bouvier,Sté marocaine métallurgique,2,1913,1922,administrateur:2
admetudesafrique,agricolecommercialeindustriellemarocaine,adm. Cie d'études en Afrique],"Cie agricole, commerciale, industrielle marocaine",2,1913,1913,administrateur:2
bqetatmaroc,cheminsfermaroc,Bq d'État du Maroc],Cie des chemins de fer du Maroc,2,1913,1922,administrateur:2
bqnatcredit,minesmaroc,Bq Nat. Crédit…],Sté française des mines du Maroc,2,1878,1927,president:2
marquiscaviedes,internationaleregiecointeresseetabacsmaroc,marquis de Caviedès,Sté internationale de régie co-intéressée des tabacs au Maroc,2,1922,1923,administrateur:2
bourgeois,marocainescieriesatlas,Bourgeois,Sté marocaine des scieries de l'Atlas,2,1922,1958,administrateur:2
ctegmoustier,elevagemeknes,Cte G de Moustier,Sté d'élevage de Meknès,2,1958,1958,administrateur:2
ctepomereu,elevagemeknes,Cte A de Pomereu,Sté d'élevage de Meknès,2,1958,1958,administrateur:2
ctegmun,elevagemeknes,Cte G de Mun,Sté d'élevage de Meknès,2,1958,1958,administrateur:2
baronfontanges,immobilierecasablanca,baron de Fontanges,Sté immobilière de Casablanca,2,1920,1950,administrateur:2
baronreille,lainieremarocaine,baron Reille,Lainière Marocaine,2,1926,1950,conseil_surveillance:2
algerienne,materieltravauxagricoles,Compagnie Algérienne,Cie de matériel et de travaux agricoles,2,1926,1926,administrateur:2
creditfoncieralgerie,materieltravauxagricoles,Crédit foncier d'Algérie,Cie de matériel et de travaux agricoles,2,1926,1926,administrateur:2
unioncommercialeindochinoise,boulognemaroc,L'Union commerciale indochinoise,Boulogne-Maroc,2,1923,1926,administrateur:2
patey,africaineagricoleminiere,général Patey,Cie africaine agricole et minière,2,1934,1937,president:2
acieriesmicheville,metallurgiqueminierefrancomarocaine,Société des Aciéries de Micheville,Cie métallurgique et minière franco-marocaine,2,1912,1937,administrateur:2
minesdouaria,minieremaroc,Société des mines de Douaria,Compagnie minière du Maroc,2,1931,1937,administrateur:2
minerais,minieremaroc,Société « Minerais,Compagnie minière du Maroc,2,1931,1937,administrateur:2
acieries,minieremaroc,Société des aciéries,Compagnie minière du Maroc,2,1931,1937,administrateur:2
raffinerielebaudyfreres,sucrieremarocaine,Société de la Raffinerie Lebaudy frères,Cie sucrière marocaine,2,1937,1969,administrateur:2
sucreries,sucrieremarocaine,Société des Sucreries,Cie sucrière marocaine,2,1937,1969,administrateur:2
feraud,hydrauliqueafrique,général Féraud,L'Hydraulique-Afrique,2,1910,1937,president:2
manganese,cherifienneetudesminieres,Société du Manganèse,Société anonyme chérifienne d'Études minières,2,1929,1937,administrateur:2
forgeschatillon,etudesexploitationsminierestadla,Cie des Forges de Châtillon,Société d'études et d'exploitations minières du Tadla,2,1937,1969,vice_president:2
bureaurecherches,etudesexploitationsminierestadla,Bureau de recherches,Société d'études et d'exploitations minières du Tadla,2,1937,1969,administrateur:2
nordafricaineetudes,sudmarocain,Société Nord-Africaine d'études,Cie du Sud-Marocain,2,1923,1937,administrateur:2
parentreprisesurbaines,cherifiennehivernage,par la Société d'entreprises urbaines,Société chérifienne d'hivernage,2,1936,1937,administrateur:2
marocaine,africaineexplosifs,Cie marocaine,Cie africaine des explosifs,2,1936,1937,administrateur:2
francomarocainefedala,salinesfedala,Cie franco-marocaine de Fedala,Salines de Fédala,2,1930,1930,administrateur:2
financieremaroc,tuileriesbriqueteriesmarrakech,Société financière du Maroc,Tuileries et briqueteries de Marrakech,2,1930,1930,administrateur:2
mogreb,miniereakka,Cie Générale du Mogreb,Société minière d'Akka,2,1949,1952,administrateur:2
holdingcoloniale,miniereakka,Holding coloniale,Société minière d'Akka,2,1949,1952,administrateur:2
banqueindochine,creditmarocain,Banque de l'Indochine,Crédit marocain,2,1952,1952,administrateur:2
unioneuropeenneindustrielle,creditmarocain,l'Union européenne industrielle,Crédit marocain,2,1952,1952,administrateur:2
marocaine,lesieurafrique,Cie marocaine,Lesieur-Afrique,2,1952,1969,administrateur:2
creditmarocain,lesieurafrique,Crédit marocain,Lesieur-Afrique,2,1952,1969,administrateur:2
financieremaroc,carrieresmarocaines,Société financière du Maroc,Société des Carrières marocaines,2,1929,1969,administrateur:2
bureaurech,cherifiennepetroles,Bureau de rech,Société chérifienne des pétroles,2,1950,1969,administrateur:2
fsepetroles,cherifiennepetroles,Cie fse des pétroles,Société chérifienne des pétroles,2,1950,1969,administrateur:2
glemaroc,cherifiennepetroles,Cie gle du Maroc,Société chérifienne des pétroles,2,1950,1969,administrateur:2
gallen,marocainedistributioneaugazelectricite,Gallen,"Société marocaine de distribution d'eau, de gaz et d'électricité",2,1951,1969,administrateur:2
louishalmagrandminesbouskour,minesissougri,Louis Halmagrand [Mines de Bou-Skour,Société des mines de l'Issougri,2,1951,1952,administrateur:2
unionimmobilieremoghreb,minesissougri,Union immobilière du Moghreb],Société des mines de l'Issougri,2,1951,1952,administrateur:2
tifnouttiranimine,minierebouazzergraara,Cie de Tifnout-Tiranimine,Société minière de Bou-Azzer et du Graara,2,1950,1952,administrateur:2
iomniumentreprises,minierehautguir,I'Omnium d'entreprises,Société minière du Haut-Guir,2,1951,1952,administrateur:2
cinvestmenttradingcyltd,porttanger,A. C. Investment and Trading Cy Ltd,Société du port de Tanger,2,1951,1952,administrateur:2
maroc,porttanger,Cie générale du Maroc,Société du port de Tanger,2,1951,1952,administrateur:2
omniumouledharris,marocainebenimtir,Omnium des Ouled Harris,Société marocaine des Beni M'Tir,2,1951,1952,administrateur:2
entreprisesmaroc,habitationsmaroc,Société générale d'entreprises au Maroc,Société d'habitations au Maroc,2,1932,1952,administrateur:2
cheminsfermaroc,habitationsmaroc,Cie des chemins de fer du Maroc,Société d'habitations au Maroc,2,1932,1952,administrateur:2
docteurrebatel,algerienneglacehygieniqueentreposagefrigorifique,docteur REBATEL,Compagnie Algérienne de glace hygiénique et d'entreposage frigorifique,2,1899,1899,president:2
administration,daumas,Administration,DAUMAS,2,1925,1925,directeur_general:2
coloneldhe,entreprisesaeronautiques,colonel Dhé,Cie générale d'ENTREPRISES AÉRONAUTIQUES,2,1925,1925,administrateur:2
tunisie,auxiliairenavigation,Tunisie,Cie auxiliaire de NAVIGATION,2,1925,1944,commissaire_aux_comptes:2
