person_key,surname,given_variants,n_ties,n_name_variants,name_variants
homberg-o,Homberg,O.; OCTAVE; Octave,176,4,O. Homberg; OCTAVE HOMBERG; Octave HOMBERG; Octave Homberg
guesde-p,Guesde,P.; Pierre,165,6,P. GUESDE; P. Guesde; P. Guesde. 34; P. Guesde. 7; Pierre GUESDE; Pierre Guesde
laurent-j,Laurent,J.; J. E. P.; J.-E.-P.; Jacques; Jacques Charles; Jacques-Charles; Jean; Joseph,107,10,J. E. P. Laurent; J. LAURENT; J. Laurent; J.-E.-P. Laurent; Jacques Charles Laurent; Jacques Laurent; Jacques-Charles Laurent; Jean LAURENT; Jean Laurent; Joseph Laurent
atthalin-a,Atthalin,A.; André,104,3,A. Atthalin; André ATTHALIN; André Atthalin
bernard-j,Bernard,J.; J.-B.; Jacques; Jules,104,4,J. Bernard; J.-B. Bernard; Jacques Bernard; Jules Bernard
michel-cote-c,Michel-Cote,C.; Ch; Ch.; Charles,101,11,C. Michel- Cote; C. Michel-Cote; C. Michel-Côte; Ch Michel-Côte; Ch. Michel- Côte; Ch. Michel-Cote; Ch. Michel-Côte; Ch. Michel-Côte. 2; Charles MICHEL-CÔTE; Charles Michel-Cote; Charles Michel-Côte
hersent-g,Hersent,G.; Georges; Gilbert,95,4,G. Hersent; Georges Hersent; Gilbert HERSENT; Gilbert Hersent
bouvier-r,Bouvier,René,93,2,René BOUVIER; René Bouvier
gradis-g,Gradis,G.; Gaston,91,3,G. Gradis; Gaston GRADIS; Gaston Gradis
bernard-p,Bernard,P.; PAUL; Paul; Paul-Henri,86,6,P. BERNARD; P. Bernard; PAUL BERNARD; Paul BERNARD; Paul Bernard; Paul-Henri Bernard
lebon-a,Lebon,A.; Albert; Alfred; André,84,4,A. Lebon; Albert Lebon; Alfred Lebon; André Lebon
loisy-x,Loisy,X.; Xavier,76,3,X. Loisy; Xavier LOISY; Xavier Loisy
giscard-d-estaing-e,Giscard d'Estaing,E.; Edmond,76,8,E. GISCARD D'ESTAING; E. GISCARD d'ESTAING; E. Giscard d'Estaing; E. Giscard-d'Estaing; Edmond GISCARD D'ESTAING; Edmond GISCARD d'ESTAING; Edmond Giscard d'Estaing; Edmond Giscard-d'Estaing
roudy-a,Roudy,A.; Anathase; Athanase,75,4,A. Roudy; Anathase Roudy; Anathase Roudy4; Athanase Roudy
zafiropulo-d,Zafiropulo,D.; Demetrius; Dimitri; Démetrius; Démétriu; Démétrius,73,6,D. Zafiropulo; Demetrius Zafiropulo; Dimitri Zafiropulo; Démetrius Zafiropulo; Démétriu Zafiropulo; Démétrius Zafiropulo
denis-e,Denis,E.; Etienne; Édouard; Étienne,71,6,E. DENIS; E. Denis; Etienne Denis; Édouard Denis; Étienne DENIS; Étienne Denis
rueff-g,Rueff,G.; Gaston,70,5,G. RUEFF; G. Rueff; Gaston RUEFF; Gaston Rueff; Gaston Rueff. 19
weber-j,Weber,J.; Jean,69,3,J. Weber; J. Wéber; Jean Weber
godard-l,Godard,L.; Louis,67,2,L. Godard; Louis Godard
boyer-p,Boyer,P.; P.-A.; Paul; Paul-Albert,67,8,P. BOYER; P. Boyer; P. Boyer ]. 8; P.-A. Boyer; Paul BOYER; Paul Boyer; Paul-Albert BOYER; Paul-Albert Boyer
baudouin-p,Baudouin,P.; Paul,65,4,P. BAUDOUIN; P. Baudouin; Paul BAUDOUIN; Paul Baudouin
delpech-j,Delpech,J.; Jean; Julien,62,5,J. DELPECH; J. Delpech; Jean DELPECH; Jean Delpech; Julien Delpech
fondere-a,Fondère,A.; Adolphe; Alphonse,62,4,A. Fondère; Adolphe Fondère; Alphonse FONDÈRE; Alphonse Fondère
faure-j,Faure,J.; Jacques; Joseph; Jospeh,62,4,J. Faure; Jacques Faure; Joseph Faure; Jospeh Faure
fontaine-l,Fontaine,L.; Lucien; Léonard,61,6,L. FONTAINE; L. Fontaine; Lucien Fontaine; Léonard Fontaine; Léonard Fontaine 4; Léonard Fontaine. 1
hersent-j,Hersent,J.; J. B.; J. B. D.; J.-B.; J.B.D.; Jean; Jean-Baptiste,60,7,J. B. D. Hersent; J. B. Hersent; J. Hersent; J.-B. Hersent; J.B.D. Hersent; Jean Hersent; Jean-Baptiste Hersent
fontaine-a,Fontaine,A.; A. R.; A.-R.; A.R.; André; Armand; Auguste Raphaël; Auguste-Raphaël,60,8,A. Fontaine; A. R. Fontaine; A.-R. Fontaine; A.R. Fontaine; André Fontaine; Armand Fontaine; Auguste Raphaël Fontaine; Auguste-Raphaël Fontaine
launay-l,Launay,L.; Lucien,60,4,L. LAUNAY; L. Launay; Lucien LAUNAY; Lucien Launay
de-flers-f,de Flers,François,57,2,François de FLERS; François de Flers
