company_key,name,n_mentions,first_doc_id
meriteagricole,Mérite agricole,287,afrique-du-nord-merite-agricole-algerie-f10a47
cheminfercongoocean,Chemin de fer Congo-Océan,229,afrique-equatoriale-cfco-c849e9
portdakar,Port de Dakar,225,afrique-occidentale-port-de-dakar-ac8411
faidherbepolytechniciengouverneursenegalparjacquesbobeealainleger,"Faidherbe, polytechnicien, gouverneur du Sénégal, par Jacques Bobée et Alain Léger",217,afrique-occidentale-faidherbe-1818-1889-0ac829
francoalgerienne,Compagnie Franco-algérienne,172,afrique-du-nord-cie-franco-algerienne-091b1c
phosphatescheminsfergafsa,Compagnie des phosphates et chemins de fer de Gafsa,172,afrique-du-nord-gafsa-phosphates-63eaa1
grandbassampremierecapitalecoteivoirepartexteparimagecartespostalesreuniesparjacquesbobeedontissuesmissioneysseric1897,"Grand-Bassam, première capitale de la Côte-d'Ivoire, par le texte et par l'image. Cartes postales réunies par Jacques Bobée, dont issues de la mission Eysséric de 1897",170,afrique-occidentale-grand-bassam-cbba32
cheminfercoteivoire,Chemin de fer de la Côte-d'Ivoire,166,afrique-occidentale-chemin-fer-cote-d-ivoire-cf770a
cheminferboneguelmaprolongements,Compagnie du Chemin de fer de Bône à Guelma et prolongements,164,afrique-du-nord-bone-guelma-prolong-5af93c
coteivoiresousgouverneursmouttetroberdeauclozel,"Côte d'Ivoire sous les gouverneurs Mouttet, Roberdeau et Clozel",164,afrique-occidentale-cote-d-ivoire-1896-1908-2b3270
creditalgerien,"Crédit algérien, puis Crédit privé",151,afrique-du-nord-credit-algerien-84b469
cheminferdakarsaintlouis,Cie du chemin de fer de Dakar à Saint-Louis,144,afrique-occidentale-aec-1926-aof-togo-b4d838
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,143,afrique-du-nord-mokta-el-hadid-algerie-477970
listefrancsmaconsalgeriestigmatisesparregimevichy,Liste des francs-maçons d'Algérie stigmatisés par le régime de Vichy,132,afrique-du-nord-francmacs-joef-algerie-7b41da
commercialeindustrielleagricolehautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",128,afrique-du-nord-aec-1926-maroc-e65b4d
cheminsferouestalgerien,Compagnie des Chemins de fer de l'Ouest-Algérien,127,afrique-du-nord-chemins-fer-ouest-algerien-473f02
kong,Cie française de Kong,125,afrique-occidentale-aec-1922-aof-togo-9cef7c
cheminsferroutesalgerie,Société des Chemins de fer sur routes d'Algérie,120,afrique-du-nord-ch-fer-routes-algerie-656656
creditfoncieragricolealgerie,Crédit foncier et agricole d'Algérie,118,afrique-du-nord-credit-foncier-agricole-algerie-b6048a
airalgerie,Air Algérie,115,afrique-du-nord-air-algerie-3628f2
algerienne,L'ALGERIENNE,115,afrique-du-nord-ann-indus-1925-alg-509f9d
stationcentraleelectricitemascara,Station centrale d'électricité de Mascara,115,afrique-du-nord-station-centrale-electricite-mascara-37710c
minierekanguet,MINIÈRE DU KANGUET,113,afrique-du-nord-ann-indus-1925-tunisie-d7c1f4
abidjantroisiemecapitalecoteivoirepartexteparimageparjacquesbobee,"Abidjan, troisième capitale de la Côte-d'Ivoire, par le texte et par l'image. Par Jacques Bobée",108,afrique-occidentale-abidjan-troisieme-capitale-2f43b4
cheminsferparislyonmediterraneereseaualgerien,"Chemins de fer Paris-Lyon-Méditerranée, réseau algérien",106,afrique-du-nord-plm-reseau-algerien-4001c2
listefrancsmaconsmarocstigmatisesparregimevichy,Liste des francs-maçons du Maroc stigmatisés par le régime de Vichy,105,afrique-du-nord-francmacs-joef-maroc-2d5708
portoran,Port d'Oran,102,afrique-du-nord-port-d-oran-ccc91e
listefrancsmaconstunisiestigmatisesparregimevichy,Liste des francs-maçons de Tunisie stigmatisés par le régime de Vichy,100,afrique-du-nord-francmacs-joef-tunisie-cec355
ouestafricain,OUEST-AFRICAIN,99,afrique-occidentale-ann-indus-1925-aof-2ae958
equatorialemines,Cie équatoriale de mines,98,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
banquetunisie,Banque de Tunisie,97,afrique-du-nord-banque-de-tunisie-b95f30
phosphatesdyr,Compagnie des Phosphates du Dyr,97,afrique-du-nord-phosphates-du-dyr-2f45dd
quietesvous1924,Qui êtes-vous 1924 ?,97,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37
cheminsferestalgerien,Compagnie des Chemins de fer de l'Est-Algérien,94,afrique-du-nord-chemins-fer-est-algerien-f9d91a
cheminsferdahomeyoucentraldahomeen,Compagnie française de Chemins de fer au Dahomey ou Central-Dahoméen,94,afrique-occidentale-chemins-fer-dahomey-a961d2
coteivoiresousgouverneurgustavebinger,Côte d'Ivoire sous le gouverneur Gustave Binger,92,afrique-occidentale-binger-1893-1896-2ed6bd
unionovineafriquenord,Union ovine de l'Afrique du Nord,90,afrique-du-nord-aec-1937-maroc-dfc464
portbizerte,Société du Port de Bizerte,90,afrique-du-nord-port-de-bizerte-9a8351
forestieresanghaoubangui,Cie forestière Sangha-Oubangui,89,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
kouango,Cie du Kouango français,88,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
banqueetatmaroc,Banque d'État du Maroc,86,afrique-du-nord-aec-1922-maroc-ba808c
omniumminesalgerietunisie,Omnium Société générale de mines d'Algérie-Tunisie,84,afrique-du-nord-omnium-algerie-tunisie-9726df
banqueafriqueoccidentale,Banque de l'Afrique Occidentale,84,afrique-occidentale-aec-1922-aof-togo-9cef7c
bingervilledeuxiemecapitalecoteivoirepartexteparimagecartespostalesreuniesparjacquesbobee,"Bingerville, deuxième capitale de la Côte-d'Ivoire, par le texte et par l'image. Cartes postales réunies par Jacques Bobée",82,afrique-occidentale-bingerville-3e6f58
minieredjendli,Compagnie minière du Djendli,81,afrique-du-nord-miniere-du-djendli-38899a
commercialeafriqueequatoriale,Cie commerciale de l'Afrique équatoriale française,81,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
marocaine,Cie marocaine,78,afrique-du-nord-aec-1922-maroc-ba808c
phosphatesconstantine,Cie des PHOSPHATES de CONSTANTINE,77,afrique-du-nord-ann-indus-1925-alg-509f9d
entreprisesboussiron,Entreprises Boussiron,77,afrique-du-nord-entreprises-boussiron-algerie-572c8e
miniereguinee,Cie minière de Guinée,77,afrique-occidentale-aec-1922-aof-togo-9cef7c
navigationpaquet,Cie de navigation Paquet,75,afrique-du-nord-aec-1922-maroc-ba808c
bouthaleb,Bou-Thaleb,75,afrique-du-nord-mines-du-bou-thaleb-365b07
officeniger,Office du Niger,75,afrique-occidentale-aec-1937-aof-togo-879c40
industrieminierealgerie,L'industrie minière en Algérie,74,afrique-du-nord-mines-algerie-1845-1938-ec8c5d
portstunissoussesfax,"Compagnie des Ports de Tunis, Sousse et Sfax",73,afrique-du-nord-ports-tunis-sousse-sfax-2d5baa
comiteassistancetroupesnoires,Comité d'assistance aux troupes noires,73,afrique-occidentale-comite-assistance-troupes-noires-986975
africaine,Cie générale africaine,72,afrique-du-nord-aec-1937-maroc-dfc464
minesmouzaias,Compagnie des mines de Mouzaïas,71,afrique-du-nord-mines-mouzaia-1844-1866-f4f0e7
afriquecongo,Afrique et Congo,70,afrique-du-nord-afrique-et-congo-fouka-57b69f
autocircuitsnordafricains,Auto-Circuits nord-africains,70,afrique-du-nord-auto-circuits-nordaf-3dd1ed
cheminsferalgeriens,"Société des Chemins de fer algériens, puis SNCFA",70,afrique-du-nord-cfa-1933-1962-270741
creditfonciertunisie,Crédit foncier de Tunisie,70,afrique-du-nord-credit-foncier-tunisie-1881-89-781d55
banquecommercialeafricaine,Banque commerciale africaine,70,afrique-occidentale-aec-1951-aof-togo-9a864d
creditfoncieralgerietunisie,Crédit foncier d'Algérie et de Tunisie,69,afrique-du-nord-aec-1922-maroc-ba808c
guineesouslieutenantgouverneurantoninfrezouls,Guinée sous le lieutenant-gouverneur Antonin Frézouls,69,afrique-occidentale-guinee-sous-frezouls-ec8234
maurelprom,Maurel et Prom,69,afrique-occidentale-maurel-et-prom-47d863
afrique,L'Afrique française,66,afrique-du-nord-afrique-francaise-alger-6d5f90
portbone,Port de Bône,66,afrique-du-nord-port-de-bone-c87fa8
forestiereafrique,Cie forestière de l'Afrique française,66,afrique-occidentale-aec-1922-aof-togo-9cef7c
minieredjebelfelten,Société minière du Djebel-Felten,65,afrique-du-nord-djebel-felten-f9e9d2
messageriesfluvialescongo,Messageries fluviales du Congo,65,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
tramwaystunis,Tramways de Tunis,64,afrique-du-nord-tramways-de-tunis-1888-1901-dddfc0
raffineriessoufrereunies,Raffineries de soufre réunies,63,afrique-du-nord-raffineries-soufre-reunies-815f7f
algerienneproduitschimiquesengrais,Société Algérienne de produits chimiques et d'engrais,63,afrique-du-nord-sapce-5b2c08
cheminferconakryniger,Chemin de fer de Conakry au Niger,63,afrique-occidentale-chdfer-conakry-niger-225610
moulinsmaghreb,Sté des moulins du Maghreb,62,afrique-du-nord-aec-1922-maroc-ba808c
fonciereimmobilierevillealger,Compagnie Foncière et Immobilière de la Ville d'Alger,61,afrique-du-nord-fonciere-immobiliere-alger-2b19fa
minierefoncierebandama,Société minière et foncière du Bandama,61,afrique-occidentale-aec-1922-aof-togo-9cef7c
minierecongo,Cie minière du Congo français,60,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
miniereoubanghioriental,Cie minière de l'Oubanghi oriental,60,afrique-equatoriale-aec-1937-aef-cameroun-7a7058
aerienne,Compagnie AÉRIENNE FRANÇAISE,59,afrique-du-nord-ann-indus-1938-tunisie-06d5aa
ngokosangha,Cie de la N'Goko-Sangha,59,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc
mineskefoumtheboulprescalle,"Mines de Kef-Oum-Théboul, près La Calle",58,afrique-du-nord-mines-kef-oum-theboul-422578
transportsafrique,Cie générale de transports en Afrique,58,afrique-equatoriale-aec-1951-aef-cameroun-6d0821
cheminsfermaroc,Cie des chemins de fer du Maroc,57,afrique-du-nord-aec-1922-maroc-ba808c
cherifiennepetroles,Société chérifienne des pétroles,57,afrique-du-nord-aec-1937-maroc-dfc464
