company_id,name,territory,n_territories,all_territories,sector,sector_group,sector_group_en,sector_raw,n_directors,n_connected,share_connected,connection_tier,connection_tier_name,has_executive,has_legislature,has_administration,has_local,has_proxy,n_executive,n_legislature,n_administration,n_local,n_proxy,has_sitting,has_former,n_sitting,n_former,n_testable,n_concurrent,n_connected_neighbours,indirect_only,first_connection_year,last_connection_year,confidence,connected_directors
acieriesblancmisseron,Française des aciéries de Blanc-Misseron,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),8,1,0.1250,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,22,0,1956,1956,medium,Louis Legrand
acierieschampagnole,Aciéries de Champagnole,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
acieriesforgesfirminy,Aciéries et forges de Firminy,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),7,1,0.1429,4,executive,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,1956,1956,high,Georges Bidault
acieriesforgeshautsfourneauxpiombino,"Société des aciéries, forges et hauts fourneaux de Piombino",,0,,Groupes financiers transcoloniaux,finance,"Banking, finance and insurance",Groupes financiers transcoloniaux,42,1,0.0238,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,15,0,1918,1918,medium,Luigi Della Torre
acierieshirson,Aciéries d’Hirson,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),5,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
acierieslongwy,Société des Aciéries de Longwy,Maroc,1,Maroc,Bâtiment et travaux publics,construction,Construction and building materials,Bâtiment et travaux publics,30,2,0.0667,3,legislature,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,59,0,1920,1920,high,Justin Perchot; Maurice Superville
acierieslongwylorraineescautlouvroilmontbardaunoyelongometalactuma,"Aciéries de Longwy > Lorraine-Escaut, Louvroil-Montbard-Aunoye, Longométal, Actuma,",,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),8,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,,,,
acieriesmarine,Aciéries de la Marine,Indochine,2,Indochine; Maroc,Documents généraux (par ordre chronologique),mining,Mining and quarrying,Mines,1,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,,,,
acieriesmicheville,Société des Aciéries de Micheville,Maroc,1,Maroc,Documents généraux (par ordre chronologique),mining,Mining and quarrying,Mines,1,1,1.0000,4,executive,1,1,0,0,0,1,1,0,0,0,1,1,2,1,1,0,4,0,1924,1924,high,Albert Lebrun
acieriesnord,Aciéries du Nord,,0,,Groupes financiers transcoloniaux,finance,"Banking, finance and insurance",Groupes financiers transcoloniaux,30,3,0.1000,3,legislature,0,1,1,0,0,0,2,1,0,0,1,0,3,0,0,0,62,0,1929,1953,low,Germain; Henry; Métayer
acieriesparisoutreau,Aciéries de Paris et d’Outreau,Indochine,1,Indochine,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),8,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,,,,
acmer,ACMER (ex Usines Ch,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),7,1,0.1429,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,0,1956,1956,high,Louis Vieillard
acomptedividendeimpot,Acompte sur dividende et impôt,,0,,Transports terrestres,transport,"Transport, ports and docks",Transports terrestres,26,1,0.0385,2,administration,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,32,0,1929,1929,low,Pavie
actionjouissance,ACTION DE JOUISSANCE,Côte d'Ivoire,1,Côte d'Ivoire,Industries,unclassified,Unclassified,Industries,7,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,,,,
actuma,ACTUMA,,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),5,1,0.2000,4,executive,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,0,1956,1956,medium,Paul Faure
administration,Administration,Algérie,3,Algérie; Indochine; Maroc,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks",Transports maritimes,14,3,0.2143,4,executive,1,0,1,0,0,2,0,2,0,0,1,1,4,2,0,0,88,0,1929,1937,high,Gaston Duvernoy; Gaston Fourn; Pierre Guesde
administrationpharesempireottomancollasmichel,Administration des phares de l'Empire ottoman Collas et Michel,Empire ottoman/Turquie,1,Empire ottoman/Turquie,,not_a_sector,Not a sector,,2,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
aerienne,Compagnie Aérienne française,Algérie,4,Algérie; Indochine; Maroc; Tunisie,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks",Transports aériens,31,3,0.0968,3,legislature,0,1,1,0,0,0,1,2,0,0,1,0,3,0,1,0,63,0,1928,1938,low,Fernand Robbe; Gaston Gradis; Renard
aeriennefrancealgerie,Compagnie Aérienne France-Algerie,Algérie,1,Algérie,Transports maritimes et aériens,transport,"Transport, ports and docks",Transports maritimes et aériens,23,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,,,,
