company_id,name,territory,n_territories,all_territories,sector,sector_group,sector_group_en,sector_raw,n_directors,n_connected,share_connected,connection_tier,connection_tier_name,has_executive,has_legislature,has_administration,has_local,has_proxy,n_executive,n_legislature,n_administration,n_local,n_proxy,has_sitting,has_former,n_sitting,n_former,n_testable,n_concurrent,n_connected_neighbours,indirect_only,first_connection_year,last_connection_year,confidence,connected_directors
africainefruitiereimportation,Société africaine fruitière d'importation,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africainegrandstravauxest,Sté africaine des Grands travaux de l'Est,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),6,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,,,,
africaineimportationcharbonsbriquettesnordpas,Société africaine d'importation de charbons et briquettes du Nord et du Pas,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),15,1,0.0667,2,administration,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,21,0,1937,1937,low,Henry
africaineimportationcharbonsbriquettesnordpascalais,Société Africaine d’Importation de charbons et briquettes du Nord et du Pas-de-Calais,Algérie,1,Algérie,Commerce,trade,Trade and commerce,Commerce,9,1,0.1111,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,3,0,1930,1932,high,Jules Elby
africaineindustrielleautomobile,Société Africaine Industrielle et Automobile,Maroc,1,Maroc,Commerce,trade,Trade and commerce,Commerce,1,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africaineindustrielleforestiere,Compagnie Africaine Industrielle et Forestière,Afrique équatoriale française,2,Afrique équatoriale française; Cameroun,Documents généraux (par ordre chronologique),food_processing,"Food processing, livestock and fishing",industries agro-alimentaires,3,1,0.3333,3,legislature,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,9,0,1935,1937,low,Legrand
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",Algérie,1,Algérie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",wood_paper,"Wood, furniture and paper","Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",7,3,0.4286,4,executive,1,0,1,1,0,1,0,1,1,0,1,0,3,0,0,0,11,0,1929,1929,medium,Brun; Charles Brun; Gustave Mercier
africainemagasinagetransit,Société africaine de Magasinage et de Transit,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
africainematerielindustriel,Société africaine de matériel industriel,Afrique équatoriale française,2,Afrique équatoriale française; Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),10,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,,,,
africainemines,Société Africaine de Mines,Algérie,1,Algérie,Mines et carrières,mining,Mining and quarrying,Mines et carrières,2,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,,,,
africaineminestransports,Société Africaine de Mines et transports,Algérie,1,Algérie,Mines et carrières,mining,Mining and quarrying,Mines et carrières,12,1,0.0833,1,local_or_proxy,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,11,0,1945,1945,medium,Alexis Baptifaut
