from_doc_id,to_doc_id,resolved,to_url,to_path
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-generale-du-maroc-c3a9e7,1,https://entreprises-coloniales.fr/afrique-du-nord/Generale_du_Maroc.pdf,afrique-du-nord/Generale_du_Maroc.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-compagnie-marocaine-2ede3b,1,https://entreprises-coloniales.fr/afrique-du-nord/Compagnie_marocaine.pdf,afrique-du-nord/Compagnie_marocaine.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-paris-maroc-75545a,1,https://entreprises-coloniales.fr/afrique-du-nord/Paris-Maroc.pdf,afrique-du-nord/Paris-Maroc.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-financiere-franco-marocaine-99236d,1,https://entreprises-coloniales.fr/afrique-du-nord/Financiere_Franco-Marocaine.pdf,afrique-du-nord/Financiere_Franco-Marocaine.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-maroc-eco-1922-hersent-3d83d2,1,https://entreprises-coloniales.fr/afrique-du-nord/Maroc_eco_1922-Hersent.pdf,afrique-du-nord/Maroc_eco_1922-Hersent.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-habitations-au-maroc-f6d860,1,https://entreprises-coloniales.fr/afrique-du-nord/Habitations_au_Maroc.pdf,afrique-du-nord/Habitations_au_Maroc.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,1,https://entreprises-coloniales.fr/afrique-du-nord/Qui_etes-vous_1924-Maroc.pdf,afrique-du-nord/Qui_etes-vous_1924-Maroc.pdf
afrique-du-nord-abattoirs-industriels-maroc-9a3243,afrique-du-nord-cie-frigorifique-maroc-c69172,1,https://entreprises-coloniales.fr/afrique-du-nord/Cie_frigorifique_Maroc.pdf,afrique-du-nord/Cie_frigorifique_Maroc.pdf
afrique-du-nord-acconage-algerien-842cdf,empire-affreteurs-reunis-38fc33,1,https://entreprises-coloniales.fr/empire/Affreteurs_reunis.pdf,empire/Affreteurs_reunis.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,empire-affreteurs-reunis-38fc33,1,https://entreprises-coloniales.fr/empire/Affreteurs_reunis.pdf,empire/Affreteurs_reunis.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,empire-vapeurs-francais-1913-1923-3de1cb,1,https://entreprises-coloniales.fr/empire/Vapeurs_francais-1913-1923.pdf,empire/Vapeurs_francais-1913-1923.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,afrique-du-nord-aec-1922-maroc-ba808c,1,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1922-Maroc.pdf,afrique-du-nord/AEC_1922-Maroc.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,empire-cargos-francais-1919-1923-ac49d3,1,https://entreprises-coloniales.fr/empire/Cargos_français_1919-1923.pdf,empire/Cargos_français_1919-1923.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,empire-coloniale-de-mines-8abc0e,1,https://entreprises-coloniales.fr/empire/Coloniale_de_mines.pdf,empire/Coloniale_de_mines.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,afrique-du-nord-phosphates-du-dyr-2f45dd,1,https://entreprises-coloniales.fr/afrique-du-nord/Phosphates_du_Dyr.pdf,afrique-du-nord/Phosphates_du_Dyr.pdf
afrique-du-nord-acconage-charbonnage-jullian-261090,afrique-du-nord-domaine-de-potinville-b17e9e,1,https://entreprises-coloniales.fr/afrique-du-nord/Domaine_de_Potinville.pdf,afrique-du-nord/Domaine_de_Potinville.pdf
afrique-du-nord-acconage-remorquage-schiaffino-70e0ff,afrique-du-nord-algerienne-de-navigation-8282a4,1,https://entreprises-coloniales.fr/afrique-du-nord/Algerienne_de_Navigation.pdf,afrique-du-nord/Algerienne_de_Navigation.pdf
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,afrique-du-nord-banque-de-l-algerie-de58aa,1,https://entreprises-coloniales.fr/afrique-du-nord/Banque_de_l_Algerie.pdf,afrique-du-nord/Banque_de_l_Algerie.pdf
