doc_id,pdf_url,entry_type,name_listed,name_normalised,acronym,alias,principal_name,place_listed,legal_form_listed,year_start,year_end,person_surname,person_given,birth_year,death_year,region,country,sector,group_path,group_depth,all_regions,all_sectors,n_listings,qualifiers,note,source_page,title_raw
afrique-du-nord-abattoirs-industriels-maroc-9a3243,https://entreprises-coloniales.fr/afrique-du-nord/Abattoirs_industriels_Maroc.pdf,company,"Abattoirs municipaux et industriels au Maroc (Société générale des), Casablanca",Société générale des Abattoirs municipaux et industriels au Maroc,,,,Casablanca,,,,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,Société générale des,une société qui n'a pas fait de vieux os,maroc.html,"Abattoirs municipaux et industriels au Maroc (Société générale des), Casablanca : une société qui n'a pas fait de vieux os"
afrique-du-nord-abri-familial-oranais-320b63,https://entreprises-coloniales.fr/afrique-du-nord/Abri_familial_oranais.pdf,company,Abri familial oranais (L')(1928),L'Abri familial oranais,,,,,,1928,,,,,,Algerie,Algérie,Foncières et immobilières,,0,Algerie,Foncières et immobilières,1,L'; 1928,Oran : société anonyme coopérative à capital variable d'habitations à bon marché,algerie.html,Abri familial oranais (L')(1928): Oran : société anonyme coopérative à capital variable d'habitations à bon marché
afrique-du-nord-acac-casablanca-f66a0b,https://entreprises-coloniales.fr/afrique-du-nord/ACAC-Casablanca.pdf,company,Association coopérative d’alimentation de Casablanca (1927-1933),Association coopérative d’alimentation de Casablanca,,,,,,1927,1933,,,,,Maroc,Maroc,Industries agro-alimentaires,,0,Maroc,Industries agro-alimentaires,1,1927-1933,fabrique de glace alimentaire,maroc.html,Association coopérative d’alimentation de Casablanca (1927-1933) : fabrique de glace alimentaire
afrique-du-nord-acconage-algerien-842cdf,https://entreprises-coloniales.fr/afrique-du-nord/Acconage_algerien.pdf,company,"Acconage algérien (Compagnie d')(1910), Alger",Compagnie d'Acconage algérien,,,,Alger,,1910,,,,,,Algerie,Algérie,Transports maritimes et aériens,,0,Algerie,Transports maritimes et aériens,1,Compagnie d'; 1910,,algerie.html,"Acconage algérien (Compagnie d')(1910), Alger"
afrique-du-nord-acconage-charbonnage-jullian-261090,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+charbonnage_Jullian.pdf,company,"Acconage et de charbonnage Jullian (Société d'), Oran",Société d'Acconage et de charbonnage Jullian,,,,Oran,,,,,,,,Algerie,Algérie,Transports maritimes et aériens,,0,Algerie,Transports maritimes et aériens,1,Société d',,algerie.html,"Acconage et de charbonnage Jullian (Société d'), Oran"
afrique-du-nord-acconage-charbons-tunisie-5efede,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+Charbons-Tunisie.pdf,company,"Acconage et de charbons de Tunisie (Société d'), Tunis",Société d'Acconage et de charbons de Tunisie,,,,Tunis,,,,,,,,Tunisie,Tunisie,Transports maritimes et aériens,,0,Tunisie,Transports maritimes et aériens,1,Société d',,tunisie.html,"Acconage et de charbons de Tunisie (Société d'), Tunis"
afrique-du-nord-acconage-remorquage-schiaffino-70e0ff,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+remorquage_Schiaffino.pdf,company,"Acconage et de remorquage Ch. Schiaffino (Société d'), Alger",Société d'Acconage et de remorquage Ch. Schiaffino,,,,Alger,,,,,,,,Algerie,Algérie,Transports maritimes et aériens,,0,Algerie,Transports maritimes et aériens,1,Société d',,algerie.html,"Acconage et de remorquage Ch. Schiaffino (Société d'), Alger"
afrique-du-nord-achaque-cabotage-alger-25f323,https://entreprises-coloniales.fr/afrique-du-nord/Achaque_cabotage-Alger.pdf,company,"Achaque (Antoine), Alger",Achaque,,,Antoine,Alger,,,,,,,,Algerie,Algérie,Transports maritimes et aériens,,0,Algerie,Transports maritimes et aériens,1,Antoine,cabotage,algerie.html,"Achaque (Antoine), Alger : cabotage"
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,https://entreprises-coloniales.fr/afrique-du-nord/Adolphe_Jourdan_1846-1916.pdf,person,"Jourdan (Adolphe)(1846-1916), Alger",Jourdan,,,Adolphe,Alger,,,,Jourdan,Adolphe,1846,1916,Algerie,Algérie,"Imprimerie, presse, édition",,0,Algerie,"Imprimerie, presse, édition",1,Adolphe; 1846-1916,imprimeur-librairie-éditeur,algerie.html,"Jourdan (Adolphe)(1846-1916), Alger : imprimeur-librairie-éditeur"
afrique-du-nord-adour-sebou-50bb13,https://entreprises-coloniales.fr/afrique-du-nord/Adour-Sebou.pdf,company,"Adour-Sebou (Société industrielle et commerciale), Fez, Kénitra",Société industrielle et commerciale Adour-Sebou,,,,Fez; Kénitra,,,,,,,,Maroc,Maroc,Commerce,,0,Maroc,Commerce,1,Société industrielle et commerciale,,maroc.html,"Adour-Sebou (Société industrielle et commerciale), Fez, Kénitra"
afrique-du-nord-adrien-beudon-alger-00ba36,https://entreprises-coloniales.fr/afrique-du-nord/Adrien_Beudon-Alger.pdf,person,"Beudon (Adrien)(1848-1914), entrepreneur à Alger","Beudon, entrepreneur à Alger",,,Adrien,,,,,Beudon,Adrien,1848,1914,Algerie,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,0,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique",1,Adrien; 1848-1914,,algerie.html,"Beudon (Adrien)(1848-1914), entrepreneur à Alger"
afrique-du-nord-aec-1922-maroc-ba808c,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1922-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1922,Annuaire des entreprises coloniales 1922,,,,,,,,,,,,Maroc,Maroc,Documents généraux (par ordre chronologique),,0,Maroc,Documents généraux (par ordre chronologique),1,,Maroc,maroc.html,Annuaire des entreprises coloniales 1922 : Maroc
afrique-du-nord-aec-1926-maroc-e65b4d,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1926-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1926,Annuaire des entreprises coloniales 1926,,,,,,,,,,,,Maroc,Maroc,Documents généraux (par ordre chronologique),,0,Maroc,Documents généraux (par ordre chronologique),1,,Maroc,maroc.html,Annuaire des entreprises coloniales 1926 : Maroc
afrique-du-nord-aec-1937-maroc-dfc464,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1937-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1937,Annuaire des entreprises coloniales 1937,,,,,,,,,,,,Maroc,Maroc,Documents généraux (par ordre chronologique),,0,Maroc,Documents généraux (par ordre chronologique),1,,Maroc,maroc.html,Annuaire des entreprises coloniales 1937 : Maroc
