company_id,name,territory,connection_tier_name,n_directors,n_connected,share_connected,has_sitting,has_former,n_testable,n_concurrent,confidence,connected_directors
banqueindochine,Banque de l’Indochine,Afrique équatoriale française,executive,177,27,0.1525,1,1,2,1,high,Alexandre Celier; Alexandre Gérard; Alfred-Léon Bouchet; André Labussière; Boyer; Brincard; Charles Chanel; Charles Michel-Côte
banqueindustriellechine,La Banque industrielle de Chine,Afrique occidentale française,executive,74,23,0.3108,1,1,2,0,high,Albert Ernest Duval; André Berthelot; Antonin Frézouls; Aristide Briand; Arthur Espivent de la Villesboisnet; Calary de Lamazière; François; Gaston Camille Kahn
messageriesmaritimes,Société des Messageries maritimes,Algérie,executive,131,23,0.1756,1,1,2,0,high,Amédée Lefèvre-Pontalis; BLANCHY; Berland; Besson; Bosc; Charles Géry; Charles Lallemand; Charles Régismanset
banqueafriqueoccidentale,Banque de l'Afrique occidentale,Afrique occidentale française,executive,57,17,0.2982,1,1,0,0,high,Albert Duchêne; André Rinkenbach; Bohn; Boyer; Devès; F. Reste; G. Repiquet; Gaston Fourn
creditfonciercolonial,Crédit foncier colonial,Algérie,executive,143,15,0.1049,1,1,1,1,high,Bischoffsheim; Delanney; Grandjean; Imhaus; Lefèvre-Pontalis; Louis Passy; Léon Boulloche; Léonus Bénard
distilleriesindochine,Distilleries de l’Indochine,Indochine,executive,65,15,0.2308,1,1,2,1,high,Baudouin; Chapsal; Charles Dumont; Charles-Émile Halais; Fernand Chapsal; François Guis; Guesde; Marcel Borduge
banquealgerie,BANQUE DE L'ALGERIE,Afrique occidentale française,executive,87,13,0.1494,1,1,1,0,medium,Alexandre Celier; Alphandéry; Boyer; Brincard; Charles Farnier; Giraud; Honnoré; Lallemand
cheminferfrancoethiopiendjiboutiaddisabeba,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Algérie,executive,68,13,0.1912,1,1,2,1,high,Aristide Briand; Barthélémy Robaglia; Boyer; Camille Krantz; Charles Lallemand; Charles Michel-Côte; Ernest Roume; Giraud
navigationsudatlantique,Compagnie de Navigation Sud-Atlantique,Afrique occidentale française,executive,78,13,0.1667,1,1,2,1,high,Achille Fould; Alexis Baptifaut; André Berthelot; Breton; Charles Furiet; Denis; Denis Pérouse; Fould
creditcolonial,Crédit colonial,,executive,38,12,0.3158,1,1,0,0,high,Alexandre Celier; Charles Laurent; Georges Keller; Georges PETER; Henri Saurin; Jacques Tupinier; Jean Boissonnas; Louis Mérat
