company_id,name,placement_level,anchor,anchor_territory,group,lat,lon,filed_territory,n_countries_listed,sector_group,degree,weighted_degree,reason
cheminsfermaroc,Compagnie des Chemins de fer du Maroc,unplaced,,,,,,Afrique occidentale française,7,mining,288,499,filed under 7 countries
energieelectriquemaroc,Énergie électrique du Maroc,city,Paris,France,metropole,48.857,2.352,Maroc,1,utilities,226,390,head_office_observed
colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",unplaced,,,,,,La Réunion,2,not_a_sector,132,217,filed under 2 countries
sucreriescoloniales,Sucreries coloniales,unplaced,,,,,,La Réunion,3,unclassified,167,267,filed under 3 countries
banquetransatlantique,Banque transatlantique,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,7,finance,210,314,head_office_observed
banquetunisie,Banque de Tunisie,unplaced,,,,,,Maroc,2,finance,167,249,filed under 2 countries
eauxelectriciteindochine,Compagnie des Eaux et d'électricité de l'Indochine,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,utilities,206,327,single filing country
indochinoiseelectricite,Société Indochinoise d'électricité,territory,Indochine,Indochine,empire,15.063,106.329,Indochine,1,construction,225,374,single filing country
creditfonciercolonial,Crédit foncier colonial,unplaced,,,,,,Algérie,7,finance,241,391,filed under 7 countries
coteafrique,CÔTE D'AFRIQUE,territory,Afrique équatoriale française,Afrique équatoriale française,empire,0.915,12.745,Afrique équatoriale française,1,trade,41,85,single filing country
soccommercialeindustriellecoteafrique,Soc. commerciale et industrielle de la CÔTE D'AFRIQUE,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,38,79,single filing country
occidentaleafricaine,L'Occidentale Africaine,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,2,trade,64,118,head_office_observed
scieriesafricaines,Compagnie des Scieries africaines,city,Grand-Bassam,Côte d'Ivoire,empire,5.196,-3.739,Afrique occidentale française,5,unclassified,128,212,place_listed
banquecommercialemaroc,Banque commerciale du Maroc,unplaced,,,,,,Afrique occidentale française,8,finance,228,327,filed under 8 countries
leoncochez,Léon COCHEZ,territory,Afrique occidentale française,Afrique occidentale française,empire,11.05,-8.462,Afrique occidentale française,1,not_a_sector,26,58,single filing country
peyrissaccolonialeafrique,Peyrissac et Cie — Compagnie coloniale de l'Afrique française,city,Bordeaux,France,metropole,44.838,-0.579,Afrique occidentale francaise,0,trade,32,73,head_office_observed
chauxcimentsmateriauxconstructionmaroc,"Chaux, ciments et matériaux de construction au Maroc",city,Casablanca,Maroc,empire,33.573,-7.59,Maroc,1,construction,177,269,head_office_observed
socchauxcimentsmateriauxconstructionmaroc,"Soc. an. des CHAUX, CIMENTS et MATÉRIAUX de CONSTRUCTION au MAROC",territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,not_a_sector,98,147,single filing country
commercialeindustrielleagricolehautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",unplaced,,,,,,Afrique équatoriale française,2,unclassified,89,126,filed under 2 countries
hautogooue,HAUT-OGOOUÉ,unplaced,,,,,,Afrique occidentale française,4,unclassified,58,83,filed under 4 countries
creditfonciercolonialbanque,Société de Crédit foncier colonial et de banque,city,Paris,France,metropole,48.857,2.352,Madagascar,1,finance,108,174,head_office_observed
chargeursextremeorient,Chargeurs d'Extrême-Orient,city,Paris,France,metropole,48.857,2.352,Indochine,1,transport,119,158,head_office_observed
etudesentreprisescoloniales,Compagnie française d'Études et entreprises coloniales,city,Paris,France,metropole,48.857,2.352,Algérie,6,finance,211,292,head_office_observed
cheminsfertunisiens,Chemins de fer tunisiens,city,Paris,France,metropole,48.857,2.352,Algérie,3,transport,105,166,head_office_observed
fermierecheminsfertunisiens,Cie Fermière des chemins de fer tunisiens,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,7,transport,101,155,head_office_observed
corvinomenny,CORVINO et MENNY,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,not_a_sector,110,169,single filing country
creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,unplaced,,,,,,Afrique occidentale française,7,finance,242,450,filed under 7 countries
creditfoncierindochine,Crédit foncier de l’Indochine,city,Paris,France,metropole,48.857,2.352,Indochine,2,finance,301,479,head_office_observed
credithypothecaireindochine,Crédit hypothécaire de l’Indochine,city,Saïgon,Indochine,empire,10.776,106.7,Chine,2,finance,202,301,head_office_observed
entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,unplaced,,,,,,Afrique occidentale française,7,transport,128,211,filed under 7 countries
socentreprisemaritimecommerciale,Soc. an. l'ENTREPRISE MARITIME et COMMERCIALE,territory,Algérie,Algérie,empire,35.905,3.334,Algérie,1,not_a_sector,86,122,single filing country
plantationscaoutchoucsumatra,Société des Plantations de caoutchouc de Sumatra,city,La Haye,Pays-Bas,foreign,52.078,4.31,Indochine,2,plantations,66,136,head_office_observed
tapanoelie,Tapanoëlie,city,La Haye,Pays-Bas,foreign,52.078,4.31,Java et Sumatra (Indes néerlandaises),1,plantations,59,132,head_office_observed
abattoirsmunicipauxindustrielsmaroc,Société générale des Abattoirs municipaux et industriels au Maroc,city,Casablanca,Maroc,empire,33.573,-7.59,Algérie,3,food_processing,164,257,place_listed
socgenabattoirsmunicipauxindustrielsmaroc,Soc. gén. des ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,territory,Maroc,Maroc,empire,33.261,-6.988,Maroc,1,not_a_sector,127,183,single filing country
bazacle,BAZACLE,city,Lyon,France,metropole,45.764,4.836,Empire (transversal),0,finance,81,119,head_office_observed
papeteriesnavarre,PAPETERIES NAVARRE,city,Lyon,France,metropole,45.764,4.836,Algérie,4,mining,70,99,head_office_observed
caoutchoucspadang,Compagnie des Caoutchoucs de Padang,city,Paris,France,metropole,48.857,2.352,Indochine,3,plantations,153,281,head_office_observed
financierecaoutchoucs,Financière des Caoutchoucs,city,Bruxelles,Belgique,foreign,50.851,4.352,Algérie,2,finance,119,270,head_office_observed
francoespagnolecheminfertangerfez,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,city,Meknès,Maroc,empire,33.895,-5.555,Maroc,1,transport,216,313,head_office_observed
colonies,Compagnie Générale des colonies,city,Paris,France,metropole,48.857,2.352,Afrique occidentale française,10,food_processing,429,763,head_office_observed
maroc,Compagnie du Maroc,city,Tanger,Maroc,empire,35.759,-5.834,Indochine,3,finance,404,587,place_listed
commercialeindochine,Société Commerciale française de l'Indochine,city,Pnom-Penh,Indochine,empire,11.562,104.916,Algérie,4,finance,56,127,head_office_observed
