doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,member_raw
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemarrakech,Société d'électricité de Marrakech,lyonnaiseeaux,Société lyonnaise des eaux,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société lyonnaise des eaux
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemarrakech,Société d'électricité de Marrakech,marocainedistributioneau,Société marocaine de distribution d'eau,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société marocaine de distribution d'eau
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemarrakech,Société d'électricité de Marrakech,maroccommerce,Cie du Maroc pour le commerce,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Cie du Maroc pour le commerce
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemarrakech,Société d'électricité de Marrakech,industrie,l'Industrie,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,l'Industrie
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemazagan,Société d'électricité de Mazagan,developpementcasablanca,Société générale pour le développement de Casablanca,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société générale pour le développement de Casablanca
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemazagan,Société d'électricité de Mazagan,lyonnaiseeaux,Société lyonnaise des eaux,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société lyonnaise des eaux
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemazagan,Société d'électricité de Mazagan,marocainedistributioneau,Société marocaine de distribution d'eau,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société marocaine de distribution d'eau
afrique-du-nord-aec-1926-maroc-e65b4d,electricitemazagan,Société d'électricité de Mazagan,maroccommerce,Cie du Maroc pour le commerce,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Cie du Maroc pour le commerce
afrique-du-nord-aec-1926-maroc-e65b4d,electricitesafi,Société d'électricité de Safi,developpementcasablanca,Société générale pour le développement de Casablanca,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société générale pour le développement de Casablanca
afrique-du-nord-aec-1926-maroc-e65b4d,electricitesafi,Société d'électricité de Safi,lyonnaiseeaux,Société lyonnaise des eaux,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société lyonnaise des eaux
afrique-du-nord-aec-1926-maroc-e65b4d,electricitesafi,Société d'électricité de Safi,marocainedistributioneau,Société marocaine de distribution d'eau,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société marocaine de distribution d'eau
afrique-du-nord-aec-1926-maroc-e65b4d,electricitesafi,Société d'électricité de Safi,maroccommerce,Cie du Maroc pour le commerce,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Cie du Maroc pour le commerce
afrique-du-nord-aec-1926-maroc-e65b4d,moulinsmaghreb,Société des Moulins du Maghreb,parismaroc,Société française « Paris-Maroc »,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société française « Paris-Maroc »
afrique-du-nord-aec-1926-maroc-e65b4d,porttanger,Société du port de Tanger,nordafricain,Cie du Nord Africain,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Cie du Nord Africain
afrique-du-nord-aec-1926-maroc-e65b4d,sudmarocain,Cie du Sud-Marocain,banquecolonialeetudes,Banque coloniale d'études,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Banque coloniale d'études
afrique-du-nord-aec-1926-maroc-e65b4d,manufacturemarocainecalorifugesliegesagglomeres,Manufacture marocaine de calorifuges et lièges agglomérés,verrier,Verrier,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Le Verrier
afrique-du-nord-aec-1926-maroc-e65b4d,elevagemeknes,Société d'élevage de Meknès,financierefrancomarocaine,Société financière franco-marocaine,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société financière franco-marocaine
afrique-du-nord-aec-1926-maroc-e65b4d,liegesmamora,Société des lièges de la Mamora,liegeslasserens,Société des lièges de Lasserens,administrateur,1926,Annuaire des entreprises coloniales,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,conseil_annuaire,Société des lièges de Lasserens
