sector_group,sector_group_en,n_firms,n_connected,share_connected,n_tier_4,n_tier_3,n_tier_2,n_tier_1,n_tier_0,share_tier_4,share_tier_3,share_tier_2,share_tier_1,share_tier_0,n_executive,n_legislature,n_administration,n_local,n_proxy,n_sitting,n_former,n_indirect_only,mean_share_connected,median_board_size,n_seats,director_rate,expected_share_connected,excess_share
not_a_sector,Not a sector,2943,626,0.2127,197,279,118,32,2317,0.0669,0.0948,0.0401,0.0109,0.7873,197,383,203,66,8,599,119,1826,0.0421,6,20751,0.0398,0.3735,-0.1608
finance,"Banking, finance and insurance",576,321,0.5573,151,105,55,10,255,0.2622,0.1823,0.0955,0.0174,0.4427,151,220,182,61,5,316,100,211,0.1009,10,9550,0.0937,0.5191,+0.0381
mining,Mining and quarrying,559,249,0.4454,103,73,57,16,310,0.1843,0.1306,0.1020,0.0286,0.5546,103,128,132,39,9,237,84,254,0.0878,7,5787,0.0795,0.4280,+0.0174
food_processing,"Food processing, livestock and fishing",460,192,0.4174,75,49,48,20,268,0.1630,0.1065,0.1043,0.0435,0.5826,75,89,105,54,8,185,57,186,0.0820,7,4452,0.0815,0.4225,-0.0051
trade,Trade and commerce,364,149,0.4093,48,45,46,10,215,0.1319,0.1236,0.1264,0.0275,0.5907,48,71,83,31,2,142,38,166,0.0858,7,3448,0.0731,0.4137,-0.0044
transport,"Transport, ports and docks",305,143,0.4689,65,29,39,10,162,0.2131,0.0951,0.1279,0.0328,0.5311,65,62,94,27,2,138,51,119,0.1006,7,3067,0.0962,0.4119,+0.0570
unclassified,Unclassified,270,148,0.5481,71,33,36,8,122,0.2630,0.1222,0.1333,0.0296,0.4519,71,74,93,28,4,142,51,101,0.1096,9,3289,0.1031,0.4780,+0.0702
plantations,Plantations and commodity crops,212,89,0.4198,44,11,25,9,123,0.2075,0.0519,0.1179,0.0425,0.5802,44,36,49,27,3,82,38,98,0.1136,6,1861,0.0973,0.3844,+0.0354
construction,Construction and building materials,148,58,0.3919,23,25,6,4,90,0.1554,0.1689,0.0405,0.0270,0.6081,23,41,24,11,1,55,19,71,0.0592,7,1624,0.0708,0.4426,-0.0507
conglomerate,Transcolonial and diversified groups,114,61,0.5351,23,24,10,4,53,0.2018,0.2105,0.0877,0.0351,0.4649,23,41,27,15,2,61,19,42,0.0998,8,1376,0.0894,0.4570,+0.0781
utilities,"Water, gas and electricity",95,47,0.4947,23,10,12,2,48,0.2421,0.1053,0.1263,0.0211,0.5053,23,23,31,15,1,45,18,36,0.0838,7,1272,0.0747,0.4774,+0.0173
wood_paper,"Wood, furniture and paper",87,38,0.4368,14,10,10,4,49,0.1609,0.1149,0.1149,0.0460,0.5632,14,15,22,9,1,35,15,35,0.0883,6,768,0.0964,0.3908,+0.0460
real_estate,Land and real estate,85,33,0.3882,12,9,5,7,52,0.1412,0.1059,0.0588,0.0824,0.6118,12,17,12,13,0,32,7,44,0.0841,6,689,0.0755,0.3879,+0.0004
media_print,"Press, printing and communications",56,25,0.4464,10,2,8,5,31,0.1786,0.0357,0.1429,0.0893,0.5536,10,7,10,8,0,24,4,13,0.2597,1,217,0.1613,0.2088,+0.2376
health_education,"Health, education and research",54,14,0.2593,6,0,8,0,40,0.1111,0.0000,0.1481,0.0000,0.7407,6,2,13,4,0,14,5,17,0.1530,1,131,0.2214,0.1545,+0.1047
hospitality,Hotels and tourism,49,21,0.4286,12,1,7,1,28,0.2449,0.0204,0.1429,0.0204,0.5714,12,6,15,4,0,21,6,8,0.1888,2,218,0.1422,0.2285,+0.2001
textiles_leather,Textiles and leather,39,13,0.3333,8,2,2,1,26,0.2051,0.0513,0.0513,0.0256,0.6667,8,7,8,6,2,13,7,21,0.1491,5,296,0.0946,0.3648,-0.0314
metals_engineering,Metallurgy and engineering,28,6,0.2143,1,2,1,2,22,0.0357,0.0714,0.0357,0.0714,0.7857,1,2,3,4,0,6,1,12,0.0736,2,185,0.0703,0.2613,-0.0471
chemicals,Chemicals and pharmaceuticals,15,7,0.4667,1,2,2,2,8,0.0667,0.1333,0.1333,0.1333,0.5333,1,3,4,3,0,6,3,7,0.0621,9,171,0.0643,0.4816,-0.0149
culture_leisure,"Culture, sport and leisure",12,7,0.5833,2,0,5,0,5,0.1667,0.0000,0.4167,0.0000,0.4167,2,2,5,2,0,7,4,3,0.3326,3,39,0.2051,0.2010,+0.3823
