doc_id,company_key,company_name,person_key,name_clean,surname,given,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw,source_genre
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,jordan,Jordan,Jordan,,administrateur,1928,,,Maroc,Maroc,Industries agro-alimentaires,citation,prose_role_after,surname_only,Jordan,prose
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,jordan,Jordan,Jordan,,administrateur,1928,,,Maroc,Maroc,Industries agro-alimentaires,citation,prose_appointed_after,surname_only,Jordan,prose
afrique-du-nord-aec-1922-maroc-ba808c,marocainescieriesatlas,Sté marocaine des scieries de l'Atlas,a-suresnes,à Suresnes,à Suresnes,,administrateur,1958,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,surname_only,à Suresnes,prose
afrique-du-nord-aec-1926-maroc-e65b4d,maroccommerceindustrie,Cie du Maroc pour le commerce et l'industrie,vicaire,Vicaire,Vicaire,,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,surname_only,Vicaire,prose
afrique-du-nord-aec-1926-maroc-e65b4d,comptoirmaroc,Comptoir français du Maroc,mignonac,Mignonac,Mignonac,,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,surname_only,Mignonac,prose
afrique-du-nord-aec-1926-maroc-e65b4d,nordafricaincommercial,Nord-africain commercial,borgeaud-l,Lucien Borgeaud,Borgeaud,Lucien,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,initials_or_forename,Lucien Borgeaud,prose
afrique-du-nord-aec-1926-maroc-e65b4d,nordafricaincommercial,Nord-africain commercial,borgeaud-j,Jules Borgeaud,Borgeaud,Jules,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,initials_or_forename,Jules Borgeaud,prose
afrique-du-nord-aec-1926-maroc-e65b4d,nordafricaincommercial,Nord-africain commercial,borgeaud-c,Charles Borgeaud,Borgeaud,Charles,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,initials_or_forename,Charles Borgeaud,prose
afrique-du-nord-aec-1926-maroc-e65b4d,nordafricaincommercial,Nord-africain commercial,barbedette-f,Frédéric Barbedette,Barbedette,Frédéric,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,initials_or_forename,Frédéric Barbedette,prose
afrique-du-nord-aec-1926-maroc-e65b4d,lyonnaisecommerceindustriemaroc,Société lyonnaise de commerce et d'industrie au Maroc,l-eplattenier-a,Alfred L'Eplattenier,L'Eplattenier,Alfred,administrateur,1926,,,Maroc,Maroc,Documents généraux (par ordre chronologique),numbered_entry,prose_role_after,initials_or_forename,Alfred L'Eplattenier,prose
