person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
bricard-l,L. Bricard,L. Bricard,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Algerie; Tunisie,Afrique occidentale française; Algérie; Côte d'Ivoire; Tunisie,7,9,1932,1948
porte-l,L. Porte,L. Porte,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Algerie; Empire (transversal); Indochine,Afrique équatoriale française; Algérie; Indochine,7,6,1929,1956
henrotte,Henrotte,Henrotte,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Indochine; Proche-Orient,Afrique équatoriale française; Empire ottoman/Turquie; Gabon; Indochine; Serbie-Yougoslavie,7,8,1888,1925
delorme-j,J. Delorme,J. Delorme,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Empire (transversal); Indochine,Afrique équatoriale française; Indochine,7,7,1929,1956
simon,Simon,Simon,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Empire (transversal); Indochine; Proche-Orient,Cameroun; Indochine; Serbie-Yougoslavie,7,9,1910,1955
benard,Bénard,Bénard,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Madagascar et Djibouti,Afrique occidentale française; Afrique équatoriale française; Côte d'Ivoire; La Réunion,7,9,1920,1929
pirlet-l,L. Pirlet,L. Pirlet,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine,Afrique occidentale française; Côte d'Ivoire; Indochine,7,7,1948,1963
lelievre-g,G. Lelièvre,G. Lelièvre,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Madagascar et Djibouti,Guinée Conakry; Madagascar,7,6,1907,1973
tardy-l,L. Tardy,L. Tardy,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,3,1947,1956
martin-p,P Martin,P Martin,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Madagascar et Djibouti,Madagascar,7,3,1931,1956
petin-h,H. Petin,H. Petin,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine,Indochine,7,9,1887,1938
peautonnier-m,Monsieur PEAUTONNIER,Monsieur PEAUTONNIER,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine,Indochine,7,7,1937,1942
cane-l,L. Cane,L. Cane,colonial,european_unspecified,low,residual_no_indigenous_marker,Maroc,Maroc,7,8,1913,1953
forges,Forges,Forges,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,Afrique occidentale française; Chine; Madagascar; Maroc,7,7,1920,1969
mas-p,P Mas,P Mas,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,7,7,1911,1956
hauzeur-l,L. Hauzeur,L. Hauzeur,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Empire (transversal); Indochine; Maroc,Algérie; Indochine; Maroc,7,8,1915,1955
dupont,Dupont,Dupont,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Antilles-Guyane; Empire (transversal); Indochine; Maroc,Afrique occidentale française; Guyane française; Indochine; Maroc,7,8,1910,1975
arnaud-j,J Arnaud,J Arnaud,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Maroc,Afrique occidentale française; Congo-Brazzaville ou Moyen-Congo; Maroc,7,6,1910,1963
deschars,Deschars,Deschars,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,Indochine; Madagascar; Maroc; Tunisie,7,8,1914,1938
joseph,Joseph,Joseph,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Empire (transversal); Indochine; Madagascar et Djibouti,Algérie; Indochine; Madagascar,7,8,1889,1938
martin-s,S. Martin,S. Martin,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Maroc,Afrique équatoriale française; Côte d'Ivoire; Gabon; Maroc; Sénégal,7,8,1921,1947
rappel-l,L. Rappel,L. Rappel,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Maroc,Indochine; Maroc,7,8,1920,1937
mercier,Mercier,Mercier,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Empire (transversal); Indochine; Maroc,Algérie; Indochine; Maroc,7,5,1914,1956
