person_id_1,person_id_2,weight,shared_companies
levy-g,mizraki-m,11,agboville; boiscoteivoire; comptoirsafricains; cotonafricain; forestiereabanga; forestiereindenie; hautebokoue; importationboisexotiques; kong; plantationspalmeraiesogooue; unionforestiereafricaine
gompel-r,katz-m,10,abattoirsmunicipauxindustrielsmaroc; abattoirsmunicipauxmaroc; brasseriesmaroc; etudesconstructions; huileriesmaghreb; industriellemarocaine; kong; marocannuaireindustriel; moulinsmaghreb; parismaroc
hersent-g,hersent-j,10,energieelectriquevillebizerte; francomarocainefedhala; ouenza; phosphatestunisiens; portfedala; portfedhala; salinesfedala; transportsmazeres; valdora; vulcanisationmoderne
berger-h,berger-v,9,metauxproduitschimiques; minesgraphitemarocouminesgraphitesmaroc; minieregundafa; miniereintercoloniale; miniereogoouelobaye; miniereogouelobayeberberati; minieresmala; prospectionetudesminieresmaroc; societesminieregundafa
begouen-m,renoux-l,9,agricoleindustriellesoudan; alsaciennecoteivoire; colonialegeranceetudes; culturesdiakandape; messageriesafricaines; plantationsambidedisisal; plantationscasamance; plantationshautevolta; plantationshautevoltasisal
gaston-dreyfus-r,orcel-j,8,brasseriescoteivoire; brasseriesmaroc; brasseriesnordmarocain; brasseriesouestafricain; fruitieremaroc; hoteliereouestafricain; hoteliereouestafricainchoa; industriellepetrolesmaroc
epinat-j,mourgnot-p,7,africaineateliersconstructionschwartzhautmont; agencefrance; minierebouazzergraara; minieremaroc; omniumnordafricain; prospectionetudesminieresmaroc; tifnouttiranimine
lepel-cointet-g,piot-m,7,agricolemaroc; agricoleouezzan; agricoleouezzanmechrabelksiri; cherifiennecolonisation; fruitsprimeursmaroc; immobilierecasablanca; immobilieremedinacasablanca
gradis-g,ledoux-f,7,cherifienneengraisproduitschimiques; conservesmaroc; fruitieremaroc; marocaineainsikh; marocainebenimtir; marocainesiditaibi; marocaineterrescultures
deveaud-p,thube-a,7,aboisso; commercialeafricaine; coteivoire; forestiereniari; miniereniger; niger; proprietairekouilouniari
calcat-f,levy-g,7,agboville; bordelaisecomptoirsafricains; comptoirsafricains; cotonafricain; forestiereindenie; kong; palmeraiescameroun
delmas-p,o-quin-p,7,auxiliaireafricainedeveloppementcommerce; bananeriesafricaines; etablissementsjdelmasafricaineimportation; imprimeriecommercialecameroun; manutentionafricaine; salinssinesaloum; techniqueexploitationbananiere
gradis-g,orcel-j,6,brasseriesmaroc; brasseriesnordmarocain; comptoirmaroc; culturesindustriellesmaroc; fruitieremaroc; transsaharienne
gompel-p,gompel-r,6,chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc; etudesconstructions; moulinsmaghreb; parismaroc
dureault-h,plisson-e,6,chargeursmarocains; cherifienneagricultureelevage; cherifiennenavigation; marocainecharbonsbriquettes; moulinscherifiens; portfedhala
hersent-g,lefevre-l,6,atlantide; briqueteriesfedhala; marocainetransittransportatlantide; portfedhala; salinesfedala; salinesmaroc
massena-a,murat-c,6,atlantide; groupemarocainetudesentreprises; marocainetransittransportatlantide; parfumerieparisfiorquartieriatffoctobre; parisflor; portfedhala
gompel-p,katz,6,chargeurs; chargeursmarocains; chauxcimentsmateriauxconstruction; chauxcimentsmateriauxconstructionmaroc; etudesconstructions; moulinsmaghreb
bourrellis-l,rebuffel-c,6,constructionafricaine; energieelectriquemaroc; entreprisesmaroc; marocaineexploitationsagricoles; portsmarocains; portsmarocainsmehedyaportlyautey
