doc_id,territory,entry_type,name_listed,n_chars,register,n_name_forms,n_board_list,n_person_career,n_apposition,n_certificate,n_deed,n_press
afrique-occidentale-grand-bassam-cbba32,Côte d'Ivoire,source_document,"Grand-Bassam, première capitale de la Côte-d'Ivoire (1893-1900), par le texte et par l'image. Cartes postales réunies pa",375768,apposition,58,0,0,1,0,1,171
inde-indochine-chambre-commerce-saigon-54c2ab,Indochine,source_document,"Chambre de commerce et d'industrie de Cochinchine, Saïgon",365440,person_career,78,0,84,15,0,0,147
empire-vepc3-881263,(unfiled),company,"Vie économique Poitou-Charentes, n° 3",357599,press,55,0,0,0,0,0,2
afrique-occidentale-comite-assistance-troupes-noires-986975,Afrique occidentale française,source_document,Comité d'assistance aux troupes noires (1915)(109 p.),356625,person_career,38,0,1,2,0,0,76
inde-indochine-roume-gougal-ic-f2266b,Indochine,source_document,"Roume (Ernest), gouverneur général de l'Indochine (janvier 1915-mai 1916), suivi de Jean-François Charles, gouverneur gé",343946,person_career,32,0,5,0,0,0,69
inde-indochine-cief-annam-ca8bf7,Indochine,source_document,Conseil des intérêts économiques et financiers de l'Annam,327770,person_career,65,0,117,1,0,0,5
inde-indochine-comite-comm-indus-i-c-c512ae,Indochine,source_document,"le Comité du commerce, de l'industrie et de l'agriculture de l'Indochine (CCIA)(1903), syndicat patronal",317121,person_career,24,0,1,3,0,0,88
empire-carlcf-2a894f,(unfiled),source_document,Comité d'action républicaine et laïque aux colonies françaises (1905),316689,person_career,53,0,2,0,0,0,117
inde-indochine-blanchard-de-la-brosse-goucoch-31727a,Indochine,source_document,"Blanchard de la Brosse (Paul), gouverneur de la Cochinchine (déc. 1926-jan. 1929)",316009,person_career,18,0,4,0,0,0,57
inde-indochine-conseil-de-cochinchine-1946-1949-a3c3ab,Indochine,source_document,"Conseil consultatif de Cochinchine, puis Conseil de Cochinchine (1946-1949)",308781,person_career,17,0,4,0,0,0,88
inde-indochine-martial-merlin-gougal-ic-7b727e,Indochine,source_document,"Martial Merlin, gouverneur général de l'Indochine (février 1923-avril 1925)",301149,person_career,13,0,3,0,0,0,80
inde-indochine-debat-ic-chambre-1927-0a6f6b,Indochine,source_document,"Débat sur l'Indochine à la Chambre des députés (JORF, 18 mars 1927)(80 p.)",299880,person_career,2,0,1,0,0,0,3
inde-indochine-hanoi-municipalites-ff9cd7,Indochine,source_document,Les municipalités de Hanoï,298622,person_career,64,0,4,3,0,0,144
inde-indochine-ecole-beaux-arts-hanoi-f8e90e,Indochine,company,"École des Beaux-Arts de l'Indochine (EBAI)(1924), puis École des Beaux-Arts et des arts appliqués de l'Indochine (1938),",297870,person_career,36,0,2,0,0,0,111
inde-indochine-expo-paris-indochine-1931-f5351b,Indochine,source_document,Exposition coloniale internationale et des pays d'outre-mer de Paris-Vincennes (1931),287599,press,7,0,0,0,0,0,20
inde-indochine-agindo-paris-df0622,Indochine,source_document,"Agence économique de l'Indochine (Agindo)(1917)(97 p.), Paris",286362,person_career,64,0,16,3,0,0,149
inde-indochine-cief-tonkin-1939-270d34,Indochine,source_document,Conseil des intérêts économiques et financiers du Tonkin (1937),283686,person_career,13,0,63,0,0,0,0
inde-indochine-saigon-municipalites-11232c,Indochine,source_document,Les municipalités de Saïgon,280246,board_list,79,1,0,7,0,1,149
afrique-du-nord-viollis-tunisie-25a1b5,Tunisie,source_document,"Andrée Viollis, Notre Tunisie (1939)",277440,person_career,0,0,1,0,0,0,0
inde-indochine-clementi-destinees-indochine-a37a39,Indochine,source_document,Clémenti (Amédée),271605,person_career,24,0,1,0,0,0,3
inde-indochine-aero-club-cochinchine-6a3429,Indochine,company,"Aéro-club de Saïgon, puis Aéro-club de Cochinchine (« Ailes cochinchinoises »), Saïgon, Tan-Son-Nhut. Avec 30 caricature",268417,person_career,62,0,4,2,0,1,137
inde-indochine-debats-ic-chambre-1930-20132b,Indochine,source_document,"Débats sur l'Indochine à la Chambre des députés (6, 13, 20 et 27 juin 1930)",266201,press,5,0,0,0,0,0,8
inde-indochine-monpezat-politique-1a9616,Indochine,source_document,Monpezat (Henri de Laborde de),258689,press,35,0,0,0,0,0,76
pacifique-malato-paris-noumea-paris-5da43e,Nouvelle-Calédonie (Mélanésie),company,Malato (Charles),257781,press,1,0,0,0,0,0,32
afrique-occidentale-abidjan-troisieme-capitale-2f43b4,Côte d'Ivoire,source_document,"Abidjan, troisième capitale de la Côte-d'Ivoire (1934-1983), par le texte et par l'image. Par Jacques Bobée (210 p.)",247262,person_career,69,0,1,1,0,0,103
madagascar-et-djibouti-frantz-djibouti-1937-ec84ef,Djibouti,source_document,"Frantz (Georges-Félix), Djibouti, œuvre française. Avant, pendant et après le conflit italo-éthiopien (Lyon, 1937, 200 p",246832,person_career,0,0,2,1,0,0,1
empire-vepc6-29ea2a,(unfiled),company,"Vie économique Poitou-Charentes, n° 6",243734,press,37,0,0,0,0,0,1
inde-indochine-amicales-corses-tonkin-8d56c3,Indochine,source_document,Amicales corses du Tonkin,237661,person_career,43,0,2,2,0,1,115
inde-indochine-exposition-hanoi-1887-7fe0f3,Indochine,source_document,Exposition de Hanoï (1887),237192,person_career,0,0,10,0,0,0,9
inde-indochine-institut-pasteur-saigon-b6a0ed,Indochine,company,"Institut Pasteur, Saïgon",236948,person_career,42,0,1,1,0,0,104
afrique-occidentale-binger-1893-1896-2ed6bd,Côte d'Ivoire,source_document,La Côte d’Ivoire sous le gouverneur Gustave Binger (1893-1896)(91 p.),236553,person_career,47,0,3,0,0,0,92
inde-indochine-bernard-nvx-aspects-pb-eco-ic-ca92f1,Indochine,source_document,Bernard (Paul)(SFFC),230718,press,1,0,0,0,0,0,2
inde-indochine-chambre-mixte-annam-electeurs-e3c898,Indochine,source_document,Chambre mixte d'agriculture et de commerce de l'Annam (Tourane),228883,person_career,40,0,84,0,0,0,11
inde-indochine-medailles-resistance-indochinoise-4fbd87,Indochine,source_document,Résistants indochinois distingués,226352,person_career,34,0,1,1,0,0,63
empire-exposition-coloniale-marseille-1922-lh-4567a0,(unfiled),source_document,Exposition nationale coloniale de Marseille (1922),222641,person_career,25,0,13,5,0,0,16
empire-vepc5-92f550,(unfiled),company,"Vie économique Poitou-Charentes, n° 5",218340,person_career,81,0,1,0,0,0,2
inde-indochine-epuration-indochine-1946-1950-3ec27d,Indochine,source_document,L'Épuration en Indochine,218238,person_career,34,0,2,2,0,0,74
inde-indochine-foire-expo-saigon-1942-1943-bb9316,Indochine,source_document,L'Indochine féérique de l'amiral Decoux en trente-trois tableaux,216626,press,32,0,0,0,0,0,31
empire-ecole-coloniale-efom-bc34a7,(unfiled),source_document,"École coloniale (1889), puis École nationale de la France d'Outre-mer (1935-1960), Paris",215294,board_list,35,1,1,0,0,0,73
afrique-du-nord-francmacs-joef-algerie-7b41da,Algérie,source_document,Liste des francs-maçons d'Algérie stigmatisés par le régime de Vichy,214113,deed,0,0,0,0,0,2,135
inde-indochine-la-parigote-saigon-8b4e89,Indochine,source_document,"Parigote (La), Saïgon (1909)",211934,press,10,0,0,0,0,0,5
inde-indochine-rapport-berrue-1920-41b0bd,Indochine,source_document,Rapport de la Commission monétaire indochinoise pour la stabilisation de la piastre (« Rapport Berrué »)(juillet 1920),211217,deed,2,0,0,0,0,1,4
inde-indochine-cief-tonkin-1934-487af8,Indochine,source_document,Conseil des intérêts économiques et financiers du Tonkin (1934),207928,person_career,25,0,95,0,0,0,0
afrique-occidentale-binger-bamako-grand-bassam-a6b835,Côte d'Ivoire,source_document,Gustave Binger,206017,press,20,0,0,0,0,0,16
inde-indochine-sapeques-et-ligatures-300e53,Indochine,source_document,"Sapèques, tiêns et ligatures",200570,person_career,37,0,8,0,0,0,71
inde-indochine-cam-ranh-port-dbb5a6,Indochine,company,Cam-ranh (Port de)(Sud-Annam),191255,person_career,15,0,1,1,0,0,55
inde-indochine-etudes-indochinoises-1923-bd77cf,Indochine,company,"Études indochinoises (Société des)(1883)(suite du Comité agricole et industriel créé en 1865), Saïgon",185585,person_career,27,0,9,8,0,4,62
inde-indochine-amicale-bretonne-hanoi-2e7486,Indochine,source_document,"Amicale des Bretons du Tonkin et du Nord-Annam L'Armoricaine, Hanoï",182665,apposition,17,0,0,2,0,0,83
