snapshot_year,n_present,n_entered,n_stayed,n_returned,n_left,carryover_rate
1924,155,155,0,0,0,
1930,316,243,73,0,82,0.471
1932,278,24,251,3,65,0.794
1936,232,69,158,5,120,0.568
1954,81,79,2,0,230,0.009
