city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Bordeaux,Kaolack,France,Sénégal,metropole,empire,8
Alger,Fès,Algérie,Maroc,empire,empire,8
Dakar,Douala,Sénégal,Cameroun,empire,empire,8
Conakry,Dakar,Guinée Conakry,Sénégal,empire,empire,8
Bordeaux,Tananarive,France,Madagascar,metropole,empire,8
Abidjan,Libreville,Côte d'Ivoire,Gabon,empire,empire,8
Alger,Conakry,Algérie,Guinée Conakry,empire,empire,8
Oran,Tunis,Algérie,Tunisie,empire,empire,8
Alger,Papeete,Algérie,Tahiti (Polynésie),empire,empire,8
Casablanca,Cayenne,Maroc,Guyane française,empire,empire,8
Constantine,Tunis,Algérie,Tunisie,empire,empire,8
