city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Nantes,Port-Gentil,France,Gabon,metropole,empire,1
Constantine,Port-Gentil,Algérie,Gabon,empire,empire,1
Abidjan,Bône,Côte d'Ivoire,Algérie,empire,empire,1
Abidjan,Yaoundé,Côte d'Ivoire,Cameroun,empire,empire,1
Shanghai,Tlemcen,Chine,Algérie,foreign,empire,1
Dakar,Hambourg,Sénégal,Allemagne,empire,foreign,1
Brazzaville,Hué,Congo-Brazzaville,Indochine,empire,empire,1
Hué,Tourane,Indochine,Indochine,empire,empire,1
Dakar,Hué,Sénégal,Indochine,empire,empire,1
Hué,Toulon,Indochine,France,empire,metropole,1
Dakar,Lomé,Sénégal,Togo,empire,empire,1
Dakar,Tlemcen,Sénégal,Algérie,empire,empire,1
Dakar,La Rochelle,Sénégal,France,empire,metropole,1
Lomé,Tananarive,Togo,Madagascar,empire,empire,1
Douala,Majunga,Cameroun,Madagascar,empire,empire,1
Pnom-Penh,Rabat,Indochine,Maroc,empire,empire,1
Casablanca,Lille,Maroc,France,empire,metropole,1
Lyon,Port-Lyautey,France,Maroc,metropole,empire,1
Bamako,Lyon,Soudan français,France,empire,metropole,1
Sfax,Tunis,Tunisie,Tunisie,empire,empire,1
Saïgon,Tlemcen,Indochine,Algérie,empire,empire,1
Sfax,Sousse,Tunisie,Tunisie,empire,empire,1
Marseille,Sfax,France,Tunisie,metropole,empire,1
Hanoï,Oujda,Indochine,Maroc,empire,empire,1
Cayenne,Yaoundé,Guyane française,Cameroun,empire,empire,1
Bangui,Yaoundé,Oubangui-Chari,Cameroun,empire,empire,1
Bône,Yaoundé,Algérie,Cameroun,empire,empire,1
Dakar,Thiès,Sénégal,Sénégal,empire,empire,1
Rufisque,Thiès,Sénégal,Sénégal,empire,empire,1
Mostaganem,Thiès,Algérie,Sénégal,empire,empire,1
Marrakech,Thiès,Maroc,Sénégal,empire,empire,1
Libreville,Thiès,Gabon,Sénégal,empire,empire,1
Alger,Lomé,Algérie,Togo,empire,empire,1
Constantinople,Philippeville,Empire ottoman/Turquie,Algérie,foreign,empire,1
Constantinople,Dakar,Empire ottoman/Turquie,Sénégal,foreign,empire,1
Constantinople,Londres,Empire ottoman/Turquie,Royaume-Uni,foreign,foreign,1
Pnom-Penh,Port-Lyautey,Indochine,Maroc,empire,empire,1
Bône,Port-Lyautey,Algérie,Maroc,empire,empire,1
Bamako,Port-Lyautey,Soudan français,Maroc,empire,empire,1
Alger,Saint-Louis,Algérie,Sénégal,empire,empire,1
Casablanca,Ziguinchor,Maroc,Sénégal,empire,empire,1
Dakar,Mostaganem,Sénégal,Algérie,empire,empire,1
Constantine,Pnom-Penh,Algérie,Indochine,empire,empire,1
Constantine,Sfax,Algérie,Tunisie,empire,empire,1
Constantine,Nantes,Algérie,France,empire,metropole,1
Constantinople,Haïphong,Empire ottoman/Turquie,Indochine,foreign,empire,1
Athènes,Bône,Grèce,Algérie,foreign,empire,1
Bône,Hanoï,Algérie,Indochine,empire,empire,1
Philippeville,Tunis,Algérie,Tunisie,empire,empire,1
Majunga,Port-Lyautey,Madagascar,Maroc,empire,empire,1
Bougie,Majunga,Algérie,Madagascar,empire,empire,1
Constantine,Pointe-à-Pitre,Algérie,Guadeloupe et Martinique,empire,empire,1
Lomé,Vinh,Togo,Indochine,empire,empire,1
Amsterdam,Bruxelles,Pays-Bas,Belgique,foreign,foreign,1
Lisbonne,Saïgon,Portugal,Indochine,foreign,empire,1
Bruxelles,Sfax,Belgique,Tunisie,foreign,empire,1
Brazzaville,Kayes,Congo-Brazzaville,Soudan français,empire,empire,1
Marrakech,Rufisque,Maroc,Sénégal,empire,empire,1
Libreville,Rufisque,Gabon,Sénégal,empire,empire,1
Casablanca,Rufisque,Maroc,Sénégal,empire,empire,1
Douala,Rufisque,Cameroun,Sénégal,empire,empire,1
Abidjan,Hambourg,Côte d'Ivoire,Allemagne,empire,foreign,1
Bangui,Haïphong,Oubangui-Chari,Indochine,empire,empire,1
Bangui,Sfax,Oubangui-Chari,Tunisie,empire,empire,1
Lisbonne,Lomé,Portugal,Togo,foreign,empire,1
Cholon,Majunga,Indochine,Madagascar,empire,empire,1
Bordeaux,Constantinople,France,Empire ottoman/Turquie,metropole,foreign,1
Pnom-Penh,Toulon,Indochine,France,empire,metropole,1
Marseille,Toulon,France,France,metropole,metropole,1
Dalat,Nam-Dinh,Indochine,Indochine,empire,empire,1
Lomé,Pnom-Penh,Togo,Indochine,empire,empire,1
Marrakech,Mostaganem,Maroc,Algérie,empire,empire,1
Libreville,Mostaganem,Gabon,Algérie,empire,empire,1
Alger,Hongay,Algérie,Indochine,empire,empire,1
Marseille,Oran,France,Algérie,metropole,empire,1
Léopoldville,Rabat,Congo-Kinshasa,Maroc,foreign,empire,1
Bangui,Cayenne,Oubangui-Chari,Guyane française,empire,empire,1
Libreville,Lisbonne,Gabon,Portugal,empire,foreign,1
Bienhoa,Douala,Indochine,Cameroun,empire,empire,1
Oran,Tlemcen,Algérie,Algérie,empire,empire,1
Tlemcen,Tunis,Algérie,Tunisie,empire,empire,1
Cantho,Tlemcen,Indochine,Algérie,empire,empire,1
Bruxelles,Tlemcen,Belgique,Algérie,foreign,empire,1
Hussein-Dey,Londres,Algérie,Royaume-Uni,empire,foreign,1
Hussein-Dey,Tunis,Algérie,Tunisie,empire,empire,1
Libreville,Oran,Gabon,Algérie,empire,empire,1
Fort-de-France,Tunis,Guadeloupe et Martinique,Tunisie,empire,empire,1
Constantine,Libreville,Algérie,Gabon,empire,empire,1
Constantine,Hanoï,Algérie,Indochine,empire,empire,1
