person_id,name_clean,chambers,both_chambers,constituencies,n_constituencies,also_minister,first_year,last_year,tenure_years,n_snapshots,snapshots,key_ambiguous,in_network,n_companies,n_proxy_firms,territories,n_territories,evidence
a-abelin-pierre,A ABELIN Pierre,Chamber of Deputies,0,Vienne,1,0,,,,0,,0,0,0,0,,0,mention
a-armengaud-andre,A ARMENGAUD André,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
a-de-montebello,A de Montebello,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
a-monsieur-ernest-outrey,À Monsieur Ernest Outrey,Chamber of Deputies,0,Cochinchine,1,0,,,,0,,0,0,0,0,,0,mention
a-monsieur-le-herisse,À Monsieur Le Hérissé,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
abel,Abel,Chamber of Deputies,0,Toulon,1,1,,,,0,,1,0,0,0,,0,mention
abel-b,Bernard Abel,Chamber of Deputies,0,,0,0,,,,0,,0,1,1,0,Guinée Conakry,1,mention
abelin-p,Pierre Abelin,Chamber of Deputies,0,Vienne,1,0,,,,1,1954,0,1,1,0,Empire (transversal),1,roster
abli-f,Frédéric Abli,Chamber of Deputies,0,Grand-Bassam,1,0,,,,0,,0,0,0,0,,0,mention
accambray-l,Léon Accambray,Chamber of Deputies,0,Aisne,1,0,1914,1932,18,3,1924; 1930; 1932,0,1,2,0,Afrique occidentale française,1,mention; roster
aclocque-p,Paul Aclocque,Chamber of Deputies,0,,0,0,1871,1877,6,0,,0,0,0,0,,0,mention
ad-pedebidou,Ad. Pédebidou,Senate,0,Hautes-Pyrénées,1,0,,,,0,,0,0,0,0,,0,mention
adam,Adam,Chamber of Deputies,0,,0,0,,,,0,,1,1,5,0,Afrique occidentale française; Chine; Côte d'Ivoire; Empire (transversal),4,mention
adam-a,Achille Adam,Chamber of Deputies,0,Pas-de-Calais,1,0,1889,1906,17,0,,0,1,6,0,Afrique occidentale française; Afrique équatoriale française; Brésil; Madagascar; Maroc,5,mention
adam-e,Edmond Adam,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
additions-d,Dernières Additions,Chamber of Deputies,0,Seine-Inférieure,1,0,,,,1,1932,0,0,0,0,,0,roster
adenis-g,Gabriel ADENIS,Chamber of Deputies,0,Creuse,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
aine-d-olivier-f,Frère aîné d'Olivier,Chamber of Deputies,0,,0,0,1863,1869,6,0,,0,0,0,0,,0,mention
ajam,Ajam,Chamber of Deputies,0,Sarthe,1,0,,,,0,,1,1,1,0,Abyssinie ou Ethiopie,1,mention
ajam-m,Maurice Ajam,Chamber of Deputies,0,La; Sarthe,2,0,,,,1,1924,0,0,0,0,,0,mention; roster
albert-christophle,[Albert] Christophle,Chamber of Deputies,0,Orne,1,0,1871,1902,31,0,,0,0,0,0,,0,mention
albert-hauet,[Albert] Hauet,Chamber of Deputies,0,Aisne,1,0,,,,0,,0,0,0,0,,0,mention
albert-sorel-j,Jean Albert-Sorel,Chamber of Deputies,0,Indépendants,1,0,1958,1962,4,0,,0,0,0,0,,0,mention
albertin,Albertin,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
alberto-ferreira-pinto-c,Carlos Alberto Ferreira Pinto,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
allegre,Allègre,Senate,0,Martinique,1,0,,,,0,,1,1,3,0,Afrique occidentale française; Madagascar; Syrie-Liban,3,mention
allemane,Allemane,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
altorffer-c,Charles ALTORFFER,Chamber of Deputies,0,Bas-Rhin,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
alype-p,Pierre Alype,Chamber of Deputies,0,Inde; Indes,2,0,,,,0,,0,0,0,0,,0,mention
amaury-de-la-grange,Amaury de la Grange,Senate,0,Nord,1,0,1930,1930,0,0,,0,1,2,0,Algérie; Empire (transversal),2,mention
amedee-descubes,[Amédée] Descubes,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
amic-j,Jean Amic,Senate,0,Alpes-Maritimes,1,0,,,,1,1924,0,1,2,0,Empire (transversal); Maroc,2,roster
amidieu-du-clos-p,Pierre Amidieu du Clos,Chamber of Deputies,0,Meurthe-et-Moselle,1,0,1928,1936,8,3,1930; 1932; 1936,0,1,3,0,Afrique occidentale française; Algérie,2,roster
amilhau-p,Paul Amilhau,Chamber of Deputies; Senate,1,,0,0,1871,1879,8,0,,0,0,0,0,,0,mention
amodru-e,Ernest AMODRU,Chamber of Deputies,0,Seine-et-Oise,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
ancel-g,Georges ANCEL,Chamber of Deputies,0,Seine-Inférieure,1,0,1912,1928,16,2,1924; 1930,0,1,4,0,Algérie; Empire (transversal); Indochine,3,mention; roster
andigne-g,Geoffroy Andigne,Chamber of Deputies,0,Maine-et-Loire,1,0,,,,1,1932,0,0,0,0,,0,roster
andigne-geoffroy,ANDIGNE Geoffroy,Chamber of Deputies,0,Maine-et-Loire,1,0,,,,0,,0,0,0,0,,0,mention
andre-a-antonin,Alfred André,Chamber of Deputies,0,Seine,1,0,1871,1876,5,0,,0,1,1,0,Madagascar,1,mention
andre-d,David André,Chamber of Deputies,0,Toulouse,1,0,,,,0,,0,0,0,0,,0,mention
andre-hesse-o,Olry André-Hesse,Chamber of Deputies,0,Charente-Inférieure,1,1,1910,1936,26,3,1930; 1932; 1936,0,0,0,2,,0,mention; roster
andre-j-breton,André-J Breton,Chamber of Deputies,0,Cher,1,0,,,,1,1936,0,0,0,0,,0,roster
andre-m-michel,Max ANDRÉ,Senate,0,,0,0,,,,0,,0,1,2,0,Afrique équatoriale française; Sénégal,2,mention
andre-p-pierre,Pierre André,Chamber of Deputies,0,Meurthe-et-Moselle,1,0,,,,1,1954,0,1,1,0,Afrique équatoriale française,1,roster
andrieu-e,Édouard Andrieu,Senate,0,Tarn,1,0,,,,2,1930; 1932,0,1,1,0,Maroc,1,roster
andrieux-j,Andrieux,Chamber of Deputies,0,,0,0,,,,0,,1,1,7,0,Afrique occidentale française; Empire (transversal); Maroc,3,mention
andrieux-l,Louis Andrieux,Chamber of Deputies,0,Basses-Alpes,1,0,,,,1,1924,0,0,0,0,,0,roster
angoulvant,Angoulvant,Chamber of Deputies,0,Inde,1,0,,,,0,,1,1,8,0,Afrique occidentale française; Côte d'Ivoire; Indochine,3,mention
angoulvant-g-georges,Gabriel ANGOULVANT,Chamber of Deputies,0,Etablissements; Inde,2,0,,,,1,1930,0,1,7,0,Afrique occidentale française; Indochine; Madagascar; Syrie-Liban,4,mention; roster
anquetil-p,Paul Anquetil,Chamber of Deputies,0,Seine-Inférieure,1,0,1919,1932,13,3,1924; 1930; 1932,0,1,2,0,Empire (transversal); Indochine,2,roster
anteriou-l,Louis ANTERIOU,Chamber of Deputies,0,Ardèche; Ardéche,2,0,1919,1931,12,2,1930; 1932,0,0,0,0,,0,mention; roster
anthonioz-m,Marcel ANTHONIOZ,Chamber of Deputies,0,Ain,1,0,,,,1,1954,0,0,0,0,,0,mention; roster
antoine-abel-gabriel-prevot-dit-ellen-prevot,"Antoine, Abel, Gabriel Prévot dit Ellen-Prévot",Chamber of Deputies,0,SFIO,1,0,1910,1919,9,0,,0,0,0,0,,0,mention
antoine-colonna,[Antoine] Colonna,Senate,0,R.G.R,1,0,,,,0,,0,0,0,0,,0,mention
antonelli,Antonelli,Chamber of Deputies,0,Haute-Savoie,1,0,,,,0,,1,0,0,0,,0,mention
antonelli-e,Étienne Antonelli,Chamber of Deputies,0,Haute-Savoie,1,0,,,,0,,0,0,0,0,,0,mention
antonetti-e,Étienne Antonetti,Chamber of Deputies,0,Haute-Savoie,1,0,,,,0,,0,0,0,0,,0,mention
appell-p,Pierre Appell,Chamber of Deputies,0,Manche,1,0,1928,1936,8,3,1930; 1932; 1936,0,1,2,0,Empire (transversal); Maroc,2,roster
arago-f,François Arago,Chamber of Deputies,0,Alpes-Maritimes,1,0,,,,1,1924,0,0,0,0,,0,roster
aramon-b,Bertrand Aramon,Chamber of Deputies,0,Seine,1,0,1910,1942,32,3,1930; 1932; 1936,0,1,2,0,Afrique occidentale française; Empire (transversal),2,roster
arbel-l,Lucien Arbel,Senate,0,,0,0,,,,0,,0,1,3,0,Empire (transversal),1,mention
arbouin-g,Gaston Arbouin,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
archer-j,Joseph Archer,Chamber of Deputies,0,Puy-de-Dôme,1,0,1935,1939,4,1,1936,0,0,0,0,,0,roster
archimbaud,Archimbaud,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
archimbaud-l,Léon Archimbaud,Chamber of Deputies,0,Drôme,1,1,1919,1942,23,3,1930; 1932; 1936,0,0,0,0,,0,mention; roster
armengaud-a,André Armengaud,Senate,0,,0,0,,,,1,1954,0,0,0,0,,0,roster
arnaudeau,Arnaudeau,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
arrivee-de-jean-de-beaumont,Arrivée de Jean de Beaumont,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
artaud-a-andre,Adrien Artaud,Chamber of Deputies,0,Bouches-du-Rhône; Marseille,2,0,1919,1924,5,1,1924,0,1,8,0,Afrique occidentale française; Afrique équatoriale française; Cameroun; Empire (transversal); Indochine; La Réunion,6,mention; roster
astier,Astier,Chamber of Deputies,0,Ardèche,1,1,,,,0,,1,0,0,0,,0,mention
astier-e,Emmanuel Astier,Chamber of Deputies,0,Ille-el-Vilaine,1,0,,,,1,1954,0,0,0,0,,0,roster
auber,Auber,Senate,0,Réunion,1,0,,,,1,1924,1,0,0,0,,0,mention; roster
auber-j-joseph,Jules AUBER,Senate,0,Réunion,1,0,,,,1,1930,0,1,1,0,Madagascar,1,mention; roster
aubert-l,Louis Aubert,Chamber of Deputies,0,Vendée,1,0,1932,1942,10,1,1936,0,1,8,0,Afrique équatoriale française; Algérie; Empire (transversal); Maroc; Tunisie,5,roster
aubriot-p,Paul AUBRIOT,Chamber of Deputies,0,Seine,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
aubrun-j,Jules Aubrun,Chamber of Deputies,0,Seine,1,0,1951,1955,4,0,,0,1,4,0,Afrique équatoriale française; Chine; Indochine; Maroc,4,mention
aubry,Aubry,Senate,0,,0,0,,,,0,,1,1,4,0,Afrique occidentale française; Algérie; Madagascar; Maroc,4,mention
audiffred,Audiffred,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
audinot-a,André Audinot,Chamber of Deputies,0,Somme,1,0,,,,0,,0,0,0,0,,0,mention
augagneur,Augagneur,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
augagneur-v,Victor Augagneur,Chamber of Deputies,0,Rhône,1,1,,,,0,,0,0,0,0,,0,mention
auge-f,Fernand Augé,Chamber of Deputies,0,Seine-et-Marne,1,0,1924,1936,12,3,1930; 1932; 1936,0,0,0,0,,0,roster
aumeran,Aumeran,Chamber of Deputies,0,Algérie,1,0,,,,0,,1,0,0,0,,0,mention
aumeran-a,Adolphe Aumeran,Chamber of Deputies,0,Alger,1,0,1929,1929,0,1,1954,0,1,4,0,Algérie; Empire (transversal),2,roster
auriol-h,Henri AURIOL,Chamber of Deputies,0,Haute-Garonne,1,0,,,,0,,0,0,0,0,,0,mention
ayme-de-la-chevreliere-c,Charles Aymé de la Chevrelière,Chamber of Deputies,0,Deux,1,0,1898,1902,4,0,,0,0,0,0,,0,mention
aynard,Aynard,Chamber of Deputies,0,Rhône,1,0,,,,0,,1,0,0,0,,0,mention
babaud-lacroze-l,Léonide Babaud-Lacroze,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
babet-r,Raphaël Babet,Chamber of Deputies,0,Réunion,1,0,,,,1,1954,0,0,0,0,,0,roster
babin-chevaye-j,Jean Babin Chevaye,Chamber of Deputies; Senate,1,Loire-Atlantique; Loire-Inférieure,2,0,1920,1936,16,4,1924; 1930; 1932; 1936,0,1,10,0,Afrique équatoriale française; Algérie; Cameroun; Indochine; Madagascar,5,mention; roster
bacquet-p,Paul Bacquet,Chamber of Deputies,0,Pas-de-Calais,1,0,1932,1940,8,1,1936,0,0,0,0,,0,roster
ballande,Ballande,Chamber of Deputies,0,Gironde,1,0,,,,0,,1,1,3,0,Empire (transversal); Nouvelle-Calédonie (Mélanésie); Tahiti (Polynésie),3,mention
ballande-a,André Ballande,Chamber of Deputies,0,Bordeaux; Gironde,2,0,1902,1924,22,1,1924,0,1,11,0,Afrique occidentale française; Empire (transversal); Indochine; Nouvelle-Calédonie (Mélanésie); Tahiti (Polynésie),5,mention; roster
balliste-p,Paul BALLISTE,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
bardi-de-fourtou-o,Oscar Bardi de Fourtou,Chamber of Deputies,0,,0,1,,,,0,,0,0,0,0,,0,mention
bardoux-j,Jacques-Achille Bardoux,Chamber of Deputies; Senate,1,Puy-de-Dôme,1,0,1938,1955,17,1,1954,0,1,14,0,Afrique occidentale française; Algérie; Empire (transversal); Indochine; Maroc,5,mention; roster
bares-c,Charles Barès,Chamber of Deputies,0,Haute-Garonne,1,0,,,,1,1924,0,0,0,0,,0,mention; roster
barety,Barety,Chamber of Deputies,0,,0,1,,,,0,,1,0,0,0,,0,mention
barety-l,Léon Baréty,Chamber of Deputies,0,Alpes-Maritimes; Bouches-du-Rhône,2,0,1919,1942,23,4,1924; 1930; 1932; 1936,0,1,8,0,Afrique occidentale française; Algérie; Empire (transversal),3,mention; roster
bariac-a,Adrien Bariac,Chamber of Deputies,0,Orne,1,0,,,,1,1924,0,0,0,0,,0,roster
baron-c,Charles Baron,Chamber of Deputies,0,Basses-Alpes,1,0,,,,1,1924,0,1,1,0,Syrie-Liban,1,mention; roster
baron-g,Gabriel Baron,Chamber of Deputies,0,Bouches-du-Rhône,1,0,,,,0,,0,0,0,0,,0,mention
barres-m,Maurice Barrès,Chamber of Deputies,0,Paris,1,0,,,,0,,0,0,0,0,,0,mention
barres-p,Philippe Barrés,Chamber of Deputies,0,Meurthe-etMoselle,1,0,,,,1,1954,0,1,1,0,Afrique occidentale française,1,roster
barrot-f-ferdinand,Ferdinand Barrot,Senate,0,,0,1,1860,1863,3,0,,0,1,2,0,Algérie,1,mention
barthe,Barthe,Chamber of Deputies,0,Hérault,1,0,,,,0,,1,1,1,0,Guyane française,1,mention
barthe-e,Édouard Barthe,Chamber of Deputies,0,Hérault,1,0,1910,1942,32,3,1930; 1932; 1936,0,1,1,0,Tunisie,1,mention; roster
barthelemy,Barthélémy,Chamber of Deputies,0,,0,0,,,,0,,1,1,4,0,Cameroun; Djibouti; Empire (transversal); Maroc,4,mention
barthelemy-g,Georges Barthélemy,Chamber of Deputies,0,Pas-de-Calais,1,0,,,,1,1924,0,0,0,0,,0,mention; roster
bartholoni,Bartholoni,Chamber of Deputies,0,Haute-Savoie,1,0,,,,0,,1,1,2,0,Algérie; Indochine,2,mention
bartholoni-j,Jean Bartholoni,Chamber of Deputies,0,Savoie,1,0,,,,0,,0,1,3,0,Afrique équatoriale française; Indochine; Maroc,3,mention
bartholoni-r,René Bartholoni,Chamber of Deputies,0,Haute-Savoie,1,0,1919,1924,5,1,1924,0,1,5,0,Afrique équatoriale française; Indochine,2,mention; roster
barthou-l-louis,Louis Barthou,Chamber of Deputies; Senate,1,Basses-Pyrénées,1,0,1889,1934,45,3,1924; 1930; 1932,0,1,4,0,Afrique occidentale française; Empire ottoman/Turquie; Indochine,3,roster
bartissol-e,Edmond Bartissol,Chamber of Deputies,0,Pyrénées; Pyrénées-Orientales,2,0,,,,0,,0,1,3,0,Macédoine; Mozambique,2,mention
bascou-o,Olivier Bascou,Chamber of Deputies,0,Gers,1,0,1893,1932,39,2,1930; 1932,0,1,3,0,Algérie; Empire (transversal),2,roster
bataille-v,Victor Bataille,Chamber of Deputies,0,Cantal; Saône-et-Loire,2,0,1919,1942,23,2,1924; 1936,0,0,0,0,,0,mention; roster
baudin-p,Pierre Baudin,Senate,0,,0,1,,,,0,,0,0,0,0,,0,mention
baudry-d-asson-a,Armand Baudry d'Asson,Chamber of Deputies,0,Vendée,1,0,,,,1,1954,0,0,0,0,,0,roster
baylet-j,Jean BAYLET,Chamber of Deputies,0,Tarn-et-Garonne,1,0,,,,1,1954,0,0,0,0,,0,mention; roster
bayol,Bayol,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
bayrou,Bayrou,Chamber of Deputies,0,Moyen-Congo,1,0,,,,0,,1,0,0,0,,0,mention
bazile-g,Gaston Bazile,Chamber of Deputies,0,Gard,1,0,1924,1932,8,3,1930; 1932; 1936,0,0,0,0,,0,roster
beauguitte,Beauguitte,Chamber of Deputies,0,,0,1,,,,0,,1,0,0,0,,0,mention
beaumont-j,Jean BEAUMONT,Senate,0,Allier,1,0,,,,0,,0,0,0,0,,0,mention
beauquier,Beauquier,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
beauquier-c,Charles Beauquier,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
beauregard-p,Paul Beauregard,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
bejarry,Bejarry,Senate,0,Vendée,1,0,,,,0,,1,0,0,0,,0,mention
bellanger-r,Robert-Bernard Bellanger,Chamber of Deputies,0,IIle-et-Vilaine,1,0,1928,1932,4,3,1930; 1932; 1936,0,0,0,0,,0,roster
benard-l,Léonus Bénard,Senate,0,Réunion,1,0,,,,3,1930; 1932; 1936,0,1,13,0,Afrique occidentale française; Algérie; Empire (transversal); La Réunion,4,roster
benazet-p,Paul Bénazet,Chamber of Deputies; Senate,1,Indre,1,0,1905,1932,27,4,1924; 1930; 1932; 1936,0,1,10,0,Afrique occidentale française; Algérie; Empire (transversal),3,mention; roster
bene-m,Maurice BÉNÉ,Chamber of Deputies,0,Seine-et-Oise,1,0,1936,1936,0,1,1954,0,0,0,0,,0,mention; roster
berenger,Bérenger,Senate,0,Guadeloupe,1,1,,,,0,,1,1,2,0,Indochine; Maroc,2,mention
berenger-h,Henry Bérenger,Senate,0,Guadeloupe,1,0,1912,1940,28,4,1924; 1930; 1932; 1936,0,1,1,0,Afrique occidentale française,1,mention; roster
bergeon,Bergeon,Chamber of Deputies; Senate,1,Marseille,1,0,,,,0,,1,1,2,0,Afrique occidentale française; Indochine,2,mention
