doc_id,source_page,region,page_territory,country,sector,group_path,group_depth,entry_type,name_normalised
afrique-du-nord-abattoirs-industriels-maroc-9a3243,maroc.html,Maroc,AFRIQUE DU NORD / MAROC,Maroc,Industries agro-alimentaires,,0,company,Société générale des Abattoirs municipaux et industriels au Maroc
afrique-du-nord-abri-familial-oranais-320b63,algerie.html,Algerie,ALGÉRIE,Algérie,Foncières et immobilières,,0,company,L'Abri familial oranais
afrique-du-nord-acac-casablanca-f66a0b,maroc.html,Maroc,AFRIQUE DU NORD / MAROC,Maroc,Industries agro-alimentaires,,0,company,Association coopérative d’alimentation de Casablanca
afrique-du-nord-acconage-algerien-842cdf,algerie.html,Algerie,ALGÉRIE,Algérie,Transports maritimes et aériens,,0,company,Compagnie d'Acconage algérien
afrique-du-nord-acconage-charbonnage-jullian-261090,algerie.html,Algerie,ALGÉRIE,Algérie,Transports maritimes et aériens,,0,company,Société d'Acconage et de charbonnage Jullian
afrique-du-nord-acconage-charbons-tunisie-5efede,tunisie.html,Tunisie,TUNISIE,Tunisie,Transports maritimes et aériens,,0,company,Société d'Acconage et de charbons de Tunisie
afrique-du-nord-acconage-remorquage-schiaffino-70e0ff,algerie.html,Algerie,ALGÉRIE,Algérie,Transports maritimes et aériens,,0,company,Société d'Acconage et de remorquage Ch. Schiaffino
afrique-du-nord-achaque-cabotage-alger-25f323,algerie.html,Algerie,ALGÉRIE,Algérie,Transports maritimes et aériens,,0,company,Achaque
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,algerie.html,Algerie,ALGÉRIE,Algérie,"Imprimerie, presse, édition",,0,person,Jourdan
afrique-du-nord-adour-sebou-50bb13,maroc.html,Maroc,AFRIQUE DU NORD / MAROC,Maroc,Commerce,,0,company,Société industrielle et commerciale Adour-Sebou
afrique-du-nord-adrien-beudon-alger-00ba36,algerie.html,Algerie,ALGÉRIE,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,0,person,"Beudon, entrepreneur à Alger"
afrique-du-nord-aec-1922-maroc-ba808c,maroc.html,Maroc,AFRIQUE DU NORD / MAROC,Maroc,Documents généraux (par ordre chronologique),,0,source_document,Annuaire des entreprises coloniales 1922
