doc_id,person_key,person_id,in_network,name_clean,surname,given,chamber,constituency,years_raw,year_start,year_end,n_spans,also_minister,pattern,evidence,source_ref,region,country
afrique-du-nord-abattoirs-industriels-maroc-9a3243,antonelli-e,,0,Étienne Antonelli,Antonelli,Étienne,Chamber of Deputies,Haute-Savoie,,,,0,0,apposition,"e. (11-28606). —————————— Le Maroc et la colonisation par Étienne Antonelli, député de la Haute-Savoie, rapporteur du budget de l'Algérie et des protectorats. (Le",Société générale des Abattoirs municipaux et industriels au Maroc,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,de-fels-a,,0,André de Fels,de Fels,André,Chamber of Deputies,,1928-1932,1928,1932,1,0,bracket,"Paris, et de Jeanne Lebaudy (sœur de Jacques, « l’empereur du Sahara », etc][député 1928-1932], A[lfred] Finaz, P[aul] Goullioud, E[ugène] Guernier [Le Molybdène]",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,heuzey-c,heuzey-c,1,Ch. Heuzey,Heuzey,Ch.,Chamber of Deputies,Nièvre,,,,0,0,bracket,"it, G[aston] Claus, M[aurice] Piot [Bq comm. du Maroc], Ch. Heuzey [ép. Potin. Anc. député de la Nièvre], R[oger] Bloch, A[uguste] Delcroix, J[ean] Pouyer, E[mile] March",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,feray-j,feray-j,1,Jacques Feray,Feray,Jacques,Chamber of Deputies,,1871-1876,1871,1876,1,0,entry_header," Gujan-Mestras (Gironde), administrateur des Mines et fonderies de Pontgibaud, député républicain (1871-1876) et sénateur (1876-1891) de Seine-et-Oise. Fils d’Art",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,feray-j,feray-j,1,Jacques Feray,Feray,Jacques,Senate,,1876-1891,1876,1891,1,0,entry_header,"rateur des Mines et fonderies de Pontgibaud, député républicain (1871-1876) et sénateur (1876-1891) de Seine-et-Oise. Fils d’Arthur Feray et de Marguerite Mallet. ",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,henri-lorin,,0,[Henri] Lorin,[Henri] Lorin,,Chamber of Deputies,Gironde,"1919-1924, 1928-1932",1919,1932,2,0,bracket,"lice, A. de Chabannes la Palice, [Louis] de Montgomery, Gilles, [Henri] Lorin [député de la Gironde 1919-1924, 1928-1932], [J.] Louchet. 436 — Comptoirs franco-ma",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,krantz-c,krantz-c,1,Camille Krantz,Krantz,Camille,Chamber of Deputies,Épinal,1891-1910,1891,1910,1,0,bracket,"ien], v.- présid. ; Édouard Cazalet [Marseillaise de crédit], Camille Krantz* [député d’Épinal 1891-1910, CNEP], Arsène Henry [Bq Ottomane][amb. de F. au Japon GM 2",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,giraud-h,giraud-h-henry,1,Hubert Giraud,Giraud,Hubert,Chamber of Deputies,Bouches-du-Rhône,1919-1924,1919,1924,1,0,bracket,"rin [ép. Paquet][1883-1923], H[ubert] Giraud [ép. Paquet, SGTM, Cie marocaine… Député B.-du-Rh.1919-1924], P. Desbief, C. Scheid. 489 — Cie du port de Fédhala [Féd",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,jacques-duboin,jacques-duboin,1,[Jacques] Duboin,[Jacques] Duboin,,Chamber of Deputies,Haute-Saône,1919-1928,1919,1928,1,0,bracket,"rthet, Braunschwig, Ferrant [Ciments Portland de l’Indoch.], [Jacques] Duboin [député Hte- Saône (1919-1928)], Robert Gompel [Paris-Maroc], Pierre Gompel [Paris-Maro",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,perchot-j,perchot-j,1,Justin Perchot,Perchot,Justin,Chamber of Deputies,,,,,0,0,bracket,"azagan, Mogador, Petitjean. Conseil. — MM. Justin Perchot* [Commentry-Oissel, député puis sénateur des Basses-Alpes, dir. du Radical], présid. ; A[lphonse] Fondèr",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,perchot-j,perchot-j,1,Justin Perchot,Perchot,Justin,Senate,Basses-Alpes,,,,0,0,bracket,"dor, Petitjean. Conseil. — MM. Justin Perchot* [Commentry-Oissel, député puis sénateur des Basses-Alpes, dir. du Radical], présid. ; A[lphonse] Fondère, François Ma",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,mill-l,mill-l,1,Louis Mill,Mill,Louis,Chamber of Deputies,Pas-de-Calais,1902-1906,1902,1906,1,0,entry_header," et aciéries du Nord 30 et de l’Est, Banque de Paris et des Pays-Bas). Avocat, député du Pas-de-Calais (1902-1906), fondateur de l’Alliance démocratique (1905), pré",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,oissel-c,,0,Commentry- Oissel,Oissel,Commentry-,Senate,Basses-Alpes,,,,0,0,apposition,"s-Sée, Qinefault, Brice, [Godfrey] Morgans, Justin Perchot* [Commentry- Oissel, sénateur des Basses-Alpes, dir. du Radical], [Georges] Pichard [pdt Nozal], [Albert] Pé",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,de-rouvre-c,de-rouvre-c,1,Charles de Rouvre,de Rouvre,Charles,Chamber of Deputies,,,,,0,0,bracket,"e/Bq comm. Maroc], présid. ; Charles de Rouvre [ép. fille de Gustave Lebaudy][anc. député][pdt Institut col. frs et Mines de Falémé-Gambie], cte [Victor] Berti [Bq comm",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,lautier-e,lautier-e,1,Eugène Lautier,Lautier,Eugène,Chamber of Deputies,Guyane,1924-1932,1924,1932,1,0,bracket," Delmas , E. Estaunié, G. Galy, E[ugène] Lautier [dir. L’Homme libre, puis 57 député de la Guyane 1924-1932], G. Rolland, R. Leneveu, J. Meneveaux, J. Walter, M. B",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,chaumet-c,chaumet-c,1,Charles Chaumet,Chaumet,Charles,Chamber of Deputies,,1902-1919,1902,1919,1,0,entry_header,"André Gondy [chef de contentieux]. Charles Chaumet (1866-1932) : journaliste, député (1902-1919), puis sénateur (1923-1932) de la 58 Gironde, ancien administrateur",Annuaire des entreprises coloniales 1922,Maroc,Maroc
afrique-du-nord-aec-1922-maroc-ba808c,chaumet-c,chaumet-c,1,Charles Chaumet,Chaumet,Charles,Senate,,1923-1932,1923,1932,1,0,entry_header,"entieux]. Charles Chaumet (1866-1932) : journaliste, député (1902-1919), puis sénateur (1923-1932) de la 58 Gironde, ancien administrateur de la Société immobilière ",Annuaire des entreprises coloniales 1922,Maroc,Maroc
