doc_id,entry_type,is_annuaire,n_chars,n_segments,n_ties,n_xrefs
afrique-du-nord-beni-felkai-mining-cy-79b3d7,company,0,26165,28,0,2
afrique-du-nord-beni-mtir-2f221c,company,0,1451,2,3,1
afrique-du-nord-berliet-algerie-ae8d48,company,0,23777,7,0,0
afrique-du-nord-bernabe-freres-alger-9d2b67,company,0,13315,13,9,6
afrique-du-nord-bestozo-constantine-a87229,company,0,3120,2,0,0
afrique-du-nord-bijouterie-marois-alger-5068be,company,0,3765,2,0,0
afrique-du-nord-bisch-et-lorin-oran-aa608a,company,0,16229,19,0,0
afrique-du-nord-biscuiterie-fr-marocaine-ad0b69,company,0,3254,4,0,0
afrique-du-nord-biskra-et-oued-rirh-d11692,company,0,146759,32,0,0
afrique-du-nord-biskra-ouargla-3e7510,company,0,17321,8,0,5
afrique-du-nord-blachere-hussein-dey-0e9fad,company,0,17460,10,0,0
afrique-du-nord-blachette-scierie-alger-e7f1d2,company,0,16058,6,0,2
afrique-du-nord-blancs-de-comines-4ac8f3,company,0,33328,36,4,13
afrique-du-nord-bnci-afrique-6655e5,company,0,19712,12,12,0
afrique-du-nord-boisembal-e7446c,company,0,4192,2,0,1
afrique-du-nord-boissons-gazeuses-alger-341500,company,0,46682,28,11,0
afrique-du-nord-boissons-hygieniques-casablanca-2e1d9c,company,0,29174,19,0,0
afrique-du-nord-bon-logis-rabat-5698cb,company,0,2905,5,3,1
afrique-du-nord-bone-guelma-prolong-5af93c,company,0,561024,181,8,0
afrique-du-nord-bordeaux-algerie-corbieres-b7d8f5,company,0,556,2,0,0
afrique-du-nord-bordeaux-maroc-2aa0db,company,0,22125,15,13,3
afrique-du-nord-bordelaise-du-maroc-a1c809,company,0,2969,3,8,1
afrique-du-nord-bou-ached-kerassi-120c98,company,0,573,2,0,0
afrique-du-nord-bou-azzer-et-graara-bfb305,company,0,40663,27,33,0
afrique-du-nord-bouchonnerie-calzada-djidjelli-e70fbc,company,0,13304,14,0,0
afrique-du-nord-bouchonnerie-internationale-6519d1,company,0,7169,15,0,1
afrique-du-nord-bouchonnerie-tizi-ouzou-2dbbcc,company,0,2180,4,0,1
afrique-du-nord-boudoukha-zinc-pb-daf4e7,company,0,62148,48,13,0
afrique-du-nord-boulogne-maroc-47153e,company,0,4452,5,8,0
afrique-du-nord-bourdet-maitres-afn-ed0d9c,company,0,29731,2,0,0
afrique-du-nord-bouscasse-gras-1bc77e,company,0,2941,5,0,1
afrique-du-nord-bq-algerienne-de-gestion-0eff58,company,0,76003,20,0,0
afrique-du-nord-bq-algero-tunisienne-e892af,company,0,8431,9,12,1
afrique-du-nord-bq-coloniale-nordaf-2dfb96,company,0,5562,5,0,2
afrique-du-nord-bq-commerc-maroc-5244c6,company,0,75329,69,79,0
afrique-du-nord-bq-fonciere-fr-maroc-009146,company,0,9049,7,40,8
afrique-du-nord-bq-fr-alger-barris-3981bf,company,0,14755,18,0,5
afrique-du-nord-bq-francaise-maroc-76a86f,company,0,38783,28,8,0
afrique-du-nord-bq-franco-algerienne-a2fa8b,company,0,25847,32,3,2
afrique-du-nord-bq-industrielle-afrique-du-nord-065e26,company,0,248163,72,132,0
afrique-du-nord-bq-marocaine-casablanca-fe013f,company,0,10996,14,9,1
afrique-du-nord-bq-tunisienne-prets-gages-fe8b69,company,0,24528,22,0,0
afrique-du-nord-bragema-casablanca-f8f876,company,0,7627,4,0,0
afrique-du-nord-bramrane-tensift-e1fde2,company,0,2037,2,0,2
afrique-du-nord-branoma-b20784,company,0,9316,3,10,5
afrique-du-nord-brasserie-d-alger-ef9a13,company,0,46689,40,0,2
afrique-du-nord-brasserie-malterie-algerienne-c2b0fd,company,0,10989,5,9,0
afrique-du-nord-brasseries-du-maroc-b66104,company,0,186887,79,70,23
afrique-du-nord-brasseries-et-glacieres-d-algerie-ce3f7c,company,0,23635,3,0,0
afrique-du-nord-brasseries-malteries-kessler-eb9db6,person,0,1169,2,3,0
afrique-du-nord-briqueterie-duplan-bizot-3a7a69,company,0,746,2,0,2
afrique-du-nord-briqueteries-d-el-hank-a02c24,company,0,1834,3,14,0
afrique-du-nord-briqueteries-de-fedhala-9ecf0e,company,0,6557,13,7,0
afrique-du-nord-briqueteries-tuileries-alma-92a7d3,company,0,1140,2,4,0
afrique-du-nord-brun-tortel-et-cie-c9a90d,company,0,1071,2,6,0
