person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
yok-lam-c,Chan Yok Lam,Chan Yok Lam,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,4,1887,1993
sam-hui-bon-hoa-k,Khien- Sam HUI-BON-HOA,Khien- Sam HUI-BON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,1,1942,1942
khien-hong-luce-huibon-hoa,Khien-Hong Luce HUIBON-HOA,Khien-Hong Luce HUIBON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,1,1942,1942
khien-nam-hui-bon-hoa,Khien-Nam HUI-BON-HOA,Khien-Nam HUI-BON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,1,1942,1942
khienchion-lucien-hui-bon-hoa,KhienChion Lucien HUI-BON-HOA,KhienChion Lucien HUI-BON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,1,1942,1942
hui-bon-hoa-l,Lucien HUI-BON-HOA,Lucien HUI-BON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,2,3,1942,1993
tang-phien-hui-bon-hoa,Tang-Phien HUI-BON-HOA,Tang-Phien HUI-BON-HOA,native,chinese_indochinese,medium,chinese_indochinese_curated,Indochine,Indochine,1,1,1942,1942
abbes-el-aouffir,Abbès el Aouffir,Abbès el Aouffir,native,maghrebi_arab_berber,medium,maghrebi_particle,Maroc,Maroc,1,1,1926,1926
abdessadock-ben-el-hadj-thami-el-glaoui,Abdessadock ben el Hadj-Thami el Glaoui,Abdessadock ben el Hadj-Thami el Glaoui,native,maghrebi_arab_berber,high,maghrebi_honorific;maghrebi_particle,Maroc,Maroc,1,1,1969,1969
abdesselam-ben-abdessadok,Abdesselam Ben Abdessadok,Abdesselam Ben Abdessadok,native,maghrebi_arab_berber,medium,maghrebi_particle,Maroc,Maroc,1,1,1937,1937
terrab-a,Ahmed Terrab,Ahmed Terrab,native,maghrebi_arab_berber,medium,maghrebi_given_name,Maroc,Maroc,1,1,1922,1922
