period,n_dated_edges,n_drawable_edges,n_interlocks,n_firms_drawn,n_anchors,n_active_firms,n_placed_firms,share_firms_placed,n_no_country_firms,n_paris_firms,n_paris_edges,paris_share,n_address_edges,n_address_paris_edges,paris_share_address_only,top_anchors
pre_1914,4634,3322,4060,864,82,1016,874,0.8602,42,311,2109,0.6349,1500,1239,0.8260,Paris (311); Indochine (112); Algérie (46); Maroc (35); Hanoï (23)
1914_1929,16144,11502,15460,1753,122,2059,1779,0.8640,93,459,5916,0.5143,5725,3771,0.6587,Paris (459); Indochine (171); Maroc (137); Alger (108); Casablanca (90)
1930_1944,11651,8203,10925,1463,118,1775,1495,0.8423,114,279,3342,0.4074,3160,1972,0.6241,Paris (279); Maroc (249); Indochine (190); Saïgon (68); Afrique occidentale française (66)
1945_1962,18665,3969,5487,887,95,2656,962,0.3622,1484,170,1464,0.3689,1475,888,0.6020,Paris (170); Maroc (104); Indochine (92); Afrique équatoriale française (62); Afrique occidentale française (41)
post_1962,748,568,790,265,45,343,279,0.8134,14,32,149,0.2623,178,75,0.4213,Afrique occidentale française (50); Indochine (40); Paris (32); Maroc (26); Saïgon (13)
