doc_id,company_key,company_name,person_key,name_clean,surname,given,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,Société générale des Abattoirs municipaux et industriels au Maroc,poirson-l,Léonidas Poirson. 1,Poirson. 1,Léonidas,administrateur,1920,"BALO, 6 septembre 1920",,Maroc,Maroc,Industries agro-alimentaires,citation,premiers_admin,positional_forename,Léonidas Poirson. 1
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,godard-l,Louis Godard,Godard,Louis,president,1922,"AEC 1922, p. 519",Cie gén. du Maroc,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,MM. Louis Godard [Cie gén. du Maroc]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,atthalin-a,André Atthalin,Atthalin,André,administrateur,1922,"AEC 1922, p. 519",BPPB,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,André Atthalin [BPPB]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,braunschvig-g,Georges Braunschvig,Braunschvig,Georges,administrateur,1922,"AEC 1922, p. 519",,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Georges Braunschvig
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,de-caqueray-g,Gaston de Caqueray,de Caqueray,Gaston,administrateur,1922,"AEC 1922, p. 519",Cie marocaine,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Gaston de Caqueray [Cie marocaine]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,cotte-l,Ludovic Cotte,Cotte,Ludovic,administrateur,1922,"AEC 1922, p. 519",Fin. fr.- marocaine,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Ludovic Cotte [Fin. fr.- marocaine]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,dal-piaz-j,J. Dal Piaz,Dal Piaz,J.,administrateur,1922,"AEC 1922, p. 519",Cie gén. transatlantique,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,J. Dal Piaz [Cie gén. transatlantique]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,jordan-p,Paul Jordan,Jordan,Paul,administrateur,1922,"AEC 1922, p. 519",dir. Union des mines marocaines,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Paul Jordan [dir. Union des mines marocaines]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,katz-m,Maxime Katz,Katz,Maxime,administrateur,1922,"AEC 1922, p. 519",Paris-Maroc,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Maxime Katz [Paris-Maroc]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,lacoin-g,Gaston Lacoin,Lacoin,Gaston,administrateur,1922,"AEC 1922, p. 519",,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Gaston Lacoin
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,de-montgolfier-j,Joseph de Montgolfier,de Montgolfier,Joseph,administrateur,1922,"AEC 1922, p. 519",Fin. fr.-marocaine,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Joseph de Montgolfier [Fin. fr.-marocaine]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,gerard-e,Émile Gérard,Gérard,Émile,administrateur,1922,"AEC 1922, p. 519",Société générale des abattoirs municipaux de France,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Émile Gérard [Société générale des abattoirs municipaux de France]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,gompel-r,Robert Gompel,Gompel,Robert,administrateur,1922,"AEC 1922, p. 519",Paris-Maroc,Maroc,Maroc,Industries agro-alimentaires,aec_entry,conseil_annuaire,initials_or_forename,Robert Gompel [Paris-Maroc]
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,godart-l,Louis Godart,Godart,Louis,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,M. Louis Godart
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,adm-mm-andre-atthalin,Adm.: MM. André Atthalin,Adm.: MM. André Atthalin,,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,surname_only,Adm.: MM. André Atthalin
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,braunschvig-g,Georges Braunschvig,Braunschvig,Georges,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Georges Braunschvig
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,de-caqueray-g,Gaston de Caqueray,de Caqueray,Gaston,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Gaston de Caqueray
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,cotte-l,Ludovic Cotte,Cotte,Ludovic,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Ludovic Cotte
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,dal-piaz-j,John Dal Piaz,Dal Piaz,John,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,John Dal Piaz
afrique-du-nord-abattoirs-industriels-maroc-9a3243,abattoirsmunicipauxindustrielsmaroc,ABATTOIRS MUNICIPAUX ET INDUSTRIELS AU MAROC,jordan-p,Paul Jordan,Jordan,Paul,president,1925,Annuaire industriel 1925,,Maroc,Maroc,Industries agro-alimentaires,directory_entry,pres_abbrev,initials_or_forename,Paul Jordan
