person_id,company_key,company_name,role,year,source_ref,doc_id,annotation,from_company_id,match_method,n_observations,source_genre
froment-guieysse-g,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,administrateur,1928,"Le Mercure africain, 25 août 1928",afrique-du-nord-algerienne-materiaux-construction-2a3096,BCEEM,algeriennemateriauxconstruction,acronym,15,annotation
de-caqueray-g,marocaine,Compagnie marocaine,administrateur,1922,"AEC 1922, p. 519",afrique-du-nord-abattoirs-industriels-maroc-9a3243,Cie marocaine,abattoirsmunicipauxmaroc,name,14,annotation
picot-h,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,administrateur,1925,Annuaire industriel 1925,afrique-du-nord-cie-sud-marocain-7647fe,BCEEM,sudmarocain,acronym,12,annotation
rebuffel-c,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,administrateur,1923,"Marseille, 1923",afrique-du-nord-aec-1922-maroc-ba808c,GTM,marocainedistributioneaugazelectricite,acronym,12,annotation
weber-j,forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,administrateur,1922,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc,CFSO,boiscoloniaux,acronym,11,annotation
boucard-m,marocaine,Compagnie marocaine,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Cie marocaine,cheminsfermaroc,name,8,annotation
petit-j,omniumlyonnais,Omnium lyonnais,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Omnium lyonnais,minieremaroc,name,8,annotation
philippar-e,creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,administrateur,1922,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-africaine-cultures-indus-82471f,Crédit foncier d'Algérie et de Tunisie,africaineculturesindustrielles,name,8,annotation
pinci-m,miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,CMOO,diamantifereauriferehautesangha,acronym,8,annotation
cazalet-e,marseillaisecredit,Marseillaise de crédit,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Marseillaise de crédit,maroc,name,7,annotation
de-neuflize-b,tabacsindochine,Tabacs d’Indochine,administrateur,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,Tabacs de l’Indo-Chine,manufacturetabacsindochine,name,7,annotation
jurien-de-la-graviere-p,algerienne,Compagnie algérienne,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Cie algérienne,marocaine,name,7,annotation
philippar-g,messageriesmaritimes,Société des Messageries maritimes,administrateur,1925,"Les Annales coloniales, 6 juillet 1925",afrique-du-nord-cie-aerienne-f-algerie-1dd0af,Messageries maritimes,aeriennefrancealgerie,name,7,annotation
pose-a,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie -Indochine,administrateur,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,BNCI,creditmarocain,acronym,7,annotation
anthoine-f,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,alsaciennecoteivoire,name,6,annotation
bontoux-h,messageriesmaritimes,Société des Messageries maritimes,administrateur,1922,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1922-djibouti-362d73,Messageries maritimes,maritimeafriqueorientale,name,6,annotation
charbonnel-r,etudesnord,Société d'Études du Nord,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",madagascar-et-djibouti-aec-1922-madagascar-1deb0e,Études du Nord,nosybeenneindustriesagricoles,name,6,annotation
drosso-c,industrielleplatine,Cie industrielle du platine,administrateur,1938,"ANNUAIRE INDUSTRIEL, 1938",afrique-du-nord-ann-indus-1938-maroc-992aca,Cie industrielle du platine,minieremaroc,name,6,annotation
estier-h,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1927,"JORF, 22 août 1927",afrique-du-nord-aec-1922-maroc-ba808c,LUCIA,industriellemarocaine,acronym,6,annotation
gallois-c,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,administrateur,1922,Annuaire des entreprises coloniales,pacifique-aec-1922-polynesie-fd5136,BCEEM,francotahitienne,acronym,6,annotation
janicot-x,omniumlyonnais,Omnium lyonnais,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Omnium lyonnais,minieremaroc,name,6,annotation
joubert-j-jacques,immobilierefinanciereafricaine,Société Immobilière et financière africaine,administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,SIFA,forestieresanghaoubangui,acronym,6,annotation
legrand-r,colonies,Compagnie Générale des colonies,administrateur,1929,"Lyon, 15 février 1873-Paris XVIe, 17 décembre 1929",afrique-occidentale-aec-1922-aof-togo-9cef7c,Cie générale des colonies,forestiereafrique,name,6,annotation
lemoigne-e,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,BCEEM,magasinsgenerauxwarrantsmaroc,acronym,6,annotation
perben-l,lyonnaisemadagascar,Compagnie Lyonnaise de Madagascar,administrateur,1925,"ANNUAIRE INDUSTRIEL, 1925",madagascar-et-djibouti-ann-indus-1925-madag-8e7e7b,Cie lyonnaise de Madagascar,creditfonciermadagascar,name,6,annotation
petithuguenin-p,colonies,Compagnie Générale des colonies,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Cie générale des Colonies,immobilieresudasie,name,6,annotation
rueff-g,messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Messageries fluviales de Cochinchine,chantiersateliersreunisindochine,name,6,annotation
aries-j,unionmines,Union des mines,administrateur,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,Union des mines,creditmarocain,name,5,annotation
brincard-c,creditlyonnais,Crédit lyonnais,administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Crédit lyonnais,francoespagnolecheminfertangerfez,name,5,annotation
castres-saint-martin-g,creditfoncierafrique,Crédit foncier de l'Afrique française,administrateur,1951,Annuaire des entreprises coloniales,afrique-occidentale-aec-1951-aof-togo-9a864d,Crédit foncier d'Afrique,creditfoncierouestafricain,name,5,annotation
de-magnin-p,omniumlyonnais,Omnium lyonnais,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Omnium lyonnais,minieremaroc,name,5,annotation
delorme-p,airliquide,L'Air liquide,administrateur,1904,"Douai, 1904",inde-indochine-aec-1922-indochine-c3f1fb,Air liquide,oxygeneacetyleneextremeorient,name,5,annotation
deschars-e,airliquide,L'Air liquide,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Air liquide,marocainegazcomprimes,name,5,annotation
foy-s,messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,administrateur,1953,"Grenoble, 1883-Saint-Mandé, 1953",inde-indochine-aec-1951-indochine-96799d,Messageries fluviales de Cochinchine,hautsplateauxindochinoisbanmethuot,name,5,annotation
gontard-a,dockslyonnais,Docks lyonnais,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Docks lyonnais,marocaineapprovisionnement,name,5,annotation
pallier-j,algerienne,Compagnie algérienne,administrateur,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,Cie algérienne,marocaine,name,5,annotation
rebuffel,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,administrateur,1909,"Le Temps, 11 octobre 1909",afrique-du-nord-gen-distribution-energie-elec-621d8c,GTM,distributionenergieelectrique,acronym,5,annotation
vigne-j,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,LUCIA,colonialegrandsmagasins,acronym,5,annotation
wolfram-du-tonkin,etainswolframtonkin,"Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,EWT,comptoirdiamant,acronym,5,annotation
aubert-l,marseillaisecredit,Marseillaise de crédit,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Marseillaise de crédit,sebou,name,4,annotation
baguenault-de-puchesse-a,descourscabaud,Descours et Cabaud,administrateur,1922,Annuaire des entreprises coloniales,afrique-du-nord-aec-1922-maroc-ba808c,Descours & Cabaud,banqueunionmarocaine,name,4,annotation
bernard-f,messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,administrateur,1925,Annuaire industriel 1925,inde-indochine-aec-1922-indochine-c3f1fb,Messageries fluviales de Cochinchine,caoutchoucsindochine,name,4,annotation
besson-l-leon,marseillaisemadagascar,Compagnie Marseillaise de Madagascar,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Cie marseillaise de Madagascar,comptoirsfrancomarocains,name,4,annotation
bethmont-d,electrometallurgiedives,Société d'Électro-Métallurgie de Dives,administrateur,1915,"S.N.C., Bordeaux, 5 mars 1915",inde-indochine-aec-1922-indochine-c3f1fb,Électro-Métallurgie de Dives,etainswolframtonkin,name,4,annotation
bloch-m,banquetransatlantique,Banque transatlantique,administrateur,1924,"La Cote de la Bourse et de la banque, 29 juillet 1924",afrique-occidentale-bca-1924-1963-b31da7,Banque transatlantique,banquecommercialeafricaine,name,4,annotation
bocquet-j,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,kaolack,name,4,annotation
brard-r,etainswolframtonkin,"Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,EWT,etainscammon,acronym,4,annotation
chapuis-c,airliquide,L'Air liquide,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Air liquide,marocainegazcomprimes,name,4,annotation
d-audiffret-pasquier-d,minesanzin,Cie des mines d'Anzin,administrateur,1951,"AEC 1951, p. 103",afrique-du-nord-credit-algerien-84b469,Mines d'Anzin,creditalgerien,name,4,annotation
de-flers-f,banqueindochine,Banque de l’Indochine,administrateur,1945,Annuaire Desfossés 1945,afrique-equatoriale-cmoo-c877e4,Banque de l'Indochine,miniereoubanghioriental,name,4,annotation
desouches-b,unionminierefinancierecoloniale,Union minière et financière coloniale,administrateur,1928,"Les Annales coloniales, 14 décembre 1928",afrique-equatoriale-comm-sangha-oubangui-2b6ae7,UMFC,commercialesanghaoubangui,acronym,4,annotation
devies-m,creditfonciercolonial,Crédit foncier colonial,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Crédit foncier colonial,cheminsferindochineyunnan,name,4,annotation
gompel,parismaroc,« Paris-Maroc »,administrateur,1958,"Espalion, Ardèche, 1880-Paris, 1958",afrique-du-nord-aec-1922-maroc-ba808c,Paris- Maroc,omniummarocain,name,4,annotation
good-f,unionbancairenord,Union bancaire du Nord,administrateur,1951,Annuaire des entreprises coloniales,afrique-du-nord-aec-1951-maroc-0655fe,Union bancaire du Nord,banquefoncieremaroc,name,4,annotation
katz-m,parismaroc,« Paris-Maroc »,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Paris- Maroc,marocaineeclairageforcemotrice,name,4,annotation
laroze-p,creditlyonnais,Crédit lyonnais,administrateur,1938,Annuaire industriel 1938,inde-indochine-bq-indoch-1875-1945-f61f44,Crédit lyonnais,banqueindochine,name,4,annotation
laurent-j-jean,banqueindochine,Banque de l’Indochine,administrateur,1949,"J. O. R. F., 4 janvier 1949, p. 218",afrique-equatoriale-aec-1951-aef-cameroun-6d0821,Banque de l'Indochine,recherchesexploitationsdiamantiferes,name,4,annotation
o-quin-p,auxiliaireafricaine,Société Auxiliaire africaine,administrateur,1949,"J. O. R. F., 4 janvier 1949, p. 218",afrique-equatoriale-aec-1951-aef-cameroun-6d0821,Auxiliaire africaine,industrielleagricoletabaccolonial,name,4,annotation
peytel-a,creditalgerien,"Crédit algérien, puis Crédit privé",administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Crédit algérien,maroc,name,4,annotation
peytel-j,creditalgerien,"Crédit algérien, puis Crédit privé",administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Crédit algérien,maroc,name,4,annotation
plisson-e,chargeurs,Chargeurs français,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Chargeurs français,marocainecharbonsbriquettes,name,4,annotation
sicot-l,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie -Indochine,administrateur,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,BNCI,creditmarocain,acronym,4,annotation
thierry-a,unioncommercialeindochinoise,Union commerciale indo-chinoise,administrateur,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,l’Union commerciale indochinoise,3unioncommercialeindochinoise,name,4,annotation
triouleyre-l,tramwaysindochine,Compagnie française de tramways (Indochine),administrateur,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,Compagnie française des Tramways de l'Indo-Chine,fsetramwaysindochine,name,4,annotation
vigne-r,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,kaolack,name,4,annotation
agabriel-l,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1951,Annuaire des entreprises coloniales,inde-indochine-aec-1951-indochine-96799d,UIC,unionfinanciereextremeorient,acronym,3,annotation
aibert-gaisman,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1975,"Paris, 1874-Paris, 1975",afrique-occidentale-aec-1922-aof-togo-9cef7c,LUCIA,commercialeouestafricain,acronym,3,annotation
angelini-j,secretaire,secrétaire général de la Compagnie,administrateur,1938,"ANNUAIRE INDUSTRIEL, 1938",inde-indochine-ann-indus-1938-ic-ef7299,"secrétaire, puis administrateur des Mines d'Aïn-Arko",soccharbonnagesdongtrieu,name,3,annotation
ansault-j,banqueindochine,Banque de l’Indochine,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Banque de l'Indochine,alsaciennecoteivoire,name,3,annotation
ansault-j,foretsscieriesbienhoa,Forêts et scieries de Bienhoa,administrateur,1951,Annuaire des entreprises coloniales,antilles-guyane-aec-1951-guyane-37a4b1,Forêts et scieries de Biên-Hoà,forestiereguyane,name,3,annotation
auerbach-h,etudesnord,Société d'Études du Nord,administrateur,1925,"ANNUAIRE INDUSTRIEL, 1925",afrique-equatoriale-ann-indus-1925-aef-bf6791,Études du Nord…,boiscoloniaux,name,3,annotation
baudouin-p,banqueindochine,Banque de l’Indochine,administrateur,1934,"La Journée industrielle, 15 août 1934",empire-cie-miniere-coloniale-ad6095,Banque de l'Indochine,minierecoloniale,name,3,annotation
bayle-g,cotonnieretonkin,Cotonnière du Tonkin,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Cotonnière du Tonkin,scieriesfabriquesallumettesthanhhoa,name,3,annotation
