period,n_firms,n_paris_firms,share_paris_firms,n_edges,n_paris_edges,share_paris_edges,mean_degree_paris,mean_degree_other,degree_ratio
pre_1914,864,311,0.3600,3322,2109,0.6349,8.839,7.043,1.2550
1914_1929,1753,459,0.2618,11502,5916,0.5143,15.939,12.124,1.3147
1930_1944,1463,279,0.1907,8203,3342,0.4074,14.477,10.445,1.3860
1945_1962,887,170,0.1917,3969,1464,0.3689,10.071,8.683,1.1598
post_1962,265,32,0.1208,568,149,0.2623,5.062,4.180,1.2110
