from_company_id,to_company_id,from_name,to_name,n_references
mutuellefrancecolonieslyonnationviecapitalisationparis,mutuellefrancecolonies,"Mutuelle de France et des Colonies, Lyon. La Nation-Vie et Capitalisation à Paris",La Mutuelle de France et des Colonies,4
galeriesfrance,magasinsmodernesfilialecommunenouvellesgaleriesparisfrance,Galeries de France,"Magasins modernes, filiale commune des Nouvelles Galeries et de Paris-France",3
mutuellefrancecolonies,mutuellefrancecolonieslyonnationviecapitalisationparis,La Mutuelle de France et des Colonies,"Mutuelle de France et des Colonies, Lyon. La Nation-Vie et Capitalisation à Paris",3
collectiontitrescoloniauxsergevolper,afrique,Collection de titres coloniaux de Serge Volper,Compagnie Générale de l'Afrique française,3
magasinsmodernesfilialecommunenouvellesgaleriesparisfrance,galeriesfrance,"Magasins modernes, filiale commune des Nouvelles Galeries et de Paris-France",Galeries de France,3
fondaccitanphong,annuaireplanteurscaoutchoucindochine,"Fondacci, Tân-Phong",Annuaire des planteurs de caoutchouc de l'Indochine,3
jubinnhontay,annuaireplanteurscaoutchoucindochine,"Jubin, An-nhon-tây",Annuaire des planteurs de caoutchouc de l'Indochine,3
plantationalexandrebrizondongtac,annuaireplanteurscaoutchoucindochine,"Plantation Alexandre Brizon, Dong-tac",Annuaire des planteurs de caoutchouc de l'Indochine,3
plantationphutrung,annuaireplanteurscaoutchoucindochine,Plantation de Phu-trung,Annuaire des planteurs de caoutchouc de l'Indochine,3
plantationpretrebinhtho,annuaireplanteurscaoutchoucindochine,"Plantation Prêtre, Binh-Tho",Annuaire des planteurs de caoutchouc de l'Indochine,3
monnier,annuaireplanteurscaoutchoucindochine,Monnier,Annuaire des planteurs de caoutchouc de l'Indochine,3
brasseriesmaroc,brasseriesglacieresindochine,"Société des Brasseries du Maroc, puis Boissons du Maroc",Brasseries et glacières de l’Indochine,2
boiscoteivoire,kong,Compagnie des Bois de la Côte-d'Ivoire,Compagnie française de Kong,2
flersexportation,colonialefrancoafricaine,Flers-Exportation,Compagnie Coloniale Franco-Africaine,2
comptoirsfrancoafricains,afrique,Société générale des Comptoirs franco-africains,Compagnie Générale de l'Afrique française,2
magasinsgenerauxappontementsdahomey,wharfcotonou,Compagnie des Magasins généraux et appontements du Dahomey,Société française du Wharf de Cotonou,2
minieredahomey,banqueindochine,"Société Minière du Dahomey, puis du Dahomey-Niger",Banque de l’Indochine,2
africaineplantationsheveas,siph,Société africaine de plantations d'hévéas,SIPH,2
collectiontitrescoloniauxsergevolper,minierecongo,Collection de titres coloniaux de Serge Volper,Cie Minière du Congo français,2
messageriestransaeriennes,airunion,Compagnie des Messageries transaériennes,"Air Union, puis Air Orient",2
manufacturetapiscouvertures,sffc,Manufacture française de tapis et couvertures,SFFC,2
distilleriestonkinhaiduong,distilleriesindochine,"Société des Distilleries du Tonkin, Haiduong",Distilleries de l’Indochine,2
cochinchinoiseplantationsheveasmyhoa,annuaireplanteurscaoutchoucindochine,"Société Cochinchinoise de Plantations d'hévéas, My-Hoa",Annuaire des planteurs de caoutchouc de l'Indochine,2
editionsextremeasie,impartial,Éditions d’Extrême-Asie,L'Impartial,2
barthe,annuaireplanteurscaoutchoucindochine,Barthe,Annuaire des planteurs de caoutchouc de l'Indochine,2
carlos,banqueindochine,Carlos,Banque de l’Indochine,2
hotelfrance,collectionsindochinoisesoliviergaland,Hôtel de France,Collections indochinoises d'Olivier Galand,2
pharmaciesaigonnaise,annuaireplanteurscaoutchoucindochine,Pharmacie saïgonnaise,Annuaire des planteurs de caoutchouc de l'Indochine,2
pharmacienstourane,pharmaciecentraleindochine,Pharmaciens à Tourane,Pharmacie centrale de l'Indochine,2
cochinchineouplantationscaoutchouccochinchine,annuaireplanteurscaoutchoucindochine,Cochinchine ou Plantations de caoutchouc de Cochinchine,Annuaire des planteurs de caoutchouc de l'Indochine,2
plantationbuong,annuaireplanteurscaoutchoucindochine,Plantation du La-Buong,Annuaire des planteurs de caoutchouc de l'Indochine,2
plantationphutu,annuaireplanteurscaoutchoucindochine,Plantation de Phu-tu,Annuaire des planteurs de caoutchouc de l'Indochine,2
planteursreunis,annuaireplanteurscaoutchoucindochine,Planteurs réunis,Annuaire des planteurs de caoutchouc de l'Indochine,2
specialefinanciere,banqueindochine,La Société spéciale financière,Banque de l’Indochine,2
tanphong,annuaireplanteurscaoutchoucindochine,Tan-Phong,Annuaire des planteurs de caoutchouc de l'Indochine,2
tandjongmalimrubbercoutanjongmalimrubberc,financierecaoutchoucs,Tandjong Malim Rubber C° ou Tanjong Malim Rubber C°,Financière des Caoutchoucs,2
rochefortaiseproduitsalimentaires,exploitationviandemadagascar,Société Rochefortaise de produits alimentaires,Société Exploitation de la viande à Madagascar,2
abattoirsmunicipauxindustrielsmaroc,maroc,Société générale des Abattoirs municipaux et industriels au Maroc,Compagnie Générale du Maroc,1
abattoirsmunicipauxindustrielsmaroc,marocaine,Société générale des Abattoirs municipaux et industriels au Maroc,Compagnie marocaine,1
abattoirsmunicipauxindustrielsmaroc,parismarocholdingcherifiengustavegompel,Société générale des Abattoirs municipaux et industriels au Maroc,"Paris-Maroc, le holding chérifien de Gustave Gompel",1
abattoirsmunicipauxindustrielsmaroc,creditfoncierfrancomarocain,Société générale des Abattoirs municipaux et industriels au Maroc,Crédit foncier franco-marocain,1
abattoirsmunicipauxindustrielsmaroc,habitationsmaroc,Société générale des Abattoirs municipaux et industriels au Maroc,Société d'Habitations au Maroc,1
abattoirsmunicipauxindustrielsmaroc,frigorifiquemaroc,Société générale des Abattoirs municipaux et industriels au Maroc,Compagnie Frigorifique du Maroc,1
acconagealgerien,affreteursreunis,Compagnie d'Acconage algérien,Affréteurs réunis,1
acconagecharbonnagejullian,affreteursreunis,Société d'Acconage et de charbonnage Jullian,Affréteurs réunis,1
acconagecharbonnagejullian,vapeurs,Société d'Acconage et de charbonnage Jullian,Vapeurs français,1
acconagecharbonnagejullian,cargos,Société d'Acconage et de charbonnage Jullian,Cargos français,1
acconagecharbonnagejullian,colonialemines,Société d'Acconage et de charbonnage Jullian,Société Coloniale de mines,1
acconagecharbonnagejullian,phosphatesdyr,Société d'Acconage et de charbonnage Jullian,Compagnie des Phosphates du Dyr,1
acconagecharbonnagejullian,domainepotinville,Société d'Acconage et de charbonnage Jullian,Domaine de Potinville,1
acconageremorquagechschiaffino,algeriennenavigationafriquenordcharlesschiaffino,Société d'Acconage et de remorquage Ch. Schiaffino,"Société Algérienne de Navigation pour l'Afrique du Nord, Charles Schiaffino et Cie",1
africaineculturesindustrielles,collectiontitrescoloniauxsergevolper,Compagnie Africaine de cultures industrielles,Collection de titres coloniaux de Serge Volper,1
africaineculturesindustrielles,culturecotonniereniger,Compagnie Africaine de cultures industrielles,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",1
africaineindustrielleautomobile,collectiontitrescoloniauxpeterseidel,Société Africaine Industrielle et Automobile,Collection de titres coloniaux de Peter Seidel,1
africaineindustrielleautomobile,centralemarocaine,Société Africaine Industrielle et Automobile,Société Centrale marocaine,1
africaineliegealgerhusseindeyazazga,commercialeindustrielleliege,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",Cie Commerciale et Industrielle du Liège,1
africaineliegealgerhusseindeyazazga,liege,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",Société Française du Liège,1
africaineliegealgerhusseindeyazazga,liegesproduitsnordafricainsalgerusinebouchonsbone,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga","Lièges et produits nord-africains, Alger. Usine de bouchons à Bône",1
africaineliegealgerhusseindeyazazga,bouchonnerieinternationale,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",Bouchonnerie internationale,1
africaineliegealgerhusseindeyazazga,banquepriveeindustriellecommercialecolonialelyonmarseille,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga","Banque privée industrielle, commerciale et coloniale Lyon-Marseille",1
africainemines,mineslaurium,Société Africaine de Mines,Compagnie française des Mines du Laurium,1
africainemines,industrieminierealgerie,Société Africaine de Mines,L'industrie minière en Algérie,1
africainemines,vaulrycieux,Société Africaine de Mines,Vaulry et Cieux,1
africainemines,sidibouaouane,Société Africaine de Mines,Sidi-Bou-Aouane,1
africainemines,concessionnaireminesouenza,Société Africaine de Mines,Société Concessionnaire des mines d'Ouenza,1
africainemines,minescavallo,Société Africaine de Mines,Société des mines de Cavallo,1
africainemines,etudesouenza,Société Africaine de Mines,Société d'Études de l'Ouenza,1
africainemines,minesouastamesloula,Société Africaine de Mines,Compagnie des mines de Ouasta et de Mesloula,1
afriquecongo,distilleriesalgeriennes,Afrique et Congo,Société générale de Distilleries algériennes,1
afriquecongo,commercialemediterraneenne,Afrique et Congo,Société Commerciale Méditerranéenne,1
agricolecommercialeindustriellemarocaine,messageriesfluvialescongo,"Compagnie Agricole, Commerciale, Industrielle Marocaine",Messageries fluviales du Congo,1
agricolecommercialeindustriellemarocaine,holdingcoloniale,"Compagnie Agricole, Commerciale, Industrielle Marocaine",La Holding coloniale,1
agricolemaroc,cherifiennecolonisation,Société Agricole du Maroc,Compagnie Chérifienne de colonisation,1
agricolemaroc,etudesnord,Société Agricole du Maroc,Société d'Études du Nord,1
agricolemaroc,developpementcasablanca,Société Agricole du Maroc,Société Générale pour le Développement de Casablanca,1
agricolenordafricain,norteafricano,Société Agricole du Nord-Africain,Norte Africano,1
agricolenordafricain,comptoirminesgrandstravauxmaroc,Société Agricole du Nord-Africain,Comptoir des mines et des grands travaux du Maroc,1
agricolelyonnaisenordafrique,fermegazan,Société Agricole Lyonnaise du Nord de l'Afrique,Ferme de Gazan,1
agricoleoranaise,banquemutuelleetudes,Compagnie Agricole Oranaise,"Banque mutuelle d'études, puis Banque mutuelle d'études et de crédit",1
agricoleoranaise,manufacturetapiscouvertures,Compagnie Agricole Oranaise,Manufacture française de tapis et couvertures,1
agricoleoranaise,nosybeenneindustriesagricoles,Compagnie Agricole Oranaise,Compagnie Nosybéenne d’Industries agricoles,1
agricultureindustriemarocaines,cherifiennecolonisation,L’Agriculture et l’Industrie marocaines,Compagnie Chérifienne de colonisation,1
agricultureindustriemarocaines,foncierecasablanca,L’Agriculture et l’Industrie marocaines,Société Foncière de Casablanca,1
agricultureindustriemarocaines,developpementcasablanca,L’Agriculture et l’Industrie marocaines,Société Générale pour le Développement de Casablanca,1
marocainegazcomprimes,parismarocholdingcherifiengustavegompel,Société Marocaine de Gaz comprimés,"Paris-Maroc, le holding chérifien de Gustave Gompel",1
marocainegazcomprimes,airliquide,Société Marocaine de Gaz comprimés,L'Air liquide,1
marocainegazcomprimes,unionsyndicalefinanciere,Société Marocaine de Gaz comprimés,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",1
tunisiennegazcomprimes,airliquide,Société Tunisienne de Gaz comprimés,L'Air liquide,1
tunisiennegazcomprimes,algerienneglacehygieniqueentreposagefrigorifique,Société Tunisienne de Gaz comprimés,Compagnie Algérienne de glace hygiénique et d'entreposage frigorifique,1
tunisiennegazcomprimes,unionsyndicalefinanciere,Société Tunisienne de Gaz comprimés,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",1
akkaresbelezma,collectiontitrescoloniauxsergevolper,"Société d'Akkarès, Belezma",Collection de titres coloniaux de Serge Volper,1
ateliersreparationsmaritimesafriquenord,ateliersterrinafriquenord,Ateliers de réparations maritimes de l'Afrique du Nord,Ateliers Terrin de l'Afrique du Nord,1
alfa,madagaskara,L'Alfa,Madagaskara,1
alfasfermentation,etsbertagna,Alfas de fermentation,Éts Bertagna,1
alfasfermentation,phosphatestunisiens,Alfas de fermentation,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",1
alfasfermentation,omniumminesalgerietunisie,Alfas de fermentation,Omnium Société générale de mines d'Algérie-Tunisie,1
alfastunisiens,collectiontitrescoloniauxsergevolper,Compagnie Générale des Alfas tunisiens,Collection de titres coloniaux de Serge Volper,1
algeriennematerielagricole,algerienneconstructionoutillagemachineagricole,Société Algérienne de Matériel agricole,Société algérienne de Construction d'outillage et machine agricole,1
algeriennematerielagricole,huileriessavonneriesalgeriennes,Société Algérienne de Matériel agricole,"Huileries et savonneries algériennes, puis Huilerie et savonnerie de Kabylie, Mirabeau",1
algeriennematerielagricole,delacroixfils,Société Algérienne de Matériel agricole,Delacroix et fils,1
algeriennematerielagricole,collectiontitrescoloniauxsergevolper,Société Algérienne de Matériel agricole,Collection de titres coloniaux de Serge Volper,1
algeriennematerielagricole,vinsmidialgeriebezierssete,Société Algérienne de Matériel agricole,"Cie générale des Vins du Midi et d'Algérie, Béziers, Sète",1
algeriennechauxcimentsusinepointepescade,parismarocholdingcherifiengustavegompel,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade","Paris-Maroc, le holding chérifien de Gustave Gompel",1
algeriennechauxcimentsusinepointepescade,candlot,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",Candlot,1
