person_id,annotation_raw,candidate_company_id,candidate_company_name,match_method,from_company_id,year,source_ref,doc_id,n_observations
froment-guieysse-g,BCEEM,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,acronym,algeriennemateriauxconstruction,1928,"Le Mercure africain, 25 août 1928",afrique-du-nord-algerienne-materiaux-construction-2a3096,15
level-e,Docks et entrepôts de Marseille,docksentrepotsmarseille,Docks et entrepôts de Marseille,name,docksentrepotsmarseille,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,14
de-caqueray-g,Cie marocaine,marocaine,Compagnie marocaine,name,abattoirsmunicipauxmaroc,1922,"AEC 1922, p. 519",afrique-du-nord-abattoirs-industriels-maroc-9a3243,12
rebuffel-c,GTM,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,acronym,marocainedistributioneaugazelectricite,1923,"Marseille, 1923",afrique-du-nord-aec-1922-maroc-ba808c,12
griolet-h,Compagnie du Chemin de fer du Nord,cheminfernord,Cie du chemin de fer du Nord,name,cheminfernord,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,12
level-j,l'Aluminium français,aluminium,L'Aluminium français,name,aluminium,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,12
pacquement-a,Comptoir Lyon-Alemand,comptoirlyonalemand,Comptoir Lyon-Alemand S.A,name,comptoirlyonalemand,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,12
pacquement-a,Mines de Douaria,minesdouaria,Société des mines de Douaria,name,minesdouaria,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,12
boucard-m,Cie marocaine,marocaine,Compagnie marocaine,name,cheminsfermaroc,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,8
weber-j,CFSO,forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,acronym,boiscoloniaux,1922,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc,8
pinci-m,CMOO,miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,acronym,diamantifereauriferehautesangha,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,8
boissonnas-j,Banque de Syrie,banquesyrie,Banque française de Syrie,name,banquesyrie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
boissonnas-j,Banque impériale ottomane,banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",name,banqueimperialeottomane,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
devise-f,l’Omnium lyonnais,omniumlyonnais,Omnium lyonnais,name,omniumlyonnais,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
level-e,Banque nationale de crédit,banquenationalecredit,de la Banque nationale de crédit,name,banquenationalecredit,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
level-e,Société financière de l’armement,financierearmement,Société financière de l'Armement,name,financierearmement,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
level-e,Société maritime nationale,maritimenationale,Société maritime nationale,name,maritimenationale,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
messimy-a,Compagnie générale des colonies,colonies,Compagnie Générale des colonies,name,colonies,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
oudot-e,Banque franco-polonaise,banquefrancopolonaise,Banque franco-polonaise,name,banquefrancopolonaise,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
oudot-e,Caisse de liquidation des affaires en marchandises à Paris,caisseliquidationaffairesmarchandisesparis,Caisse de liquidation des affaires en marchandises à Paris,name,caisseliquidationaffairesmarchandisesparis,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
oudot-e,Banque de Madagascar et des Comores,banquemadagascarcomores,Banque de Madagascar et des Comores,name,banquemadagascarcomores,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
oudot-e,Banque de l’Algérie,banquealgerie,BANQUE DE L'ALGERIE,name,banquealgerie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
roudy-a,Fonderies et ateliers de Tunisie,fonderiesatelierstunisie,Fonderies et ateliers de Tunisie,name,fonderiesatelierstunisie,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
roudy-a,Tunisienne Automobile,tunisienneautomobile,La Tunisienne Automobile,name,tunisienneautomobile,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
roudy-a,Construction africaine,constructionafricaine,La Construction africaine,name,constructionafricaine,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,8
cazalet-e,Marseillaise de crédit,marseillaisecredit,Marseillaise de crédit,name,maroc,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,7
sicot-l,BNCI-A,banquenationalecommerceindustrie,Banque nationale pour le commerce et l'industrie,acronym,banquenationalecommerceindustrie,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,7
pose-a,BNCI,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie -Indochine,acronym,creditmarocain,1952,"Vie financière ???, 4 septembre 1952",afrique-du-nord-aec-1951-maroc-0655fe,7
joubert-j,SIFA,immobilierefinanciereafricaine,Société Immobilière et financière africaine,acronym,forestieresanghaoubangui,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,7
bordet,Compagnie des phosphates du Dyr,phosphatesdyr,Compagnie des Phosphates du Dyr,name,phosphatesdyr,,Compagnie des Chemins de fer de l'Ouest-Algérien,afrique-du-nord-chemins-fer-ouest-algerien-473f02,7
bordet,Compagnie des forges de Châtillon,forgeschatillon,Cie des Forges de Châtillon,name,forgeschatillon,,Compagnie des Chemins de fer de l'Ouest-Algérien,afrique-du-nord-chemins-fer-ouest-algerien-473f02,7
bordet,Chemins de fer de l'Ouest-Algérien,cheminsferouestalgerien,Compagnie des Chemins de fer de l'Ouest-Algérien,name,cheminsferouestalgerien,,Compagnie des Chemins de fer de l'Ouest-Algérien,afrique-du-nord-chemins-fer-ouest-algerien-473f02,7
bordet,Mines de fer de Giraumont,minesfergiraumont,Mines de fer de Giraumont,name,minesfergiraumont,,Compagnie des Chemins de fer de l'Ouest-Algérien,afrique-du-nord-chemins-fer-ouest-algerien-473f02,7
mirabaud-a,Société des Glacières de Paris,glacieresparis,Glacières de Paris,name,glacieresparis,,Compagnie algérienne,afrique-du-nord-compagnie-algerienne-9cd828,7
