company_id,name,city,lat,lon,city_territory,group,source_field,place_raw
banqueindochine,Banque de l’Indochine,Pnom-Penh,11.562,104.916,Indochine,empire,place_listed,Pnom-Penh
tramways,Compagnie Générale Française de Tramways,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
transportsmaritimesvapeur,Société générale de transports maritimes à vapeur,Marseille,43.296,5.37,France,metropole,place_listed,Marseille
creditfonciercolonial,Crédit foncier colonial,,,,,,,
unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,,,,,,,
cheminsfermaroc,Compagnie des Chemins de fer du Maroc,,,,,,,
mineslaurium,Compagnie française des Mines du Laurium,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
cheminferfrancoethiopiendjiboutiaddisabeba,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 21 bis"
creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,,,,,,,
colonies,Compagnie Générale des colonies,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 282"
banqueetatmaroc,Banque d'État du Maroc,Tanger,35.759,-5.834,Maroc,empire,head_office_observed,TANGER
banquetransatlantique,Banque transatlantique,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 10"
banquealgerie,BANQUE DE L'ALGERIE,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 217"
algerienne,Compagnie algérienne,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 50"
cheminsferouestalgerien,Compagnie des Chemins de fer de l'Ouest-Algérien,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
banqueafriqueoccidentale,Banque de l'Afrique occidentale,Dakar,14.716,-17.467,Sénégal,empire,place_listed,Dakar
forgesacieriesnordest,Forges et aciéries du Nord et de l'Est,,,,,,,
messageriesmaritimes,Société des Messageries maritimes,Paris,48.857,2.352,France,metropole,head_office_observed,principal à Paris
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,,,,,,,
nickel,Société Le Nickel,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
creditalgerien,"Crédit algérien, puis Crédit privé",Paris,48.857,2.352,France,metropole,head_office_observed,"PARIS, 10"
maroc,Compagnie du Maroc,Tanger,35.759,-5.834,Maroc,empire,place_listed,Tanger
credit,Crédit français,Paris,48.857,2.352,France,metropole,place_listed,Paris
aguilas,Compagnie d'Aguilas,Paris,48.857,2.352,France,metropole,head_office_observed,PARIS : 39
creditfoncieregyptien,Crédit foncier égyptien,Le Caire,30.044,31.236,Égypte,foreign,place_listed,Le Caire
phosphatesoceanie,Compagnie française des Phosphates de l'Océanie,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
unionmines,Union des mines,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
cheminferdakarsaintlouis,Compagnie du Chemin de fer de Dakar à Saint-Louis,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 19"
portfedhala,Compagnie du Port de Fedhala,Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,"rte de Rabat, Aïn-Mazi-Casablanca"
banqueindustrielleafriquenord,Banque industrielle de l'Afrique du Nord,Paris,48.857,2.352,France,metropole,place_listed,Paris
industriellefonciere,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",Paris,48.857,2.352,France,metropole,place_listed,Paris
moulinsmaghreb,Société des Moulins du Maghreb,,,,,,,
chargeursreunis,Chargeurs réunis,,,,,,,
banquecommercialemaroc,Banque commerciale du Maroc,,,,,,,
commercialeouestafricain,Société Commerciale de l'Ouest-Africain,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
energieelectriquemaroc,Énergie électrique du Maroc,Paris,48.857,2.352,France,metropole,head_office_observed,"PARIS, 280"
tramwaysalgeriens,Société des Tramways algériens,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 173"
distilleriesindochine,Distilleries de l’Indochine,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 53"
financierecaoutchoucs,Financière des Caoutchoucs,Bruxelles,50.851,4.352,Belgique,foreign,head_office_observed,"Bruxelles, 52"
indochinoiseculturestropicales,Société Indochinoise des Cultures tropicales,,,,,,,
navigationsudatlantique,Compagnie de Navigation Sud-Atlantique,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
francoespagnolecheminfertangerfez,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,Meknès,33.895,-5.555,Maroc,empire,head_office_observed,MEKNÈS
indochinoiseelectricite,Société Indochinoise d'électricité,,,,,,,
sucreriescoloniales,Sucreries coloniales,,,,,,,
banquecommercialeafricaine,Banque commerciale africaine,,,,,,,
caoutchoucspadang,Compagnie des Caoutchoucs de Padang,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 13"
afrique,L'Afrique française,Alger,36.753,3.06,Algérie,empire,place_listed,Alger
cheminsferroutesalgerie,Société des Chemins de fer sur routes d'Algérie,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,,,,,,,
unionindustriellecredit,Union industrielle de crédit,Paris,48.857,2.352,France,metropole,head_office_observed,Paris : … Union industrielle de crédit
mozambique,Compagnie de Mozambique,Lisbonne,38.722,-9.139,Portugal,foreign,head_office_observed,"Beira (Afrique Orientale). Administration : Lisbonne (Portugal), 10, Largo da Bi"
creditfoncierindochine,Crédit foncier de l’Indochine,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
minesproduitschimiques,Société de Mines et de produits chimiques,Paris,48.857,2.352,France,metropole,place_listed,Paris
cheminferboneguelmaprolongements,Compagnie du Chemin de fer de Bône à Guelma et prolongements,,,,,,,
miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,,,,,,,
ouenza,Société de l'Ouenza,,,,,,,
gafsa,Gafsa,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 60"
djebeldjerissa,Société du Djebel-Djerissa,,,,,,,
etudesentreprisescoloniales,Compagnie française d'Études et entreprises coloniales,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
creditfonciermadagascar,Crédit foncier de Madagascar,,,,,,,
messageriesafricaines,Messageries africaines,,,,,,,
creditmarocain,Crédit marocain,Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,"Casablanca, 27"
chauxcimentsmateriauxconstructionmaroc,"Chaux, ciments et matériaux de construction au Maroc",Casablanca,33.573,-7.59,Maroc,empire,head_office_observed,est à Casablanca
francowyomingoilcy,Franco-Wyoming Oil Cy,,,,,,,
banquetunisie,Banque de Tunisie,,,,,,,
pyreneenneenergieelectrique,Société Pyrénéenne d'Énergie électrique,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 14"
banqueindustriellechine,La Banque industrielle de Chine,,,,,,,
franconeerlandaiseculturecommerce,Société Franco-néerlandaise de culture et de commerce,La Haye,52.078,4.31,Pays-Bas,foreign,head_office_observed,La Haye. Bureau à Paris : 23
heraclee,Société d'Héraclée,Constantinople,41.008,28.978,Empire ottoman/Turquie,foreign,head_office_observed,Istanbul
forestieresanghaoubangui,Compagnie Forestière Sangha-Oubangui,,,,,,,
agricolesucrierenossibe,Compagnie Agricole et Sucrière de Nossi-Bé,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 24"
etainskinta,Société des Étains de Kinta,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 62"
cheminferdamashamahprolongements,Chemin de fer Damas-Hamah et prolongements,Paris,48.857,2.352,France,metropole,head_office_observed,"63, av. de Villiers, Paris"
decauvilleaineetablissements,"Decauville aîné, Société, Société nouvelle des Établissements)",,,,,,,
associationminiere,Association minière,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
africaine,L'Africaine,,,,,,,
banquefrancochinoisecommerceindustrie,Banque franco-chinoise pour le commerce et l'industrie,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, no 74"
canalcorinthe,Nouvelle Société du canal de Corinthe,,,,,,,
culturecotonniereniger,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",,,,,,,
kouango,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",,,,,,,
minesbouarfa,Société des Mines de Bou-Arfa,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 101"
etablissementsmaurelprom,Établissements Maurel et Prom,Bordeaux,44.838,-0.579,France,metropole,head_office_observed,"Bordeaux, 19"
cheminsferestalgerien,Compagnie des Chemins de fer de l'Est-Algérien,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 31, r. Pasquier"
commercialeindustrielleagricolehautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",,,,,,,
bonmarche,Au Bon Marché,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
cheminsferindochineyunnan,Compagnie française des Chemins de fer de l'Indochine et du Yunnan,Paris,48.857,2.352,France,metropole,head_office_observed,de la Compagnie à Paris
salinssinesaloum,Salins du Sine Saloum,Kaolack,14.152,-16.073,Sénégal,empire,head_office_observed,KAOLACK (Sénégal)
metallurgiqueminierefrancomarocaine,Compagnie Métallurgique et minière franco-marocaine,Paris,48.857,2.352,France,metropole,head_office_observed,"55, r. de Châteaudun, Paris, 9e. T. Trinité 30-65 Ad. t. Franroc-Paris. Soc. an."
industrielleplatine,Cie industrielle du platine,Paris,48.857,2.352,France,metropole,head_office_observed,de Paris. Ce n'est qu'au début d'avril qu'on pourra avoir une idée un peu
marocaine,Compagnie marocaine,,,,,,,
afriquecongo,Afrique et Congo,,,,,,,
tabacs,Compagnie Générale des Tabacs,Paris,48.857,2.352,France,metropole,place_listed,Paris
creditfoncierorient,Crédit foncier d'Orient,Paris,48.857,2.352,France,metropole,place_listed,Paris
unionfonciereegypte,Union foncière d'Égypte,Alexandrie,31.2,29.918,Égypte,foreign,head_office_observed,"À Alexandrie. Représentant à Paris, Société marseillaise de crédit"
culturesdiakandape,Cultures de Diakandapé,Kayes,14.446,-11.444,Soudan français,empire,place_listed,Kayes
plantationspalmeraiesogooue,Cie générale des Plantations et palmeraies de l'Ogooué,,,,,,,
electroentreprise,L'Électro-Entreprise,Paris,48.857,2.352,France,metropole,place_listed,Paris
ghmumm,G.-H. Mumm,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 63"
cheminsfergarantiscoloniesfrancaises,Cie des Chemins de fer garantis des colonies françaises,,,,,,,
cimentsportlandartificielsindochine,Ciments Portland artificiels de l'Indochine,Haïphong,20.865,106.684,Indochine,empire,place_listed,Haïphong
agricoleindustriellemadagascar,Compagnie Agricole et Industrielle de Madagascar,Marseille,43.296,5.37,France,metropole,head_office_observed,"Marseille, 49"
manutentionmarocaine,La Manutention marocaine,Casablanca,33.573,-7.59,Maroc,empire,place_listed,Casablanca
unionfinanciereextremeorient,Union financière d'Extrême-Orient,Djibouti,11.588,43.145,Djibouti,empire,head_office_observed,Djibouti permettait de mieux
occidentalemadagascar,Compagnie Occidentale de Madagascar,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 94"
minesfalemegambie,Compagnie des Mines de Falémé-Gambie,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
chargeursextremeorient,Chargeurs d'Extrême-Orient,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
equatorialemines,Compagnie Équatoriale de mines,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
constructionafricaine,La Construction africaine,,,,,,,
brasseriesmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",Casablanca,33.573,-7.59,Maroc,empire,place_listed,Casablanca
constructions,CONSTRUCTIONS,,,,,,,
omniumnordafricain,Omnium nord-africain,,,,,,,
industrielleagricolepointepitre,Société Industrielle et Agricole de La Pointe-à-Pitre,Paris,48.857,2.352,France,metropole,head_office_observed,Paris
exploitationsforestieresafricaines,Compagnie Exploitations forestières africaines,Paris,48.857,2.352,France,metropole,head_office_observed,"Paris, 46"
rizeriesextremeorient,Rizeries d'Extrême-Orient,Cholon,10.75,106.65,Indochine,empire,place_listed,Cholon
saintelie,Saint-Élie,Paris,48.857,2.352,France,metropole,head_office_observed,"à Paris, 11"
