territory,n_firms,n_connected,share_connected,n_tier_4,n_tier_3,n_tier_2,n_tier_1,n_tier_0,n_sitting,n_former,n_indirect_only,mean_share_connected
(unlabelled),1912,417,0.2181,142,188,71,16,1495,406,76,1177,0.0403
Indochine,1072,460,0.4291,220,82,125,33,612,443,181,405,0.1287
Maroc,795,254,0.3195,81,89,72,12,541,243,59,420,0.0501
Algérie,733,302,0.4120,110,108,40,44,431,289,81,325,0.0820
Afrique occidentale française,550,261,0.4745,122,77,48,14,289,255,83,249,0.0717
Afrique équatoriale française,298,109,0.3658,44,38,25,2,189,104,28,153,0.0619
Madagascar,220,73,0.3318,27,23,17,6,147,66,24,117,0.0660
Tunisie,177,61,0.3446,18,22,19,2,116,58,17,94,0.0678
Côte d'Ivoire,74,26,0.3514,11,5,8,2,48,25,5,36,0.0973
Nouvelle-Calédonie (Mélanésie),67,26,0.3881,12,11,3,0,41,25,7,27,0.0872
Guyane française,49,19,0.3878,12,1,2,4,30,18,3,25,0.0748
Syrie-Liban,49,25,0.5102,13,4,8,0,24,24,8,21,0.1517
Empire ottoman/Turquie,44,27,0.6136,7,12,8,0,17,27,10,13,0.1440
Guadeloupe et Martinique,37,8,0.2162,2,1,5,0,29,6,3,24,0.0532
Congo-Brazzaville ou Moyen-Congo,34,11,0.3235,6,3,2,0,23,11,3,19,0.0745
Sénégal,33,12,0.3636,4,3,3,2,21,11,4,16,0.0707
Gabon,32,16,0.5000,3,2,10,1,16,16,2,16,0.1815
Guinée Conakry,24,7,0.2917,1,4,2,0,17,7,1,13,0.0963
Djibouti,23,11,0.4783,4,3,4,0,12,11,3,8,0.0682
Java et Sumatra (Indes néerlandaises),21,5,0.2381,3,0,0,2,16,5,0,15,0.0277
"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",21,10,0.4762,1,2,5,2,11,9,2,9,0.1148
Chine,18,17,0.9444,13,3,1,0,1,16,11,1,0.1694
Tahiti (Polynésie),17,13,0.7647,7,2,3,1,4,12,8,2,0.1370
La Réunion,15,11,0.7333,5,5,1,0,4,11,3,4,0.1598
Cameroun,11,5,0.4545,1,2,2,0,6,5,1,6,0.0799
Dahomey (Bénin),11,5,0.4545,2,0,3,0,6,3,2,4,0.0571
Brésil,10,2,0.2000,0,2,0,0,8,2,0,8,0.0481
Malaisie,10,2,0.2000,0,1,1,0,8,2,0,7,0.0230
Macédoine,9,4,0.4444,0,2,1,1,5,4,0,4,0.0407
Oubangui-Chari (Centrafrique),8,2,0.2500,1,1,0,0,6,2,1,4,0.1538
Nouvelles-Hébrides (Mélanésie),8,5,0.6250,2,1,2,0,3,4,2,3,0.2269
Abyssinie ou Ethiopie,7,6,0.8571,1,4,1,0,1,6,1,1,0.3740
Grèce,7,3,0.4286,2,1,0,0,4,3,1,4,0.0536
Comores,6,6,1.0000,3,1,1,1,0,5,5,0,0.2639
Égypte,5,3,0.6000,1,2,0,0,2,3,0,2,0.0367
Venezuela,4,4,1.0000,0,3,1,0,0,4,2,0,0.2171
Inde (Comptoirs français de l’),4,1,0.2500,0,1,0,0,3,1,0,1,0.0278
Bulgarie,4,2,0.5000,0,0,2,0,2,2,0,2,0.0597
Terres australes et antartiques françaises,4,0,0.0000,0,0,0,0,4,0,0,4,0.0000
Siam (Thaïlande),4,1,0.2500,0,0,1,0,3,1,0,3,0.0357
Togo,3,1,0.3333,0,1,0,0,2,1,0,1,0.0667
Mauritanie,3,1,0.3333,1,0,0,0,2,1,0,2,0.1111
Saint-Pierre et Miquelon,3,0,0.0000,0,0,0,0,3,0,0,2,0.0000
Serbie-Yougoslavie,3,2,0.6667,0,0,2,0,1,2,0,1,0.3571
Angola,2,1,0.5000,0,0,1,0,1,1,1,1,0.0278
Albanie,2,1,0.5000,0,0,1,0,1,1,0,1,0.0476
Bolivie,2,1,0.5000,1,0,0,0,1,1,1,1,0.0250
Chili,2,1,0.5000,0,1,0,0,1,1,1,1,0.0500
Mozambique,2,1,0.5000,0,1,0,0,1,1,0,1,0.0128
Russie,1,1,1.0000,1,0,0,0,0,1,1,0,0.0455
Géorgie,1,1,1.0000,0,1,0,0,0,1,0,0,0.0952
Yémen,1,0,0.0000,0,0,0,0,1,0,0,0,0.0000
Congo-Kinshasa,1,0,0.0000,0,0,0,0,1,0,0,1,0.0000
Guinée équatoriale,1,0,0.0000,0,0,0,0,1,0,0,0,0.0000
