territory,n_board_members,n_colonial,n_native,n_intermediate,n_local_non_french_elite,n_unclassified,share_native,share_non_european,n_board_ties_native
Empire (transversal),4908,4400,7,1,1,499,0.0014,0.0018,8
Maroc,4568,3996,50,11,0,511,0.0109,0.0134,65
Indochine,3503,2981,39,2,0,481,0.0111,0.0117,61
Algérie,3044,2717,7,2,0,318,0.0023,0.003,9
Afrique occidentale française,2163,1917,3,0,1,242,0.0014,0.0018,5
Afrique équatoriale française,1495,1343,0,0,0,152,0.0,0.0,0
Madagascar,1398,1227,1,3,0,167,0.0007,0.0029,2
Tunisie,1275,1139,3,5,0,128,0.0024,0.0063,5
Côte d'Ivoire,638,541,0,0,1,96,0.0,0.0016,0
Sénégal,592,507,2,0,0,83,0.0034,0.0034,2
Syrie-Liban,434,376,6,0,4,48,0.0138,0.023,13
Congo-Brazzaville ou Moyen-Congo,404,370,0,0,1,33,0.0,0.0025,0
Nouvelle-Calédonie (Mélanésie),381,358,0,0,0,23,0.0,0.0,0
Gabon,348,311,0,0,0,37,0.0,0.0,0
Empire ottoman/Turquie,314,266,0,0,11,37,0.0,0.035,0
Guyane française,276,252,0,0,0,24,0.0,0.0,0
Égypte,223,179,1,0,27,16,0.0045,0.1256,1
Guinée Conakry,220,187,0,0,0,33,0.0,0.0,0
"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",213,190,0,0,0,23,0.0,0.0,0
Guadeloupe et Martinique,191,175,0,0,0,16,0.0,0.0,0
Djibouti,189,152,2,0,0,35,0.0106,0.0106,3
Cameroun,173,154,0,0,0,19,0.0,0.0,0
Java et Sumatra (Indes néerlandaises),169,150,0,0,0,19,0.0,0.0,0
Chine,168,144,0,0,0,24,0.0,0.0,0
Tahiti (Polynésie),158,142,0,0,0,16,0.0,0.0,0
Oubangui-Chari (Centrafrique),155,136,0,0,0,19,0.0,0.0,0
La Réunion,141,122,0,0,0,19,0.0,0.0,0
Malaisie,132,120,0,0,0,12,0.0,0.0,0
Dahomey (Bénin),118,106,0,0,0,12,0.0,0.0,0
Nouvelles-Hébrides (Mélanésie),95,87,1,0,0,7,0.0105,0.0105,1
Macédoine,79,71,0,2,0,6,0.0,0.0253,0
Grèce,78,77,0,0,0,1,0.0,0.0,0
Mozambique,70,67,0,0,0,3,0.0,0.0,0
Brésil,54,47,0,0,0,7,0.0,0.0,0
Angola,42,41,0,0,0,1,0.0,0.0,0
Comores,40,39,0,0,0,1,0.0,0.0,0
Abyssinie ou Ethiopie,36,30,0,0,0,6,0.0,0.0,0
Togo,29,26,0,0,0,3,0.0,0.0,0
Bulgarie,29,26,0,0,0,3,0.0,0.0,0
Pérou,28,22,0,0,0,6,0.0,0.0,0
Venezuela,26,25,0,0,0,1,0.0,0.0,0
Guyane hollandaise (Suriname),25,24,0,0,0,1,0.0,0.0,0
Chili,24,23,0,0,0,1,0.0,0.0,0
Saint-Pierre et Miquelon,22,21,0,0,0,1,0.0,0.0,0
Siam (Thaïlande),22,20,0,0,0,2,0.0,0.0,0
Terres australes et antartiques françaises,20,18,0,0,0,2,0.0,0.0,0
Serbie-Yougoslavie,19,12,0,0,0,7,0.0,0.0,0
Inde (Comptoirs français de l’),17,15,0,0,0,2,0.0,0.0,0
Albanie,16,12,0,0,0,4,0.0,0.0,0
Russie,16,14,0,0,0,2,0.0,0.0,0
Mauritanie,12,10,0,0,0,2,0.0,0.0,0
Bolivie,11,11,0,0,0,0,0.0,0.0,0
Nigéria,9,9,0,0,0,0,0.0,0.0,0
Tchad,8,7,0,0,0,1,0.0,0.0,0
Géorgie,5,4,0,0,0,1,0.0,0.0,0
