source,target,source_name,target_name,weight,shared_companies,source_chamber,target_chamber,same_chamber,mandates_overlap
de-wendel-f,wendel-f,FRANÇOIS DE WENDEL,François Wendel,5,"Compagnie Fermière des Étains d'Extrême-Orient; Métallurgique de Knutange; Société des Étains du Cammon; Société marocaine des Éts J.-J. Carnaud et Forges de Basse-Indre; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies; Senate,Chamber of Deputies,0,1
ballande-a,loste-h,André Ballande,Henry Loste,4,Ballande et fils; CHALANDAGE; Calédonia; Établissements Ballande,Chamber of Deputies,Senate,0,0
bardoux-j,de-wendel-f,Jacques-Achille Bardoux,FRANÇOIS DE WENDEL,4,"Compagnie Fermière des Étains d'Extrême-Orient; Société des Mines de l'Issougri; Société des Étains du Cammon; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,0
bardoux-j,wendel-f,Jacques-Achille Bardoux,François Wendel,3,"Compagnie Fermière des Étains d'Extrême-Orient; Société des Étains du Cammon; Étains et wolfram du Tonkin, puis Compagnie immobilière et financière Ewoto",Chamber of Deputies; Senate,Chamber of Deputies,0,0
berthelot-a,chautard-p,André Berthelot,Paul Chautard,3,"La Banque industrielle de Chine; Les poursuites contre les dirigeants de la Banque industrielle de Chine; Union française de fabriques d'engrais, de produits chimiques et de superphosphates, puis Union française d'engrais et de produits chimiques",Chamber of Deputies; Senate,Chamber of Deputies,0,
borgeaud-h,deyron-l,Henri Borgeaud,Léon Deyron,3,"Compagnie des Phosphates de Constantine; Domaine Saint-Charles, Boufarik; Domaine du Chapeau de Gendarme",Senate,Chamber of Deputies,0,
bouilloux-lafont-m-marcel,petit-c,Maurice Bouilloux-Lafont,Claude Petit,3,Banque française du Maroc; Crédit foncier marocain; Crédit franco-marocain du commerce extérieur,Chamber of Deputies,Chamber of Deputies,1,
bouilloux-lafont-m-marcel,reille-a,Maurice Bouilloux-Lafont,Amédée Reille,3,Caisse commerciale et industrielle de Paris; Compagnie Générale des Tabacs; Crédit français,Chamber of Deputies,Chamber of Deputies,1,1
chailley-j,vincent-a,Joseph Chailley,Adolphe Vincent,3,Charbonnages du Dông-Triêu; Société des mines de Douaria; Société des mines de zinc d'Aïn-Arko,Chamber of Deputies,Chamber of Deputies,1,
guy-de-wendel,wendel-g,Guy de Wendel,Guy Wendel,3,Charbonnages de Beeringen; Compagnie Métallurgique et minière franco-marocaine; Compagnie française de réassurances générales,Chamber of Deputies,Chamber of Deputies,1,1
