person_id,company_id,n_observations,first_year,last_year,top_role,roles,is_board_seat
bacum-m,1911djebelhallouf,1,1912,1912,president,president:1,1
bourdillon-l,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
bueche,1911djebelhallouf,1,1912,1912,administrateur,administrateur:1,1
dalbouze,1911djebelhallouf,1,1912,1912,administrateur,administrateur:1,1
favier-p,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
gittens-w,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
le-febvre,1911djebelhallouf,1,1912,1912,administrateur,administrateur:1,1
maliges-a,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
mayer-bacum,1911djebelhallouf,1,1912,1912,president,president:1,1
mf-p,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
michenot-e,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
piga-l,1911djebelhallouf,1,1912,1912,administrateur,administrateur:1,1
ravasini-g,1911djebelhallouf,1,1912,1912,administrateur,administrateur:1,1
zafiropulo-g,1911djebelhallouf,1,1922,1922,administrateur,administrateur:1,1
baptiste,1913colonisationannamtonkin,1,1914,1914,administrateur,administrateur:1,1
soler,1913colonisationannamtonkin,1,1914,1914,administrateur,administrateur:1,1
vidal,1913colonisationannamtonkin,1,1914,1914,gerant,gerant:1,0
blay-h,1918domainesbenislimantablat,1,1922,1922,administrateur,administrateur:1,1
borgeaud-h,1918domainesbenislimantablat,1,1926,1926,administrateur,administrateur:1,1
borgeaud-l,1918domainesbenislimantablat,3,1922,1926,administrateur,administrateur:3,1
chevallier-j,1918domainesbenislimantablat,1,1924,1924,administrateur,administrateur:1,1
dome-m,1918domainesbenislimantablat,1,1924,1924,administrateur,administrateur:1,1
furgier-h,1918domainesbenislimantablat,3,1922,1926,administrateur,administrateur:3,1
giraud-e,1918domainesbenislimantablat,3,1922,1926,administrateur,administrateur:3,1
jourdan-l,1918domainesbenislimantablat,2,1924,1926,administrateur,administrateur:2,1
narbonne-j,1918domainesbenislimantablat,1,1926,1926,administrateur,administrateur:1,1
thirion-a,1918domainesbenislimantablat,2,1922,1924,administrateur,administrateur:2,1
grande-rue-de-monplaisir,1923clovistreboz,1,1926,1926,administrateur,administrateur:1,1
lombardet-c,1923clovistreboz,1,1923,1923,administrateur,administrateur:1,1
sarrey-a,1923clovistreboz,1,1923,1923,administrateur,administrateur:1,1
treboz-c,1923clovistreboz,2,1923,1926,administrateur,administrateur:2,1
viennois-f,1923clovistreboz,2,1923,1926,administrateur,administrateur:2,1
baclot-h,1929,2,1928,1947,administrateur,administrateur:1; directeur:1,1
clermont,1929,1,1932,1932,administrateur,administrateur:1,1
defaye-a,1929,2,1936,1947,directeur_general,directeur_general:2,0
geesing-h,1929,1,1947,1947,administrateur,administrateur:1,1
geesing-o,1929,1,1936,1936,administrateur,administrateur:1,1
import-van-triplex-en-harde-houtsoorten,1929,1,1936,1936,administrateur,administrateur:1,1
kuipers-a,1929,1,1936,1936,administrateur,administrateur:1,1
tricart-p,1929,2,1936,1947,president,president:2,1
van-den-bosch,1929,1,1947,1947,administrateur,administrateur:1,1
anthoine-a,3unioncommercialeindochinoise,1,,,commissaire_aux_comptes,commissaire_aux_comptes:1,0
de-la-brosse-e,3unioncommercialeindochinoise,1,,,administrateur,administrateur:1,1
de-la-chaise-m,3unioncommercialeindochinoise,1,,,administrateur,administrateur:1,1
lacaze-a,3unioncommercialeindochinoise,1,,,administrateur,administrateur:1,1
thierry-a,3unioncommercialeindochinoise,4,,,vice_president,vice_president:4,1
francois-ravilly-j,abattoirsconservesalimentairesnordafrique,1,1927,1927,administrateur,administrateur:1,1
atthalin-a,abattoirsmunicipauxindustrielsmaroc,2,1920,1925,administrateur,administrateur:1; president:1,1
blanchet-v,abattoirsmunicipauxindustrielsmaroc,3,,,administrateur,administrateur:3,1
braunschvig-g,abattoirsmunicipauxindustrielsmaroc,3,1920,1926,administrateur,administrateur:2; president:1,1
cotte-l,abattoirsmunicipauxindustrielsmaroc,4,1920,1938,administrateur,administrateur:3; president:1,1
dal-piaz-j,abattoirsmunicipauxindustrielsmaroc,3,1920,1926,administrateur,administrateur:2; president:1,1
de-caqueray-g,abattoirsmunicipauxindustrielsmaroc,3,1925,1938,administrateur,administrateur:2; president:1,1
de-montgolfier-j,abattoirsmunicipauxindustrielsmaroc,3,1920,1926,administrateur,administrateur:2; president:1,1
gerard-e,abattoirsmunicipauxindustrielsmaroc,3,1920,1926,administrateur,administrateur:2; president:1,1
godard-l,abattoirsmunicipauxindustrielsmaroc,3,1920,1926,administrateur,administrateur:2; president:1,1
godart-l,abattoirsmunicipauxindustrielsmaroc,1,1925,1925,president,president:1,1
gompel-h,abattoirsmunicipauxindustrielsmaroc,1,1920,1920,administrateur,administrateur:1,1
gompel-r,abattoirsmunicipauxindustrielsmaroc,3,1925,1938,administrateur,administrateur:2; president:1,1
jordan,abattoirsmunicipauxindustrielsmaroc,2,1928,1928,administrateur,administrateur:2,1
jordan-p,abattoirsmunicipauxindustrielsmaroc,4,1920,1938,administrateur,administrateur:3; president:1,1
katz-m,abattoirsmunicipauxindustrielsmaroc,3,1925,1938,administrateur,administrateur:2; president:1,1
lacoin-g,abattoirsmunicipauxindustrielsmaroc,4,1920,1938,administrateur,administrateur:3; president:1,1
marches-au-maroc,abattoirsmunicipauxindustrielsmaroc,1,1925,1925,president,president:1,1
poirson-l,abattoirsmunicipauxindustrielsmaroc,1,1920,1920,administrateur,administrateur:1,1
