territory,n_documents,n_with_tie,share_with_tie,n_ties,n_silent,silent_chars,reg_board_list,reg_person_career,reg_apposition,reg_certificate,reg_deed,reg_press,reg_no_signal
Indochine,2436,1154,0.4737,19730,1282,48132972,12,199,89,21,92,712,157
Algérie,805,543,0.6745,9994,262,3007952,2,12,9,16,38,165,20
(unfiled),550,428,0.7782,34206,122,4841112,4,20,6,5,5,52,30
Maroc,449,370,0.8241,14482,79,1161774,5,9,2,9,5,31,18
Tunisie,251,194,0.7729,3774,57,1071233,4,5,0,4,3,33,8
Côte d'Ivoire,163,113,0.6933,1620,50,4632518,1,9,5,2,1,22,10
Madagascar,189,151,0.7989,5136,38,579610,0,4,2,2,6,21,3
Nouvelle-Calédonie (Mélanésie),84,60,0.7143,1067,24,622297,0,2,0,1,0,19,2
Sénégal,92,72,0.7826,1714,20,961135,1,2,2,1,9,5,0
Congo-Brazzaville ou Moyen-Congo,84,69,0.8214,871,15,143190,0,0,1,3,0,5,6
Syrie-Liban,53,40,0.7547,1255,13,124582,0,0,2,2,0,8,1
Cameroun,36,24,0.6667,292,12,124924,0,0,1,2,1,5,3
Afrique occidentale française,30,18,0.6000,4645,12,1500900,0,3,1,0,0,4,4
"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",49,37,0.7551,561,12,1022531,0,1,1,0,1,7,2
Guinée Conakry,55,44,0.8000,485,11,165520,1,1,4,0,0,5,0
Guyane française,51,41,0.8039,674,10,140614,0,0,0,3,2,4,1
Gabon,61,52,0.8525,836,9,136777,0,1,0,0,2,3,3
Afrique équatoriale française,43,34,0.7907,3955,9,255126,0,2,0,0,0,5,2
Oubangui-Chari (Centrafrique),26,18,0.6923,389,8,69414,0,0,0,0,0,3,5
La Réunion,15,7,0.4667,366,8,72563,0,1,0,0,1,5,1
Inde (Comptoirs français de l’),12,6,0.5000,70,6,41716,0,0,0,0,0,4,2
Malaisie,19,13,0.6842,384,6,76480,0,1,0,2,0,3,0
Chine,24,18,0.7500,490,6,246409,0,1,2,0,0,2,1
Dahomey (Bénin),26,21,0.8077,185,5,108537,0,0,0,2,1,1,1
Tahiti (Polynésie),23,18,0.7826,519,5,84252,0,0,0,0,0,5,0
Égypte,16,11,0.6875,650,5,36948,0,0,0,0,0,4,1
Java et Sumatra (Indes néerlandaises),22,18,0.8182,716,4,19061,0,2,0,0,1,1,0
Nouvelles-Hébrides (Mélanésie),15,11,0.7333,197,4,104412,0,1,0,0,0,1,2
Guadeloupe et Martinique,18,15,0.8333,436,3,97760,0,1,0,0,0,2,0
Comores,10,7,0.7000,109,3,58730,0,0,0,2,0,1,0
Abyssinie ou Ethiopie,8,5,0.6250,60,3,34645,0,0,0,0,0,2,1
Empire ottoman/Turquie,35,32,0.9143,866,3,109333,0,1,0,0,0,2,0
Grèce,8,5,0.6250,209,3,12004,0,0,0,0,1,2,0
Angola,3,1,0.3333,117,2,45501,0,0,0,0,0,1,1
Mauritanie,6,4,0.6667,31,2,13594,0,0,0,0,0,2,0
Djibouti,22,20,0.9091,750,2,249919,0,1,0,0,0,0,1
Terres australes et antartiques françaises,6,4,0.6667,35,2,52803,0,0,0,0,0,2,0
Congo-Kinshasa,3,2,0.6667,8,1,13118,0,1,0,0,0,0,0
Tchad,4,3,0.7500,16,1,6892,0,0,0,0,1,0,0
Gambie,1,0,0.0000,0,1,46270,0,0,0,0,0,0,1
Saint-Pierre et Miquelon,3,2,0.6667,42,1,6849,0,0,0,0,0,0,1
Bolivie,2,1,0.5000,19,1,93692,0,0,0,0,0,1,0
Chili,2,1,0.5000,68,1,15736,0,0,0,0,0,0,1
Malawi,1,0,0.0000,0,1,10292,0,0,0,0,0,0,1
Serbie-Yougoslavie,5,4,0.8000,44,1,4150,0,1,0,0,0,0,0
Arménie,1,0,0.0000,0,1,6524,0,0,0,0,0,0,1
Azerbaïdjan,1,0,0.0000,0,1,2675,0,0,0,0,0,0,1
Géorgie,2,1,0.5000,37,1,12957,0,0,0,0,0,1,0
Cyrénaïque et Tripolitaine (actuelle Libye),1,0,0.0000,0,1,7165,0,1,0,0,0,0,0
Guinée équatoriale,1,1,1.0000,1,0,0,0,0,0,0,0,0,0
Togo,5,5,1.0000,46,0,0,0,0,0,0,0,0,0
Nigéria,1,1,1.0000,10,0,0,0,0,0,0,0,0,0
Brésil,10,10,1.0000,181,0,0,0,0,0,0,0,0,0
Venezuela,3,3,1.0000,58,0,0,0,0,0,0,0,0,0
Pérou,1,1,1.0000,93,0,0,0,0,0,0,0,0,0
Guyane hollandaise (Suriname),1,1,1.0000,35,0,0,0,0,0,0,0,0,0
Siam (Thaïlande),4,4,1.0000,40,0,0,0,0,0,0,0,0,0
Mozambique,2,2,1.0000,147,0,0,0,0,0,0,0,0,0
Macédoine,9,9,1.0000,230,0,0,0,0,0,0,0,0,0
Yémen,1,1,1.0000,1,0,0,0,0,0,0,0,0,0
Bulgarie,2,2,1.0000,73,0,0,0,0,0,0,0,0,0
Albanie,1,1,1.0000,28,0,0,0,0,0,0,0,0,0
Russie,1,1,1.0000,59,0,0,0,0,0,0,0,0,0
