territory,lat,lon,group,n_cities,source,members
Abyssinie ou Ethiopie,9.03,38.74,foreign,1,gazetteer mean,
Afrique occidentale française,11.05,-8.462,empire,20,federation mean,Sénégal; Soudan français; Côte d'Ivoire; Dahomey (Bénin); Guinée Conakry; Mauritanie
Afrique équatoriale française,0.915,12.745,empire,7,federation mean,Gabon; Congo-Brazzaville; Oubangui-Chari; Tchad
Algérie,35.905,3.334,empire,17,gazetteer mean,
Allemagne,53.551,9.994,foreign,1,gazetteer mean,
Angola,-8.839,13.235,foreign,1,gazetteer mean,
Belgique,51.035,4.377,foreign,2,gazetteer mean,
Bolivie,-16.5,-68.15,foreign,1,gazetteer mean,
Brésil,-22.907,-43.173,foreign,1,gazetteer mean,
Bulgarie,42.698,23.322,foreign,1,gazetteer mean,
Cameroun,3.958,10.611,empire,2,gazetteer mean,
Chili,-33.449,-70.669,foreign,1,gazetteer mean,
Chine,31.141,116.503,foreign,5,gazetteer mean,
Comores,-11.702,43.256,empire,1,gazetteer mean,
Congo-Brazzaville,-4.532,13.568,empire,2,gazetteer mean,
Congo-Kinshasa,-4.322,15.307,foreign,1,gazetteer mean,
Cyrénaïque et Tripolitaine,32.887,13.191,foreign,1,gazetteer mean,
Côte d'Ivoire,5.883,-4.187,empire,5,gazetteer mean,
Dahomey (Bénin),6.431,2.514,empire,2,gazetteer mean,
Djibouti,11.588,43.145,empire,1,gazetteer mean,
Empire ottoman/Turquie,39.713,28.053,foreign,2,gazetteer mean,
Espagne,40.901,-0.766,foreign,2,gazetteer mean,
France,46.762,2.614,metropole,16,gazetteer mean,
Gabon,-0.334,9.494,empire,3,gazetteer mean,
Grèce,39.312,23.336,foreign,2,gazetteer mean,
Guadeloupe et Martinique,15.615,-61.442,empire,3,gazetteer mean,
Guinée Conakry,9.509,-13.712,empire,1,gazetteer mean,
Guyane française,4.922,-52.326,empire,1,gazetteer mean,
Guyane hollandaise,5.852,-55.204,foreign,1,gazetteer mean,
Géorgie,41.716,44.783,foreign,1,gazetteer mean,
Inde française,15.24,82.673,empire,3,gazetteer mean,
Indochine,15.063,106.329,empire,24,gazetteer mean,
Italie,41.903,12.496,foreign,1,gazetteer mean,
Java et Sumatra,-6.729,109.799,foreign,2,gazetteer mean,
La Réunion,-20.882,55.45,empire,1,gazetteer mean,
Madagascar,-17.592,47.361,empire,7,gazetteer mean,
Malaisie,2.245,102.754,foreign,2,gazetteer mean,
Maroc,33.261,-6.988,empire,14,gazetteer mean,
Mauritanie,18.079,-15.965,empire,1,gazetteer mean,
Mozambique,-25.966,32.567,foreign,1,gazetteer mean,
Nigéria,6.524,3.379,foreign,1,gazetteer mean,
Nouvelle-Calédonie,-22.276,166.458,empire,1,gazetteer mean,
Nouvelles-Hébrides,-17.734,168.322,empire,1,gazetteer mean,
Oubangui-Chari,4.361,18.555,empire,1,gazetteer mean,
Pays-Bas,52.124,4.561,foreign,3,gazetteer mean,
Portugal,38.722,-9.139,foreign,1,gazetteer mean,
Pérou,-12.046,-77.043,foreign,1,gazetteer mean,
Royaume-Uni,51.507,-0.128,foreign,1,gazetteer mean,
Saint-Pierre et Miquelon,46.781,-56.172,empire,1,gazetteer mean,
Serbie-Yougoslavie,44.787,20.449,foreign,1,gazetteer mean,
Siam (Thaïlande),13.75,100.5,foreign,1,gazetteer mean,
Soudan français,12.831,-4.63,empire,5,gazetteer mean,
Suisse,46.204,6.143,foreign,1,gazetteer mean,
Syrie-Liban,34.784,36.178,empire,4,gazetteer mean,
Sénégal,14.496,-16.75,empire,6,gazetteer mean,
Tahiti (Polynésie),-17.535,-149.57,empire,1,gazetteer mean,
Tchad,12.107,15.045,empire,1,gazetteer mean,
Togo,6.13,1.222,empire,1,gazetteer mean,
Tunisie,36.049,10.005,empire,6,gazetteer mean,
Venezuela,10.481,-66.904,foreign,1,gazetteer mean,
Égypte,30.834,31.152,foreign,3,gazetteer mean,
