company_key,company_name,attribute,value,year,source_ref,doc_id
caoutchoucsorenoque,Compagnie des Caoutchoucs de l'Orénoque,head_office,"est à Paris, 17, rue Grange-Batelière",1900,"Cote de la Bourse et de la banque, 29 décembre 1900",antilles-guyane-caoutchoucs-de-l-orenoque-0aee9d
caoutchoucscaroni,Société des Caoutchoucs du Caroni,head_office,"est à Paris, 5, rue d’Argout",1901,"La Cote de la Bourse et de la banque, 5 septembre 1901",antilles-guyane-caoutchoucs-du-caroni-36e917
caoutchoucscaroni,Société des Caoutchoucs du Caroni,head_office,"de la société des Caoutchoucs du Caroni est a Paris, rue d'Argout, no 5",1901,"La Cote de la Bourse et de la banque, 23 novembre 1901",antilles-guyane-caoutchoucs-du-caroni-36e917
caoutchoucscaroni,Société des Caoutchoucs du Caroni,head_office,on pourrait obtenir à ce sujet un renseignement,1903,"L'Étoile de France, 16 mars 1903",antilles-guyane-caoutchoucs-du-caroni-36e917
caoutchoucscaroni,Société des Caoutchoucs du Caroni,head_office,"Paris, avenue de l'Opéra, 19, elle avait",1904,"La Cocarde, 1er février 1904",antilles-guyane-caoutchoucs-du-caroni-36e917
mocupia,"Compagnie française de la Mocupia, puis Mocupia",capital,2.500.000 fr.,1926,"Cote de la Bourse et de la banque, 1er juin 1926",antilles-guyane-mocupia-8dee8e
mocupia,"Compagnie française de la Mocupia, puis Mocupia",head_office,à Paris,1926,"Cote de la Bourse et de la banque, 1er juin 1926",antilles-guyane-mocupia-8dee8e
mocupia,Compagnie française de la Mocupia,capital,17.500.000 francs,1938,"Le Journal des débats, 6 août 1938",antilles-guyane-mocupia-8dee8e
mocupia,Mocupia,capital,58.410.000 fr.,1948,Annuaire Desfossés 1948,antilles-guyane-mocupia-8dee8e
mocupia,Mocupia,head_office,"Paris, 279, rue Saint-Honoré",1948,Annuaire Desfossés 1948,antilles-guyane-mocupia-8dee8e
