doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
antilles-guyane-produits-tannants-cayenne-ccaecd,https://entreprises-coloniales.fr/antilles-guyane/Produits_tannants-Cayenne.pdf,company,Compagnie Coloniale des Produits tannants,Divers,Guyane française,Antilles-Guyane,1928,,"Coloniale des Produits tannants (Compagnie)(1928), Cayenne"
antilles-guyane-recueil-belge-soc-1902-guyane-eb860c,https://entreprises-coloniales.fr/antilles-guyane/Recueil_belge_soc._1902-Guyane.pdf,company,Recueil belge des sociétés coloniales et maritimes,Documentation générale,Guyane française,Antilles-Guyane,1902,,Recueil belge des sociétés coloniales et maritimes (1902) : Guyane
antilles-guyane-ricins-guyanais-b5e13e,https://entreprises-coloniales.fr/antilles-guyane/Ricins_guyanais.pdf,company,Ricins guyanais,Divers,Guyane française,Antilles-Guyane,,,Ricins guyanais (Société anonyme des)
antilles-guyane-saint-elie-et-adieu-vat-478e70,https://entreprises-coloniales.fr/antilles-guyane/Saint-Elie_et_Adieu-Vat.pdf,company,Société nouvelle Saint-Élie et Adieu-Vat,Mines et placers,Guyane française,Antilles-Guyane,,,Saint-Élie et Adieu-Vat (Société nouvelle)(1923-195?) : or.
antilles-guyane-saint-elie-gisements-d-or-8ba1fb,https://entreprises-coloniales.fr/antilles-guyane/Saint-Elie_Gisements_d_or.pdf,company,Saint-Élie,Mines et placers,Guyane française,Antilles-Guyane,1878,1922,Saint-Élie (Gisements d'or de)(1878-1922) : or.
antilles-guyane-soc-forestiere-guyane-frse-e62477,https://entreprises-coloniales.fr/antilles-guyane/Soc._forestiere_Guyane_frse.pdf,company,Société Forestière de la Guyane française,Divers,Guyane française,Antilles-Guyane,,,Forestière de la Guyane française (Société)(SOFOG)
antilles-guyane-societe-france-guyane-e5b5c5,https://entreprises-coloniales.fr/antilles-guyane/Societe_France-Guyane.pdf,company,Société France-Guyane,Divers,Guyane française,Antilles-Guyane,1926,,"France-Guyane (Société)(1926), Cayenne : palétuviers"
antilles-guyane-south-american-goldfields-80f744,https://entreprises-coloniales.fr/antilles-guyane/South_American_Goldfields.pdf,company,"The South American Goldfields Limited, Salisbury",Mines et placers,Guyane française,Antilles-Guyane,,,"South American Goldfields Limited (The), Salisbury"
antilles-guyane-sparwine-maroni-1908-1913-6c8cad,https://entreprises-coloniales.fr/antilles-guyane/Sparwine_Maroni_1908-1913.pdf,company,Société du Sparwine,Mines et placers,Guyane française,Antilles-Guyane,1908,1913,Sparwine (Maroni)(Société du)(1908-1913)
antilles-guyane-sucriere-agricole-guyane-4939a5,https://entreprises-coloniales.fr/antilles-guyane/Sucriere&agricole_Guyane.pdf,company,Société Sucrière et agricole de la Guyane française,Divers,Guyane française,Antilles-Guyane,,,Sucrière et agricole de la Guyane française (Société)
antilles-guyane-syndicat-mana-363d84,https://entreprises-coloniales.fr/antilles-guyane/Syndicat_Mana.pdf,company,Syndicat Mana,Mines et placers,Guyane française,Antilles-Guyane,1909,,Syndicat Mana (1909)
antilles-guyane-transports-aeriens-guyanais-3d4229,https://entreprises-coloniales.fr/antilles-guyane/Transports_aeriens_guyanais.pdf,company,Transports aériens guyanais,Divers,Guyane française,Antilles-Guyane,1919,1922,Transports aériens guyanais (1919-1922)
antilles-guyane-un-miniere-haute-mana-22d786,https://entreprises-coloniales.fr/antilles-guyane/Un._miniere_Haute-Mana.pdf,company,Union minière de la Haute-Mana,Mines et placers,Guyane française,Antilles-Guyane,,,Union minière de la Haute-Mana
