doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
proche-orient-banque-de-salonique-eadf6c,https://entreprises-coloniales.fr/proche-orient/Banque_de_Salonique.pdf,company,Banque de Salonique,,Macédoine,Proche-Orient,,,"Banque de Salonique : Macédoine, Turquie, Liban, Égypte"
proche-orient-immob-regie-terrains-salonique-e34e22,https://entreprises-coloniales.fr/proche-orient/Immob.+regie_terrains_Salonique.pdf,company,Compagnie Immobilière et de Régie de terrains à Salonique,,Macédoine,Proche-Orient,1905,,Immobilière et de Régie de terrains à Salonique (Compagnie)(1905)
proche-orient-mines-de-kassandra-5010ad,https://entreprises-coloniales.fr/proche-orient/Mines_de_Kassandra.pdf,company,Société des mines de Kassandra,,Macédoine,Proche-Orient,,,Kassandra (Société des mines de)
proche-orient-moulin-de-salonique-512ab1,https://entreprises-coloniales.fr/proche-orient/Moulin_de_Salonique.pdf,company,Société du Moulin de Salonique,,Macédoine,Proche-Orient,1884,1889,Moulin de Salonique (Société du)(1884-1889)
proche-orient-port-de-salonique-572c35,https://entreprises-coloniales.fr/proche-orient/Port_de_Salonique.pdf,company,"Port de Salonique (Société ottomane de construction, puis d'exploitation du)",,Macédoine,Proche-Orient,1897,,"Port de Salonique (Société ottomane de construction (1897), puis d'exploitation (1905) du) : création d'Edmond Bartissol"
proche-orient-salonique-constantinople-d6846d,https://entreprises-coloniales.fr/proche-orient/Salonique-Constantinople.pdf,company,Cie du Chemin de fer ottoman jonction Salonique-Constantinople,,Macédoine,Proche-Orient,1892,,Chemin de fer ottoman jonction Salonique-Constantinople (Cie du)(JSC)(1892)
proche-orient-salonique-monastir-297842,https://entreprises-coloniales.fr/proche-orient/Salonique-Monastir.pdf,company,Société du Chemin de fer ottoman Salonique-Monastir,,Macédoine,Proche-Orient,,,"Chemin de fer ottoman Salonique-Monastir (Société du) : entreprise allemande, obligataires français"
proche-orient-tabacs-de-macedoine-ea02db,https://entreprises-coloniales.fr/proche-orient/Tabacs_de_Macedoine.pdf,company,Tabacs de Macédoine et d'Asie Mineure,,Macédoine,Proche-Orient,,,Tabacs de Macédoine et d'Asie Mineure
proche-orient-tramways-de-salonique-fc21b9,https://entreprises-coloniales.fr/proche-orient/Tramways_de_Salonique.pdf,company,"Cie ottomane des Tramways de Salonique, Salonique",,Macédoine,Proche-Orient,,,"Tramways de Salonique (Cie ottomane des), Salonique"
