company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
consortiummoruefrance,moruesecheriesfecamp,Consortium de la morue en France,Morue française et sécheries de Fécamp,4,arnaud-legasse; hourcade-m; legasse-l; pepin-p
consortiummoruefrance,grandepeche,Consortium de la morue en France,GRANDE-PÊCHE,3,hourcade-m; legasse-a; legasse-l
grandepeche,moruesecheriesfecamp,GRANDE-PÊCHE,Morue française et sécheries de Fécamp,3,hourcade-m; legasse-j; legasse-l
